territory,territory_iso3,mrgid,region,region_specific,shp_to_use,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Guinea-Bissau,GNB,8471,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GNB&subj=6,http://www.seaaroundus.org/data/#/country/624,,http://www.seaaroundus.org/data/#/subsidy/87,http://www.fishbase.org/Country/CountryTreatyList.php?Country=624,http://www.seaaroundus.org/data/#/eez/624/internal-fishing-access/
Guyana,GUY,8460,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GUY&subj=6,http://www.seaaroundus.org/data/#/country/328,,http://www.seaaroundus.org/data/#/subsidy/88,http://www.fishbase.org/Country/CountryTreatyList.php?Country=328,http://www.seaaroundus.org/data/#/eez/328/internal-fishing-access/
Haiti,HTI,8408,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=HTI&subj=6,http://www.seaaroundus.org/data/#/country/332,,http://www.seaaroundus.org/data/#/subsidy/89,http://www.fishbase.org/Country/CountryTreatyList.php?Country=332,http://www.seaaroundus.org/data/#/eez/332/internal-fishing-access/
Jamaica,JAM,8459,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=JAM&subj=6,http://www.seaaroundus.org/data/#/country/388,,http://www.seaaroundus.org/data/#/subsidy/104,http://www.fishbase.org/Country/CountryTreatyList.php?Country=388,http://www.seaaroundus.org/data/#/eez/388/internal-fishing-access/
Kenya,KEN,8349,Africa,East African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KEN&subj=6,http://www.seaaroundus.org/data/#/country/404,,http://www.seaaroundus.org/data/#/subsidy/111,http://www.fishbase.org/Country/CountryTreatyList.php?Country=404,http://www.seaaroundus.org/data/#/eez/404/internal-fishing-access/
Kiribati (Line Islands),KIR,8441,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KIR&subj=6,http://www.seaaroundus.org/data/#/country/296,,http://www.seaaroundus.org/data/#/subsidy/114,http://www.fishbase.org/Country/CountryTreatyList.php?Country=296,http://www.seaaroundus.org/data/#/eez/942/internal-fishing-access/
Kiribati (Phoenix Islands),KIR,8450,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KIR&subj=6,http://www.seaaroundus.org/data/#/country/296,,http://www.seaaroundus.org/data/#/subsidy/114,http://www.fishbase.org/Country/CountryTreatyList.php?Country=296,http://www.seaaroundus.org/data/#/eez/943/internal-fishing-access/
Kiribati (Gilbert Islands),KIR,8488,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KIR&subj=6,http://www.seaaroundus.org/data/#/country/296,,http://www.seaaroundus.org/data/#/subsidy/114,http://www.fishbase.org/Country/CountryTreatyList.php?Country=296,http://www.seaaroundus.org/data/#/eez/941/internal-fishing-access/
Lesotho,LSO,,Africa,South African group,180,,,,,,
Liberia,LBR,8391,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=LBR&subj=6,http://www.seaaroundus.org/data/#/country/430,,http://www.seaaroundus.org/data/#/subsidy/120,http://www.fishbase.org/Country/CountryTreatyList.php?Country=430,http://www.seaaroundus.org/data/#/eez/430/internal-fishing-access/
