year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez
2018,257116000,NOR,fishing,53.55,644,809.05,RADEK,LNXT,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,5.264861111111113,4259.5358819444455,1
2018,258099000,NOR,fishing,46.59,504,1257.705,KVITUNGEN,LGPZ,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,5.304722222222222,6671.775662499999,2
2018,265630670,SWE,fishing,17.767429844825,50.4572686012,312.49827385015,NORRLAND GG740,SFC6604,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,104.04291666666667,32513.231864668334,17
2018,265519720,SWE,fishing,10.0724354769,16.2062667919,103.7214901588,MO172 BUFFI,SFC9886,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,8.000000000000002,829.7719212704002,3
2018,257181020,NOR,fishing,15.186802862969229,50,277.3690139459231,SOLNES,LMUG,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,539.5074999999987,149642.66329142972,52
2018,291252503,UNK,fishing,15.1227721894,35.224902184933335,199.54151601886667,WINSTON H123,XP2496,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,1.600138888888889,319.29413972963374,1
2018,258523000,NOR,fishing,52.46723870134286,1444,1598.1923579680715,KRISTINE BONNEVIE,LGWS,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,27.48944444444444,43933.42003589896,10
2018,230981680,FIN,fishing,20.720724566799998,83.03297680969001,288.92496251095,CALLE,OJMB,5675,200NM,Estonian Exclusive Economic Zone,EST,EST,NA,NA,1.4508333333333332,419.18196644296995,3
2018,258074000,NOR,fishing,19.78,123,441.3,GULLHOLMEN,JWZQ,5676,200NM,Finnish Exclusive Economic Zone,FIN,FIN,NA,NA,6.476111111111111,2857.907833333333,1
2018,777777777,CHN,fishing,44.96,471,800,ARCHANGEL MICHAEL,12345,5676,200NM,Finnish Exclusive Economic Zone,FIN,FIN,NA,NA,157.78638888888887,126229.1111111111,14
2018,235006716,GBR,fishing,20.12415699898,160,281.8786846275,EVENING STAR[SURVEY>,MNEP3,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,199.78597222222214,56315.40705702623,18
2018,232004906,GBR,fishing,18.25,85,372,Q`VARL,MJYS4,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,75.83111111111111,28209.173333333332,5
2018,224279660,ESP,fishing,15.53999996,30.660540570979997,145.34992845109002,NUEVO SALVADOR PADRE,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,55.72430555555556,8099.523825486679,8
2018,224151980,ESP,fishing,14.30000019,46.668573230725,123.18703743089999,DANIEL Y MARIA,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,131.60569444444445,16212.115607647365,10
2018,233815000,GBR,fishing,31.30896087103077,240.09807158676924,653.1908105661231,KESTREL BCK81,MHCH2,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,245.100277777778,160097.24911164874,17
2018,247067730,ITA,fishing,24.17,64,335,CONDOR,IWVN,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,8.076805555555556,2705.729861111111,3
2018,224014590,ESP,fishing,14.399999619999999,41.14153731515714,360.08332964612856,MEROMAR,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,61.492638888888905,22142.47415983813,3
2018,224239970,ESP,fishing,14.52999973,33.44130673272857,143.4080908858857,MANUEL TERESA,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,181.83208333333337,26076.19193263662,13
2018,224055660,ESP,fishing,21,60.56,161.76,GURE AMA MARTINA,EA3486,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,85.38263888888888,13811.495666666664,26
2018,235054747,GBR,fishing,15.363965281527273,12,240.25023849539093,KATIE C,MKMC6,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,7.477499999999999,1796.4711583492856,2
2018,224108670,ESP,fishing,23,85,294.12,LEKANDA,EA6725,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,19.531388888888884,5744.5720999999985,8
2018,224042970,ESP,fishing,15.75,45.5,63.24,F\V PICO-DA LEBRE,EB7323,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,35.036111111111104,2215.6836666666663,2
2018,224112790,ESP,fishing,20,50.52,147.06,ESMERALDA TERCERO,EA7329,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,115.58486111111111,16997.909675,8
2018,250414000,IRL,fishing,21.97,78,221,HORNSRIFF,EI6189,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,6.785277777777779,1499.5463888888892,2
2018,224007820,ESP,fishing,17.22999954,51.92,147.06,GAZTELUGATXEKO DONIE,EA4873,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,260.6233333333333,38327.26739999999,43
2018,224137140,ESP,fishing,11.7,9.72,80.88,GUK,EB5308,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,20.002916666666664,1617.8358999999996,10
2018,225982487,ESP,fishing,19.25,102.06195710897778,269.04271644187776,ROYMAR,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,21.19097222222223,5701.2767307110435,2
2018,224011830,ESP,fishing,27.5499997467,117.24,352.94,ANDUIZA ANAIAK,EA4906,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,113.42986111111112,40033.935180555556,9
2018,234209000,GBR,fishing,24.451756402258333,151.55348916412498,419.316499809125,VERTROUWEN  DS11,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,1670.7319444444468,700565.4710637389,91
2018,224075190,ESP,fishing,36,224,406.3628789673,F/V SAN PRUDENTZIO B,EAUY,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,149.8111111111111,60877.674412401175,36
2018,224076440,ESP,fishing,17.87519939805,58.0642809589,165.51166372445,CORVO,EA4108,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,360.5859722222223,59681.184178198324,27
2018,777777777,CHN,fishing,44.96,471,800,ARCHANGEL MICHAEL,12345,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,325.51611111111106,260412.88888888885,66
2018,235000340,GBR,fishing,31.144643333675,239,633.800578112875,MFVSEALADY,ZQMT4,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,527.5636111111114,334370.12171353836,40
2018,235091962,GBR,fishing,9.9,11.46,125,AMETHYST,MAAN5,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,17.59583333333333,2199.4791666666665,2
2018,224224330,ESP,fishing,13.30000019,30.142071586616666,147.46451395815,ESTELA DEL CARMEN,NA,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,86.35638888888889,12734.502914680985,28
2018,224090990,ESP,fishing,23.37999972,74,294.12,ARANTZAZUKO IZARRA,EA2772,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,82.46055555555556,24253.298600000002,27
2018,235007455,GBR,fishing,15.870807754,46,181.036838634,RADIANT FR10,MACD6,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,6.736944444444445,1219.6351242751118,1
2018,205345000,BEL,fishing,37.81,385,1181,B.462 FLOWING STREAM,OPSJ,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,1208.8161111111115,1427611.8272222227,62
2018,233342000,GBR,fishing,29.75,150,704.78,MFV ANN MARIE,2NGY,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,11.885138888888891,8376.408186111112,4
2018,224032970,ESP,fishing,28,230.72724771820768,293.80004910645386,FVPUNTA DO XUNCOS,EBSZ,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,366.67416666666634,107728.88817273462,24
2018,123123123,CHN,fishing,69.25946796519999,718,1280.862029118,A,NL0000,5677,200NM,French Exclusive Economic Zone,FRA,FRA,NA,NA,7.050277777777778,9030.433100289989,7
2018,271073198,TUR,fishing,19.445788961450003,73.943700239125,206.769030838225,IDRIS BABA,TCA4343,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,49.35499999999999,10205.085517020592,17
2018,271072091,TUR,fishing,27.0399685848,66.97,249.85078272385002,TOPALOGULLARI,TC7173,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,454.96763888888904,113674.02069041088,37
2018,271072444,TUR,fishing,23,58,323.7193980538571,MAHMUT SEFA,TC9232,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,339.68041666666676,109961.14001401674,32
2018,271062055,TUR,fishing,26,37,201.3624557737875,FETHI KARDESLER-1,TC8170,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,21.425416666666663,4314.2745159766355,4
2018,271062095,TUR,fishing,25.096046555424998,162,206.48113097812498,AHMET REIS-5,TCA2018,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,15.901944444444446,3283.4514736402007,6
2018,271072314,TUR,fishing,24.36651897136,57,179.88640574508,HACI YASAROGULLARI,TC7372,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,24.520694444444445,4410.939589984462,2
2018,271062093,TUR,fishing,25,114,264.27594338794,BOZKURTLAR 2,TC8296,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,72.83333333333334,19248.097876754968,11
2018,271072595,TUR,fishing,29.11934635346,103,280.6806763763,BABAHUSEYIN2,TC3640,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,67.06652777777778,18824.27837887658,10
2018,271072280,TUR,fishing,29.8,108,246.21704473733075,HACI TEMEL REIS,TC9070,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,11.17763888888889,2752.1252143632837,1
2018,271062070,TUR,fishing,25.624346771266666,58,295.255612174,MUMIN USTA,TC9228,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,12.431388888888888,3670.4373365619504,3
2018,271062132,TUR,fishing,30.1,197,456.09259094965,REFIK USTA,TCA2491,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,121.7626388888889,55535.03745169995,15
2018,271072215,TUR,fishing,30,112,401.23807662876,MOLLAOGULLARI,TC8218,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,59.42513888888888,23843.6284311747,22
2018,271072446,TUR,fishing,26.427988769575002,71.05,258.15766476475,OSMAN CAN,TC7154,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,81.52694444444444,21046.805593183286,9
2018,271072114,TUR,fishing,15.768585914183333,28.746726441816666,173.59010321798334,YAKUPOGLU-II,TC9887,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,35.10277777777779,6093.494817682378,11
2018,247300940,ITA,fishing,25.0625,118,336,ANNA,IVJY,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,3.145555555555555,1056.9066666666665,1
2018,271062148,TUR,fishing,23.513134743833334,83.89,230.80996251131668,H.YUSUF SAFAK,TC7323,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,37.18680555555556,8583.085196193402,13
2018,271072274,TUR,fishing,24.78738459408889,60,278.3703029557,CELIKOGULLARI 1,TCMA7,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,746.3179166666667,207752.7445637669,94
2018,271073239,TUR,fishing,20.8189573922,56.849228728166665,187.74313063566666,HAFIZ TORUNLARI,TCA4686,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,115.41013888888888,21667.4607820971,42
2018,271072181,TUR,fishing,23.7,65,208.7985905494,AGAOGLU-2,TC7762,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,24.95791666666667,5211.17782304938,13
2018,271056008,TUR,fishing,22.70144671925,35,273.42571296815004,ILKAY-1,TCA2132,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,37.00791666666667,10118.916000049216,6
2018,271062028,TUR,fishing,26.400253791466664,104.41,299.3728282462,YAHYA CAVUS,TCA2047,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,309.41749999999996,92631.19208386858,42
2018,271072452,TUR,fishing,22,61,153.6312051093,BULUT HASAN,TC7709,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,26.23097222222222,4029.895873688573,3
2018,271072097,TUR,fishing,26.6,32,292.299352055,H.COBANOGLU,TC7647,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,101.46944444444443,29659.452864491926,17
2018,271062080,TUR,fishing,26,32,182.2110631482333,BABA HUSEYIN,TC8211,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,47.28875000000001,8616.53341245102,6
2018,271072569,TUR,fishing,27.5,31,207.53359161681112,GAMALI-1,TC5494,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,12.224305555555553,2536.9540369657816,3
2018,271062068,TUR,fishing,25,41.57,249.0114185222,RECEP KORKMAZ,TCA2083,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,100.62291666666668,25056.25521500779,36
2018,271062122,TUR,fishing,20.490582271333334,41,184.68919741636668,UGUR KIRAN-1,TCA2002,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,5.330277777777778,984.4447247840723,1
2018,271072077,TUR,fishing,24.2,103,215.720543021575,BURHAN KAPTAN-1,TCA2162,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,33.04055555555556,7127.526586178961,6
2018,271072347,TUR,fishing,18.946696940699997,33.88,216.85612111088182,MARASLAR,TC9171,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,4.571111111111112,991.2734247224088,1
2018,271062074,TUR,fishing,27.1,147.4,275.27216204318,MUSA REIS-1,TC8399,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,191.24499999999998,52644.42462994796,18
2018,271072203,TUR,fishing,27.166728477185714,82.91,257.0811158484571,ISA REIS 2,TC3449,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,12.839722222222221,3300.85011607312,4
2018,271062069,TUR,fishing,22.014007491033333,79.39,263.9594324556167,ISLAMOGULLARI,TCA2482,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,52.88194444444446,13958.688042705011,21
2018,271072245,TUR,fishing,24.026437289642857,69.005,178.22788535502858,BAHAR YELI 2,TC7358,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,164.23125,29270.588396713036,18
2018,247301120,ITA,fishing,20.4,46,170.6,MARIELLA,IZHG,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,163.04722222222216,27815.8561111111,13
2018,271062097,TUR,fishing,19.970905561949998,101.2057478323,216.56557255725,KORFEZ-10,TCA2336,5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,NA,NA,16.545555555555556,3583.1977121666773,5
2018,257687000,NOR,fishing,69.77,2302,4921.2305,AAKEROY,LDHM,5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,NA,NA,154.4737499999999,760200.9299493745,11
2018,231115000,FRO,fishing,27.11640477239,337,312.31509791143003,PISON,XPZJ,5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,NA,NA,426.4761111111102,133194.9283985523,21
2018,992511331,UNK,fishing,13.158211502566667,31.7440148531,144.77783164033335,EGILL IS BAUJA-2,NA,5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,NA,NA,328.9755555555555,47628.367596007345,67
2018,258084000,NOR,fishing,44.65,377.0885266817714,1103.25,MANIITSOQ,LAIJ,5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,NA,NA,1.343888888888889,1482.6454166666667,1
2018,258523000,NOR,fishing,52.46723870134286,1444,1598.1923579680715,KRISTINE BONNEVIE,LGWS,5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,NA,NA,7.634166666666668,12200.866826121255,3
2018,211314320,DEU,fishing,26.72,183,404,PESORSA TRES,DFPW,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,192.20152777777778,77649.41722222223,19
2018,224112790,ESP,fishing,20,50.52,147.06,ESMERALDA TERCERO,EA7329,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,107.24138888888889,15770.918650000001,5
2018,227909000,FRA,fishing,35.661450283472725,226,812.8128153561,F/V LUMIAN,FHQI,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,3477.1413888888874,2826265.081693996,186
2018,224011830,ESP,fishing,27.5499997467,117.24,352.94,ANDUIZA ANAIAK,EA4906,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,129.20569444444445,45601.85779722222,9
2018,235076002,GBR,fishing,17.838368894733332,29.439595570758335,325.4934754427917,CAUSEWAY LASS,2CVB5,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,6.938611111111111,2258.472645301526,4
2018,235051022,GBR,fishing,71.96,2411,5999,CHRISTINA S,MEPK,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,175.41750000000002,1052329.5825,11
2018,224108670,ESP,fishing,23,85,294.12,LEKANDA,EA6725,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,109.17833333333336,32111.531400000007,8
2018,224076440,ESP,fishing,17.87519939805,58.0642809589,165.51166372445,CORVO,EA4108,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,115.45958333333334,19109.90773043178,10
2018,224032970,ESP,fishing,28,230.72724771820768,293.80004910645386,FVPUNTA DO XUNCOS,EBSZ,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,109.66041666666675,32218.23580170088,12
2018,227145800,FRA,fishing,24.75,208.43,453,F/V MARIA MAGDALENA,FPGG,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,173.27722222222224,78494.58166666668,11
2018,224279660,ESP,fishing,15.53999996,30.660540570979997,145.34992845109002,NUEVO SALVADOR PADRE,NA,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,43.143750000000004,6270.940975611716,3
2018,257687000,NOR,fishing,69.77,2302,4921.2305,AAKEROY,LDHM,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,214.92152777777807,1057678.3776065987,16
2018,257015000,NOR,fishing,63.97,1464,4265.9,TRYGVASON,LENJ,5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,NA,NA,23.05152777777777,98335.51234722219,3
2018,215000780,MLT,fishing,23.95,186.466666667,538,HANNIBAL 1,9H7788,5682,200NM,Italian Exclusive Economic Zone,ITA,ITA,NA,NA,55.20569444444444,29700.663611111107,6
2018,215000460,MLT,fishing,25.23,62.97,355.74253162236926,GANG PIL LEE,9H6922,5682,200NM,Italian Exclusive Economic Zone,ITA,ITA,NA,NA,70.97763888888889,25249.764946911662,9
2018,672525000,TUN,fishing,33.95,249,616.7692736918715,MAJD,3V4861,5682,200NM,Italian Exclusive Economic Zone,ITA,ITA,NA,NA,62.040694444444426,38264.794051839315,5
2018,256000527,MLT,fishing,23.19,176,668.7947074512582,BUDAFELL,9H8646,5682,200NM,Italian Exclusive Economic Zone,ITA,ITA,NA,NA,108.00972222222225,72236.3305755028,15
