flag,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
MNG,4,1246.31097084625,3451.508472222224,1466784.579727198,45,106,52,65,67
SPM,4,2077.901565652764,903.1283333333326,598287.3777433956,45,101,80,86,78
AFG,3,2215.8912252055748,666.8941666666675,329443.93509343115,46,98,89,91,81
GTM,3,10515.120964479363,870.4019444444448,3001421.515330677,46,64,83,59,63
HRV,3,984.89704663578,22.586111111111112,6268.523338781622,46,110,127,135,104.5
IND,3,4029.406141523371,38.32374999999999,50252.71181235276,46,81,121,110,89.5
IRL,3,3627.5417615437,12.953055555555556,18625.612796961857,46,88,134,126,98.5
MNE,3,883.1557579389751,97.40624999999999,21904.85326139533,46,113,109,124,98
NCL,3,1045,32.98138888888889,11490.569166666668,46,109,123,131,102.25
NIC,3,8487.799580995657,1456.2895833333357,3809262.6492113504,46,69,74,52,60.25
PLW,3,3927.7914269839007,19.239166666666666,28733.624210959737,46,82,130,119,94.25
PSE,3,939.1709504976999,3643.630972222223,1012961.7787429367,46,112,50,73,70.25
ROM,3,765,887.9100000000004,205352.9125000001,46,114,81,98,84.75
SLB,3,8296.676882366282,1192.790555555553,3223622.485187502,46,70,75,56,61.75
AIA,2,1924.8932502518333,429.64388888888857,696267.6128747738,47,103,91,85,81.5
BES,2,2569.44268543075,926.9030555555537,1149823.1746036294,47,95,79,71,73
CIV,2,2127.648060671129,2100.729027777779,2079160.7991317117,47,100,63,63,68.25
COG,2,1052.81252340165,30.515833333333333,14300.87581248816,47,108,125,127,101.75
EGY,2,578.1549238385999,81.32402777777777,33500.024345479585,47,122,113,116,99.5
GIN,2,3896.2236034262073,30.834583333333338,63648.837214975145,47,84,124,106,90.25
GMB,2,346.1667654419,13.368888888888886,2304.640981657045,47,131,133,140,112.75
LBR,2,2711.9794353600287,3796.6030555554653,8729539.704044444,47,92,47,34,55
MTQ,2,611,3227.264583333334,973535.91875,47,121,54,74,74
NRU,2,3915.3861272713,155.02972222222175,438128.2990899269,47,83,106,89,81.25
PER,2,2348.95554929945,184.65611111111116,262599.5585365167,47,96,103,95,85.25
PRK,2,534.3969630617,215.21055555555552,57312.9444346758,47,124,100,108,94.75
SHN,2,2258.2150760091,2146.636527777756,2979654.7792604817,47,97,61,60,66.25
SLE,2,1195.7773922945003,94.14222222222219,50530.71796750187,47,107,110,109,93.25
SOM,2,702.2340761703999,98.90041666666666,36117.31214664564,47,118,108,114,96.75
SVK,2,953.7181429791999,160.05069444444445,75902.20269339491,47,111,104,105,91.75
WSM,2,743.3606063334998,22.20763888888889,7749.759982562206,47,116,129,133,106.25
ATF,1,2656.2553366279003,8.838194444444444,23476.501159210602,48,94,139,122,100.75
ATG,1,418.18259322005,14.355833333333335,6003.359611168168,48,128,132,136,111
BGR,1,698.1724990901,6.514027777777776,4547.915052753441,48,119,140,137,111
BMU,1,1376.62638830514,846.5452777777771,1165376.5682839926,48,105,84,70,76.75
BOL,1,268.0896577356,48.62388888888887,13035.561729996056,48,134,116,129,106.75
BRA,1,404.47749460102,4.6254166666666645,1870.8769448191342,48,129,141,141,114.75
CHE,1,747.4340837949,16.05166666666667,11997.562768381136,48,115,131,130,106
CMR,1,690.6176100128699,292.82888888888874,202232.78738716862,48,120,97,99,91
CRI,1,2013.7678803206002,11.828333333333333,23819.51774439216,48,102,135,120,101.25
CYM,1,3775.4206647428996,22.30152777777778,84197.64882756001,48,86,128,104,91.5
DJI,1,317.630745425,712.575,226335.72842121942,48,133,87,97,91.25
GCA,1,3492.2577749386005,245.88500000000005,858693.8029907778,48,89,99,78,78.5
GUY,1,737.1928180072,48.49277777777778,35748.527502996934,48,117,117,115,99.25
HND,1,165.83303424579998,44.453888888888876,7371.9232784701,48,139,120,134,110.25
HUN,1,433.92531436354994,1804.5618055555553,783045.0487641499,48,127,66,80,80.25
JAM,1,2171.0282867259493,9.023194444444442,19589.610375517324,48,99,137,125,102.25
JOR,1,437.92929746929997,204.74569444444447,89664.13812791955,48,126,102,103,94.75
KEN,1,549.9434236251,59.53819444444444,32742.638489234687,48,123,114,117,100.5
LIE,1,99.5929980807,83.0009722222222,8266.31566722401,48,140,112,132,108
SRB,1,188.5668077862,317.21472222222224,59816.16755223062,48,137,96,107,97
STP,1,331.65344464213996,2134.1173611111103,707787.3740830935,48,132,62,84,81.5
SVN,1,195.94321124309997,1009.2105555555555,197747.95707598855,48,136,78,100,90.5
TCA,1,487.5125933513667,47.55902777777777,23185.62496921413,48,125,118,123,103.5
TUV,1,2660.2005333300003,8.935138888888893,23769.26123759985,48,93,138,121,100
TZA,1,369.8423662121,35.84888888888889,13258.437892741324,48,130,122,128,107
UNK,1,9492.171769107244,27.57208333333334,261718.9510321391,48,65,126,96,83.75
VGB,1,40.44492565771665,84.22986111111109,3406.6704707986887,48,141,111,138,109.5
WLF,1,245.5761968227,9.682083333333335,2377.68920232045,48,135,136,139,114.5
YEM,1,183.52927845090002,271.2848611111111,49788.71481437484,48,138,98,111,98.75
