geoname,eez_id,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,mark
Joint regime area United Kingdom / Denmark (Faeroe Islands),48967,63,81.73450390997452,3543.5836519881495,446491.54015050683,4533.374648542868,571205.2057164013,19903.985,95025581.01271868,31078582.363028463,2099130.022529868,is_joint
Joint regime area United Kingdom / Denmark (Faeroe Islands),48967,63,81.73450390997452,3543.5836519881495,446491.54015050683,4533.374648542868,571205.2057164013,19903.985,95025581.01271868,31078582.363028463,2099130.022529868,is_joint
Cape Verdean Exclusive Economic Zone,8362,73,45.317001186965406,623.2807869885121,54848.70925498906,1024.0510048443975,90116.48842630698,19785.48472222221,13432971.046186944,17447794.05974227,1163738.7607722974,none
Greek Exclusive Economic Zone,5679,212,26.8678885101106,111.33115352258477,29836.74914405272,268.21153815874777,71880.6922265444,18809.702222222222,4893290.288944768,5950592.091425246,949443.4458184923,none
Namibian Exclusive Economic Zone,8395,52,47.39387961235312,1307.3708619364202,95438.07292135867,1417.1713220494275,103453.50650960821,18578.635555555968,40061682.07265345,36434046.25816735,936134.300374201,none
Chinese Exclusive Economic Zone,8486,181,30.36110279888895,318.6891396606882,75848.01523924379,506.0673385145885,120444.02656647206,17803.04805555555,5045223.993413516,68710151.30531718,203250.72815412004,overlapping
Cook Islands Exclusive Economic Zone,8446,42,48.7440808768373,814.6015000133344,35027.86450057338,1544.999678331599,66434.98616825875,17501.28388888877,13746345.328978727,14423945.07382504,1785839.576844515,none
Tongan Exclusive Economic Zone,8448,14,32.53109697196173,225.47221106779824,6087.749698830552,594.8777042926988,16061.698015902868,17274.735555555613,8631723.942099951,2437132.4046187177,47075.28118523443,none
Tokelau Exclusive Economic Zone,8449,46,55.926234365614285,1084.7445933972865,62915.18641704261,1985.0657279220375,115133.81221947818,17246.931944444426,11769619.860362763,6039667.622955529,369973.26088494563,none
Réunion Exclusive Economic Zone,8338,46,30.400747441820112,309.63740040527694,16410.782221479676,670.9739427842136,35561.61896756332,16402.911111111112,4225269.744977912,820869.010362407,101207.08337490454,overlapping
Joint regime area Senegal / Guinea Bissau,48964,31,51.93044800007205,820.6317972726123,52520.43502544719,1527.5408359802498,97762.61350273599,14206.335555555554,13487754.276068639,16211439.42857961,1406256.723957271,is_joint
Joint regime area Senegal / Guinea Bissau,48964,31,51.93044800007205,820.6317972726123,52520.43502544719,1527.5408359802498,97762.61350273599,14206.335555555554,13487754.276068639,16211439.42857961,1406256.723957271,is_joint
Senegalese Exclusive Economic Zone,8371,103,44.37087171635012,609.797007349131,88420.566065624,1025.8082765734443,148742.2001031494,13157.500833333303,11031671.91415197,11280418.597902926,1097955.1069468064,joint
French Guiana Exclusive Economic Zone,8462,10,21.870740705260715,107.58406694327142,3012.3538744116,323.58072885359286,9060.2604079006,13012.312222222252,4191198.4805631014,833211.2881235175,96641.54463419734,none
Iranian Exclusive Economic Zone,8469,13,28.81493696386797,266.29665707090976,6124.823112630925,527.584241190307,12134.43754737706,12946.942222222218,8243246.232413402,6189698.467189274,908770.5980997651,overlapping
Ivory Coast Exclusive Economic Zone,8473,67,62.60937765087946,1371.962236596081,138568.1858962042,2329.963971398611,235326.36111125976,12725.985277777769,17422920.403397053,9076339.40677172,217205.56370726737,none
North Korean Exclusive Economic Zone,8328,395,31.246925127423445,315.29919265270223,130218.56656556601,433.5918417025348,179073.43062314688,12518.480000000001,5450203.314096606,6031457.972549347,780349.7592025873,none
Thailand Exclusive Economic Zone,8332,22,24.429044135904302,147.97243352635752,4587.145439317083,469.7146721504113,14561.15483666275,12482.900555555556,5492292.094614533,595316.4132565657,5301.382998864633,none
Icelandic Exclusive Economic Zone,5680,87,64.64722371612095,1968.7058439921661,307118.1116627779,3480.8423110904946,543011.4005301172,11392.783888888895,30037643.878352262,11567703.969175968,1031370.505243314,none
Ukrainian Exclusive Economic Zone,5695,47,27.433923331510375,267.8841137057738,17412.4673908753,445.1723273020709,28936.20127463461,11333.961388888896,4988125.974588118,1881439.786865326,89273.56123150555,none
Niue Exclusive Economic Zone,8447,9,27.183043186083335,109.90668801361112,989.1601921225,531.5418877871556,4783.8769900844,10257.7447222222,4897947.77515635,180807.3736376851,4.856307907355444,none
Grenadian Exclusive Economic Zone,8419,15,20.698864652992064,101.52155771294841,2131.952711971917,252.16778431300793,5295.523470573166,9682.694444444445,2391942.8237114567,83281860.32687278,564.1839306948409,none
Turkish Exclusive Economic Zone,5697,86,26.361818830546767,149.30549666667753,14631.938673334398,376.3115630863592,36878.5331824632,8869.315555555557,2672167.179812345,2529849.2218514434,231123.39455306917,none
Democratic Republic of the Congo Exclusive Economic Zone,8477,19,31.799297766973787,240.61948114895165,6256.106509872743,439.73138445082003,11433.015995721322,8548.42361111111,3345197.530294766,360981.79253845144,4749.660651345259,none
Cameroonian Exclusive Economic Zone,8475,12,43.16472783095714,304.6234912051115,6092.469824102231,789.9828740330709,15799.657480661415,8370.094166666668,8226969.649501648,8750714.407568514,1284553.4522507219,none
Ghanaian Exclusive Economic Zone,8400,34,62.66723991676944,1437.8863353470658,61829.112419923826,2330.625767662966,100216.90800950755,8323.266944444444,9519285.329958595,5435074.917599547,532702.8533149697,none
Libyan Exclusive Economic Zone,8372,69,27.930127516071312,279.2808287665418,19549.658013657925,530.6483992994251,37145.38795095976,8111.1611111111115,3255273.502205431,72061892.5691092,1105301.933266492,none
Jersey Exclusive Economic Zone,21789,47,15.749024051484334,47.65644407893068,3097.6688651304944,285.27346578963454,18542.775276326243,7397.656944444444,1857488.5804316972,306126.50366019603,45568.386699785384,none
Vietnamese Exclusive Economic Zone,8484,217,31.626169271753334,420.90866577409935,130902.5950557449,410.3321745375679,127613.30628118361,7353.7941666666675,3107753.5980558945,4664191.847277811,478207.3039609391,none
Kenyan Exclusive Economic Zone,8349,13,51.76519764279444,517.427250461645,10348.5450092329,1339.6521900833952,26793.043801667904,6495.990555555523,6023552.413725938,1482488.6840367657,4501.681031959398,overlapping
Liberian Exclusive Economic Zone,8391,45,66.66305337323787,1721.020217532399,80887.95022402276,2689.7447802524757,126418.00467186637,5695.822222222223,10753851.245329903,6895212.187641008,512575.06044672674,none
United Arab Emirates Exclusive Economic Zone,8360,23,34.494529662847775,409.0093206757497,11861.270299596741,770.2349832954649,22336.81451556848,5593.041666666667,2891812.418811529,230120.75314048133,4133.110907559779,overlapping
Equatorial Guinean Exclusive Economic Zone,8398,16,48.257675364746454,903.2510406816069,16258.518732268925,1553.824648635332,27968.84367543598,5384.717500000001,2649634.8019793634,1863819.409226377,269612.80446993315,none
Tanzanian Exclusive Economic Zone,8479,16,46.206973846418144,551.7175581921647,9379.1984892668,836.2410938233828,14216.098594997507,5382.859166666669,4506590.925850698,4892900.347813659,718270.2083451746,none
Moroccan Exclusive Economic Zone,8367,37,28.209375622571592,423.5077996151432,22869.42117921773,546.5756224457677,29515.08361207146,5202.160000000002,1890513.2996041689,1014127.2941910826,13864.001186704603,overlapping
Peruvian Exclusive Economic Zone,8432,41,49.400039171254505,772.4953472326837,40169.75805609955,1181.7583134017061,61451.43229688871,4855.388055555556,7482196.257304327,10932686.98593307,460357.0519240885,joint
Mexican Exclusive Economic Zone,8429,61,24.527961493597903,339.82621889703097,33982.6218897031,861.8246746783177,86182.46746783177,4649.667222222223,3387679.8148600045,3659322.145513107,491408.2267909542,none
United States Exclusive Economic Zone,8456,74,22.55411702428157,163.2058787251439,14035.705570362376,430.23205829164925,36999.95701308184,4646.46,1266853.414956692,7234623.55268237,862615.8197455297,multi-eez
Gabonese Exclusive Economic Zone,8476,27,57.24549079194844,1348.6037313121622,39109.5082080527,2225.2417064958227,64532.00948837886,4641.381666666671,13219501.981301753,6869929.209801013,317358.22633305605,none
South African Exclusive Economic Zone,8396,93,45.9222509686151,549.2667301181766,77446.6089466629,854.8615468917938,120535.47811174291,4456.25222222222,2402055.796032028,2750210.262001344,178676.19458427135,none
Saint Vincent and the Grenadines Exclusive Economic Zone,8421,13,21.081772703947777,93.95881207597667,1409.38218113965,241.9813903327978,3629.7208549919665,4409.126111111112,1048265.0145463768,16668590.326912222,462.88381333813516,none
Kiribati Exclusive Economic Zone (Phoenix Islands),8450,66,68.88515564843937,1412.0928930198768,138385.10351594794,2564.5721367664946,251328.06940311647,4043.2172222222234,11238719.01995604,11238725.121913567,501406.4849446925,multi-eez
