flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
FJI,FALSE,23,35.98129320525334,197.2101456908805,9860.507284544025,444.9531263362706,22247.65631681353,47861.36111111109,20637540.68140969,3928625.8382524243,0
URY,FALSE,45,30.05276336656963,271.8699178496944,20933.98367442647,526.3965723219075,40532.536068786874,35335.0641666666,21015115.93270273,57193.398130962094,0
USA,FALSE,261,37.80274915899164,628.4169071548048,294727.52945560345,1231.1554163903068,577411.8902870539,32019.921666666683,57647411.45592093,64785276.26381158,6450248.631744904
SEN,FALSE,38,41.31444598958394,642.0773296622954,50082.03171365904,1147.0582058532184,89470.54005655104,28873.02249999997,23810649.891569104,56134801.29979145,1891317.8817496405
FSM,FALSE,22,60.40933899169688,1227.580231291498,117847.70220398379,2219.1139222909796,213034.93653993405,28173.194444444474,26994209.452731162,3591268.890671269,0
GBR,TRUE,90,24.81235372500531,281.88966780533053,36081.87747908231,579.5568248868149,74183.2735855123,27525.968055555564,10765230.748886907,1218656.9107534054,309176.5162493769
TUR,FALSE,275,29.157013820892043,155.86589739052718,58605.57741883822,319.0712570758546,119970.79266052131,23094.658888888887,6844778.673249214,8340075.268744392,1330700.033149176
NOR,FALSE,59,51.200447463290125,1539.1670479436366,130829.19907520911,2254.306149658936,191616.02272100956,21180.824722222198,42557108.12067535,17488859.011235908,1741520.8841309475
COK,FALSE,12,28.652791350570517,156.69839848094168,5641.1423453139,540.4035655910354,19454.528361277276,20172.604999999967,11330670.237227228,0,0
NAM,FALSE,16,42.23627952201526,647.7592698452647,19432.778095357942,1197.3704704098789,35921.11411229637,18070.32250000007,11485313.746137055,3058959.828987229,0
PNG,FALSE,18,74.55247457954975,1613.0539427966542,195179.52707839513,2782.1889376321124,336644.86145348556,17676.499166666697,47960827.7961339,15352621.943907075,0
FRO,FALSE,19,48.41523319779755,1370.6196296296296,37006.73,1758.4969628723084,47479.41799755233,14382.854722222197,29387076.301928088,3584033.339483547,1116675.8096722772
ISL,FALSE,22,72.883196699136775,2311.9371082194,71670.0503548014,5479.276140516119,169857.56035599968,13713.550555555543,78239795.89721392,15236519.051848099,2361044.0863835355
MUS,FALSE,10,34.27514415292435,554.7016460149388,12758.137858343593,1117.8164601821543,25709.77858418955,13270.678333333333,7317224.111525312,1046575.5528458474,75142.04597955837
ZAF,FALSE,16,27.195422004975903,230.68535275469458,5536.44846611267,487.4793266051038,11699.50383852249,11270.628611111077,5905077.228174024,1469880.370407911,0
GRC,TRUE,62,24.36825881002119,110.16718243237082,8813.374594589666,267.13791760087406,21371.033408069925,10049.2225,3400997.1981526874,4670226.589768388,336547.68466271495
PHL,FALSE,17,67.54723163841525,1115.1962940852732,65796.58135103113,2453.062305919331,144730.67604924052,9513.693055555545,23484138.13797324,131812332.7751611,0
DEU,TRUE,5,115.46076923076923,6504.461538461538,84558,5928.12923076923,77065.68,9166.51638888904,33664014.16348498,14249789.590428462,287659.9171931962
PRT,TRUE,23,42.87935150552052,673.3034236368993,32318.564334571165,915.2156523192432,43930.35131132368,8731.136388888859,4866377.893212621,1915123.098954859,19769.551439255774
GHA,FALSE,29,52.313540580115244,688.50537132276,44752.8491359794,1321.2975116263638,85884.33825571365,8695.674444444447,8727898.426520409,5186013.222343364,0
SYC,FALSE,37,48.96983305458456,596.4805271759809,40560.6758479667,1165.3446899048577,79243.43891353032,8675.68694444441,7504328.171662365,1511145.888878529,0
ALB,FALSE,20,20.50214138983919,72.27316089412928,2674.1069530827835,310.08775042422883,11473.246765696467,7051.446666666666,2344855.1754270988,1320498.80341583,0
BLZ,FALSE,17,75.82020806480983,2679.788548686616,158107.52437251038,3121.8763880216175,184190.70689327543,6859.766666666634,18772804.469519164,28755077.841785517,94164.78107137408
PAN,FALSE,17,49.52682989163697,853.9492119964817,40989.562175831124,1531.1295216247743,73494.21703798916,6780.783333333845,6090852.721359807,10340826.573949384,0
CAN,FALSE,107,26.75966340669001,370.77982173262933,53763.07415123125,692.3090562700443,100384.81315915642,6645.913333333337,3674282.1548413318,1648337.7895159228,2668480.7311735037
VNM,FALSE,34,19.773699226574628,80.65290452383432,5403.7446030969,218.83086539584775,14661.6679815218,6454.3338888888875,1378537.6975863427,64115307.34516053,0
CUW,FALSE,9,81.22647881720034,2369.535714285714,132694,3860.571062117101,216191.97947855765,5712.471388888892,21187704.427961405,6479332.562792626,651915.2875902458
MYS,FALSE,13,26.66648865652555,107.65493841349806,3121.993213991444,566.0487897307149,16415.414902190732,5649.268611111097,3579835.296514804,16121136.43061902,1175607.7633823354
HKG,FALSE,23,35.07056613112881,558.923352310011,20680.164035470407,571.747729266132,21154.665982846884,5296.016666666667,2199390.9909071745,112730832.30400002,0
CYP,TRUE,4,57.44564540965715,1308.6923076923076,17013,1748.9798416031822,22736.73794084137,5220.648611111045,10654567.851203255,20537143.342592858,88132.79352190661
PSE,FALSE,3,20.9006539801,101.81088540806999,509.05442704035,331.43862546646,1657.1931273323,4390.6708333333345,1247397.5396698676,0,0
MHL,FALSE,8,68.39273382708947,3639.8914123691625,138315.87367002817,2502.333672429391,95088.67955231685,4378.737777777779,11376783.366903922,3474551.6973782466,0
LVA,TRUE,14,52.091888888886665,912.3333333333334,27370,1130.2666666666667,33908,4353.140833333259,3951455.3366666012,6418645.938684597,188369.05844515082
IDN,FALSE,12,24.395442296002546,175.89880413201325,3166.1784743762382,274.9595898426071,4949.272617166928,3842.0305555555738,884095.8471461438,25870962.643905506,0
REU,FALSE,11,60.1244983627076,1503.3618602673962,33073.96092588271,2435.597527886813,53583.14561350989,3791.5683333333327,2283190.830183856,413337.9679331637,53004.96337919398
MLT,TRUE,29,24.557675353553275,135.94404809032142,5709.6500197935,411.3972159121139,17278.683068308783,3533.6833333333334,1188872.242023943,1697679.4682395228,331494.63675765635
KHM,FALSE,1,51.53642028751818,693.1310899381181,1386.2621798762361,925.2305883489728,1850.4611766979456,3412.5633333333412,3157407.9806781393,7606529.385999999,930672.2241
MNG,FALSE,3,29.745567513966666,241.45876003758332,1448.7525602255,389.10321632853334,2334.6192979712,3383.831111111111,1439114.118258059,0,0
KNA,FALSE,8,59.01475529452606,1778.755612170535,33796.35663124017,2227.3737412850533,42320.10108441601,3101.830000000002,4842197.312014458,0,0
COM,FALSE,4,55.708424546294445,1832.2350744824055,16490.11567034165,2040.1909694852834,18361.71872536755,2760.647500000002,2861165.2096568258,5782166.436635087,0
SLB,FALSE,4,69.40305001546129,1432.0054412345542,44392.168678271184,2792.039022567274,86553.2096995855,2662.7847222222244,7565285.672283562,17033537.157239877,0
POL,TRUE,30,27.676311228652423,598.9810746690855,23360.261912094335,675.7719969361331,26355.10788050919,2614.1136111110663,13494119.463475302,12886027.29163697,865454.5633254228
AUS,FALSE,11,27.304330962340856,237.20105021517418,5692.82520516418,366.7915152439174,8802.996365854018,2523.827222222223,788926.7655664533,127667.53947502161,48002.30285671837
NGA,FALSE,2,44.40174635463889,465.3333333333333,1396,1102.7899042418167,3308.36971272545,2340.626666666633,2965777.350617749,991809.8414545923,560917.1405769783
STP,FALSE,1,25.29323135044,81.54110013946,163.08220027892,331.65344464214,663.30688928428,2146.1519444444443,711778.6851004267,284477.17790000007,0.004739999997904448
NLD,TRUE,17,65.38102759052398,3132.6895725602103,87715.30803168588,2530.8479714353775,70863.74320019057,2106.744166666669,9394186.808624882,2872801.095419878,289045.65928053344
SLV,FALSE,5,77.97596951798667,2037.4714112089,61124.142336267,3328.4377968474982,99853.13390542495,2018.6308333333338,6595850.0149887055,803181.7053378997,81185.6255991356
ARG,FALSE,21,42.4815473459282,685.5811054934447,25366.500903257456,1050.800972579902,38879.63598545638,1910.5841666666681,852756.1125363716,393697.3830118656,39667.17983440297
CIV,FALSE,2,50.72513433826932,666.6666666666666,8000,1099.2774796380445,13191.329755656536,1826.4466666666574,1667835.7440429493,3140620.1413928745,938.1910175371901
MAR,FALSE,12,46.89784330577094,726.712099786406,13807.529895941714,706.7563247643523,13428.370170522694,1815.5319444444344,1294602.6981345608,2988021.1603195416,0
HUN,TRUE,1,28.47297390045,171.28026103265,685.1210441306,433.92531436355,1735.7012574542,1782.1302777777796,773311.4410215238,0,0
GNQ,FALSE,14,17.63508179604839,70.62057925473226,2189.2379568967,189.88107107489193,5886.31320332165,1701.5705555555553,302099.195254814,22501.134624264632,9435.262554883519
KIR,FALSE,10,70.72286132424584,1705.3917260858098,81858.80285211887,2802.259822221875,134508.47146665,1697.0619444444496,5097614.171646739,3894198.992109099,0
VEN,FALSE,18,45.17313692714146,589.8130832723687,30080.4672468908,1466.5641052593144,74794.76936822504,1575.4313888888912,2117793.2542867023,5943431.022005065,0
BEL,TRUE,22,33.13451116426124,265.87052940695725,6646.76323517393,868.241887471011,21706.04718677527,1559.8958333333333,1427439.8758011146,421047.67026748677,42999.83778125525
NIC,FALSE,3,69.74222134272142,1674.3626116077041,11720.538281253928,2835.6496375305674,19849.54746271397,1542.420277777771,4041542.8308889368,5122027.609511127,0
SVN,TRUE,1,18.6432950115,60.6800597411,121.3601194822,195.9432112431,391.8864224862,1473.1619444444445,288656.08207557374,556914.1597838583,4154.633887110686
BHR,FALSE,51,25.64680671988866,86.11094390502477,4391.658139156263,402.77847796821567,20541.702376379,1468.0566666666666,500572.0664569712,38395.84630768514,5103.618831419765
MEX,FALSE,16,69.77941388623402,1574.776284386,28345.973118948,3016.626947612467,54299.285057024405,1391.4350000000013,3503153.515030041,6579880.991291579,658117.6880995557
GRL,FALSE,1,23.114922096066667,131.32802618073333,262.65605236146666,281.9971855297667,563.9943710595334,1381.1858333333332,389490.51769358537,47502.071539349694,14800.201106655266
LKA,FALSE,57,21.898265537487944,59.04894793341968,5550.60110574145,354.88069901529815,33358.78570743802,1323.5166666666667,467146.50622077764,682019.2569815237,63.568134202580744
TUN,FALSE,17,28.23980423156301,168.9991714363825,6928.966028891683,492.04463310375814,20173.829957254082,1156.8397222222222,561626.6816022187,27343474.615194716,0
CHL,FALSE,6,61.24368421052632,1367.955,25991.145,1572.038947368421,29868.74,1048.400555555554,1345722.8380694434,1930395.292477727,52553.42175693065
AGO,FALSE,12,41.49500868657218,513.625465399809,8218.007446396943,874.9444130292792,13999.110608468467,988.3327777777797,614164.1579598099,354278.882804031,5309.092712861779
BES,FALSE,2,53.425709754478575,734.0405347512714,5138.283743258899,1332.7670142133215,9329.369099493251,964.9644444444477,1235057.4336830482,377688.2896488292,38000.94648325353
UKR,FALSE,4,34.40170022340231,608.0760983539461,7904.9892786013,630.0109559357057,8190.1424271641745,929.7816666666674,402669.84549116035,14435406.3478125,0
GTM,FALSE,3,79.07616314526082,2120.7894736842104,40295,3454.4446376879523,65634.4481160711,915.322222222222,3137516.395183685,2863734.1403801176,0
SPM,FALSE,4,25.509880602376924,118.96323794678666,594.8161897339334,466.30188332310615,2331.509416615531,880.5563888888904,584695.6552873459,105850.51009352547,13573.885891081627
VCT,FALSE,3,72.11901116750333,1934.5557799088867,9672.778899544433,5009.07352740267,25045.36763701335,836.9766666666595,9452407.035740517,467289.80861850997,19521.646238501806
DJI,FALSE,1,18.5634094186,68.9014991793,137.8029983586,317.630745425,635.26149085,796.2758333333331,252921.68650557965,2691755.33666,0
LTU,TRUE,18,59.57891304347826,2835.1521739130435,65208.5,2706.7237101443475,62254.64533332,753.5247222222216,5907018.188153042,2008164.0757753383,135934.98183991376
ECU,FALSE,6,65.9910946417674,1483.5642857796522,13352.078572016871,2148.2017009247315,19333.81530832258,726.2530555555547,1538774.7565834953,659483.7367410839,7588.419866814764
AFG,FALSE,3,27.9807287171875,67.16368004815,268.6547201926,674.0708978128375,2696.28359125135,665.9208333333349,329629.335684119,0,0
DZA,FALSE,6,29.78127937815391,186.00900175212175,4278.2070402988,470.4781574544061,10820.997621451339,597.523888888889,281182.61912648514,171732245.7728081,1905665.9025004008
LBY,FALSE,9,32.03069209513318,187.97047125592275,4135.3503676303,690.7121309035317,15195.666879877697,580.0061111111113,307534.9639998116,0,0
