flag_iso3,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
FLK,11,72.28246590650535,2174.1663409664084,26089.9960915969,2548.472857215296,30581.67428658355,3821.530000000004,8700805.865290985,984957.7258673226,249886.4082658849
CHL,8,64.6229589462011,1586.1953846153847,20620.54,2102.204546894214,27328.659109624787,3567.18777777774,6062696.6026525935,8696739.514557712,236761.56971564368
PAN,11,55.272324146364284,1093.1729350276134,22956.63163557988,1661.2373949461667,34885.9852938695,3549.2425000000076,4654325.941766008,7901944.04367256,0
CIV,2,52.04025545891819,610.6666666666666,1832,992.9171317306041,2978.751395191812,3180.1266666666465,2739638.3437692802,5158879.340070341,1541.1014511502242
KIR,8,69.26881493868461,1622.08390694507,21087.09079028591,2764.071958973846,35932.93546666,3127.3952777777163,8730211.647281647,6669233.930421378,0
FSM,17,57.1851083940125,1153.9629067750866,27695.10976260208,2098.22598134275,50357.423552226,2779.865000000016,5617794.005198769,747382.837063549,0
VEN,14,51.45471023275635,704.421360735579,12679.584493240422,1628.4391508958333,29311.904716125,2772.2747222222238,3395980.7673375066,9530570.277278759,0
DEU,4,93.72,4744,18976,4321.084,17284.336,2492.32305555555,8560002.50153554,3623401.355169679,73145.45433610746
SLV,7,75.02157248969999,2010.6487227111668,24127.784672534,3355.4559505361794,40265.47140643415,2018.5533333333372,5888079.060937155,716995.8944762303,72473.9618173644
DNK,8,62.56823446792994,2584.7989952907387,20678.39196232591,3552.6344701288776,28421.07576103102,1517.624166666668,5489860.3640727,669540.6637867853,208608.512260759
SEN,6,62.0879754305125,1602.7741908521282,12822.193526817025,2066.4120086083176,16531.29606886654,1495.8883333333167,1178467.7627650914,2778296.8546545934,93607.57320497607
MHL,6,67.66575079743636,1307.1893323365614,14379.082655702176,2385.0699018764535,26235.76892064099,1408.990833333336,3624230.8866584566,1106866.253212023,0
CUW,9,79.80243402206845,2347.8928571428573,32870.5,3823.9828643873666,53535.76010142313,1393.9650000000006,3446245.4656483876,1053883.4228536796,106036.03195822537
IRL,6,36.547513696033334,579.7657274525388,3478.5943647152335,1271.4475382317332,7628.6852293904,1363.7913888888888,1366817.5555349933,626249.8610424497,4390.671454480504
TCA,1,24.134041761099997,134.96925551583334,269.9385110316667,487.5125933513667,975.0251867027334,1350.8566666666675,658559.6368126498,74550.95680396544,18913.77704776488
NLD,4,111.64139216589822,6570.4166666675,26281.66666667,5342.9254213120375,21371.70168524815,1330.137777777773,6136593.5718593,1876608.7043530424,188814.18592679626
"NAM",5,30.5785896508625,277.9406630482641,1389.7033152413208,504.4432173736668,2522.216086868334,1277.6241666666788,567489.795383762,151143.3231872284,0
MNE,1,36.1842348905,46.1745790218,46.1745790218,462.8471233618,462.8471233618,1166.4619444444431,539893.5554971222,0,0
KAZ,1,21.6132089483,65.0702833466,65.0702833466,420.5053390364,420.5053390364,1114.4577777777777,468635.4456861974,0,0
LVA,3,55.653333333333336,708.3333333333334,2125,872.3333333333334,2617,1085.6147222222237,926051.7927777789,1504255.5393626099,44145.634814171826
NZL,6,55.892914763791254,1140.5046455231839,9124.03716418547,1922.18949635145,15377.5159708116,1031.6708333333406,1508015.1775913166,185577.32470079642,0
AUS,8,27.695180250496875,303.5203252307125,2428.1626018457,484.9116535217427,3879.2932281739418,831.4622222222284,407625.6763088189,65963.74897209012,24802.012075609317
ZAF,8,32.706870370366666,280.19574080476826,2521.7616672429144,499.14481596011274,4492.303343641014,818.8622222222272,648170.8257950008,161341.42479314582,0
CHE,1,35.1239649405,190.066975717,190.066975717,609.3136473891,609.3136473891,665.7450000000001,405647.5141810564,0,0
REU,9,65.66007837537032,1723.7756069934842,15513.980462941357,2693.9787381843726,24245.80864365935,634.3213888888889,1748156.9160631709,316477.98237507406,40583.98977958028
PNG,5,77.53285714285714,1635.142857142857,11446,2808.4534,19659.1738,573.789722222224,1896957.4757908392,607230.3650236959,0
ARG,26,50.29518544120133,795.8846153846154,20693,1250.2931276978532,32507.621320144186,512.7305555555595,813002.6437367828,375344.1441409165,37817.98992801298
URY,2,48.7041500614,602.2,3011,898.9143854419628,4494.571927209814,383.55888888890024,369801.10346921964,1006.427078856666,0
NIC,2,72.14872011746667,1819.4248649183642,5458.274594755093,2922.9713229020526,8768.913968706158,382.770277777778,1109650.146633718,1406309.1561263634,0
WSM,1,31.2966566937,189.07130817945,189.07130817945,307.89615983839997,307.89615983839997,375.15916666666675,115510.06674484095,2206970.5785417827,452566.82838643994
