mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
5682,200NM,Italian Exclusive Economic Zone,ITA,12.92786,39.65467,ITA,Italy,Italy,Europe & Central Asia
21789,200NM,Jersey Exclusive Economic Zone,GBR,-2.19116,49.1215,JEY,Jersey,United Kingdom,Europe & Central Asia
26522,200NM,Kazakh Exclusive Economic Zone,KAZ,51.0144,44.47442,KAZ,Kazakhstan,Kazakhstan,Europe & Central Asia
5683,200NM,Latvian Exclusive Economic Zone,LVA,21.35197,57.10433,LVA,Latvia,Latvia,Europe & Central Asia
5684,200NM,Lithuanian Exclusive Economic Zone,LTU,20.36412,55.75527,LTU,Lithuania,Lithuania,Europe & Central Asia
21790,200NM,Monégasque Exclusive Economic Zone,MCO,7.58768,43.34802,MCO,Monaco,Monaco,Europe & Central Asia
5691,200NM,Montenegrin Exclusive economic Zone,MNE,18.68015,41.87023,MNE,Montenegro,Montenegro,Europe & Central Asia
5668,200NM,Dutch Exclusive Economic Zone,NLD,4.18654,53.61208,NLD,Netherlands,Netherlands,Europe & Central Asia
48977,Joint regime,Joint regime area Sweden / Norway,NOR,10.50095,58.80998,NOR,Norway,Norway,Europe & Central Asia
5686,200NM,Norwegian Exclusive Economic Zone,NOR,14.05714,68.18893,NOR,Norway,Norway,Europe & Central Asia
5687,200NM,Polish Exclusive Economic Zone,POL,17.2906,54.90857,POL,Poland,Poland,Europe & Central Asia
8361,200NM,Portuguese Exclusive Economic Zone (Azores),PRT,-27.97601,38.47538,PRT,Portugal,Portugal,Europe & Central Asia
8363,200NM,Portuguese Exclusive Economic Zone (Madeira),PRT,-16.81091,33.17302,PRT,Portugal,Portugal,Europe & Central Asia
5688,200NM,Portuguese Exclusive Economic Zone,PRT,-10.92284,38.31921,PRT,Portugal,Portugal,Europe & Central Asia
5689,200NM,Romanian Exclusive economic Zone,ROU,30.0785,44.24109,ROU,Romania,Romania,Europe & Central Asia
48950,Overlapping claim,Overlapping claim Kuril Islands: Japan / Russia,RUS,147.96154,43.88606,RUS,Russia,Russia,Europe & Central Asia
48978,Joint regime,Joint regime area United States / Russia,RUS,-16.90039,61.18062,RUS,Russia,Russia,Europe & Central Asia
5690,200NM,Russian Exclusive economic Zone,RUS,93.55011,71.3249,RUS,Russia,Russia,Europe & Central Asia
5692,200NM,Slovenian Exclusive Economic Zone,SVN,13.57896,45.56287,SVN,Slovenia,Slovenia,Europe & Central Asia
50167,Joint regime,Joint regime area Croatia / Slovenia,SVN,13.30933,45.4977,SVN,Slovenia,Slovenia,Europe & Central Asia
8364,200NM,Spanish Exclusive Economic Zone (Canary Islands),ESP,-17.61396,28.36715,ESP,Spain,Spain,Europe & Central Asia
8365,Overlapping claim,Overlapping claim Gibraltarian Exclusive Economic Zone,ESP,-5.21961,36.08832,ESP,Spain,Spain,Europe & Central Asia
48966,Joint regime,Joint regime area Spain / France,ESP,-5.33333,45.25417,ESP,Spain,Spain,Europe & Central Asia
49000,Overlapping claim,Overlapping claim Melilla: Spain / Morocco,ESP,-2.91697,35.31672,ESP,Spain,Spain,Europe & Central Asia
49001,Overlapping claim,Overlapping claim Alhucemas Islands: Spain / Morocco,ESP,-3.87866,35.23422,ESP,Spain,Spain,Europe & Central Asia
48998,Overlapping claim,Overlapping claim Perejil Island: Spain / Morocco,ESP,-5.42011,35.91465,ESP,Spain,Spain,Europe & Central Asia
49002,Overlapping claim,Overlapping claim Ceuta: Spain / Morocco,ESP,-5.30551,35.86909,ESP,Spain,Spain,Europe & Central Asia
48999,Overlapping claim,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,ESP,-4.30609,35.18525,ESP,Spain,Spain,Europe & Central Asia
48997,Overlapping claim,Overlapping claim Chafarinas Islands: Spain / Morocco,ESP,-2.45356,35.1699,ESP,Spain,Spain,Europe & Central Asia
5693,200NM,Spanish Exclusive Economic Zone,ESP,-4.15801,41.72201,ESP,Spain,Spain,Europe & Central Asia
48975,Joint regime,Joint regime area Iceland / Norway (Jan Mayen),NOR,-8.5,69.29167,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
33181,200NM,Svalbard Exclusive Economic Zone,NOR,18.28904,78.7134,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
8437,200NM,Jan Mayen Exclusive Economic Zone,NOR,-5.25129,71.11421,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
5694,200NM,Swedish Exclusive Economic Zone,SWE,18.11517,59.4855,SWE,Sweden,Sweden,Europe & Central Asia
48977,Joint regime,Joint regime area Sweden / Norway,SWE,10.50095,58.80998,SWE,Sweden,Sweden,Europe & Central Asia
5697,200NM,Turkish Exclusive Economic Zone,TUR,33.2206,40.52224,TUR,Turkey,Turkey,Europe & Central Asia
26523,200NM,Turkmen Exclusive Economic Zone,TKM,52.63853,39.29232,TKM,Turkmenistan,Turkmenistan,Europe & Central Asia
5695,Overlapping claim,Overlapping claim Ukrainian Exclusive Economic Zone,UKR,33.63465,44.95192,UKR,Ukraine,Ukraine,Europe & Central Asia
48967,Joint regime,Joint regime area United Kingdom / Denmark (Faeroe Islands),GBR,-7.51858,60.03609,GBR,United Kingdom,United Kingdom,Europe & Central Asia
5696,200NM,United Kingdom Exclusive Economic Zone,GBR,-4.28967,56.77953,GBR,United Kingdom,United Kingdom,Europe & Central Asia
