RegionName,Country,Category,Type,Constant 2018 USD,Data Type
Africa,Cape Verde,Beneficial,Fishery R&D,348022.26,Modeled
Africa,Cape Verde,Beneficial,MPAs,,Modeled
Africa,Cape Verde,Capacity-enhancing,Boat constsruct. & renov.,937112.88,Modeled
Africa,Cape Verde,Capacity-enhancing,Fisheries dev. projects,1648340.53,Reported
Africa,Cape Verde,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Cape Verde,Capacity-enhancing,Markt. & storage infrast.,15221812.24,Modeled
Africa,Cape Verde,Capacity-enhancing,Tax exemption,1567385.02,Modeled
Africa,Cape Verde,Capacity-enhancing,Fishing access,1221567.68,Modeled
Africa,Cape Verde,Capacity-enhancing,Fuel subsidies,880167.57,Modeled
Africa,Cape Verde,Ambiguous,Fisher assistance,,Modeled
Africa,Cape Verde,Ambiguous,Vessel buyback,,Modeled
Africa,Cape Verde,Ambiguous,Rural fisher communities,,Modeled
Africa,Comoros,Beneficial,Fisheries mangt.,3311832.35,Reported
Africa,Comoros,Beneficial,Fishery R&D,137410.10,Modeled
Africa,Comoros,Beneficial,MPAs,,Modeled
Africa,Comoros,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Comoros,Capacity-enhancing,Fisheries dev. projects,7390076.37,Modeled
Africa,Comoros,Capacity-enhancing,Fishing port develop.,47644064.00,Reported
Africa,Comoros,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
Africa,Comoros,Capacity-enhancing,Tax exemption,,Modeled
Africa,Comoros,Capacity-enhancing,Fishing access,1622522.98,Modeled
Africa,Comoros,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Comoros,Ambiguous,Fisher assistance,,Modeled
Africa,Comoros,Ambiguous,Vessel buyback,,Modeled
Africa,Comoros,Ambiguous,Rural fisher communities,74091.93,Modeled
Africa,Congo Dem Rep,Beneficial,Fisheries mangt.,2956675.53,Modeled
Africa,Congo Dem Rep,Beneficial,Fishery R&D,,Modeled
Africa,Congo Dem Rep,Beneficial,MPAs,439062.57,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Fisheries dev. projects,302615.39,Reported
Africa,Congo Dem Rep,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Tax exemption,,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Fishing access,,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Congo Dem Rep,Ambiguous,Fisher assistance,,Modeled
Africa,Congo Dem Rep,Ambiguous,Vessel buyback,,Modeled
Africa,Congo Dem Rep,Ambiguous,Rural fisher communities,,Modeled
Africa,Congo Republic,Beneficial,Fisheries mangt.,408629.12,Reported
Africa,Congo Republic,Beneficial,Fishery R&D,682127.97,Modeled
Africa,Congo Republic,Beneficial,MPAs,312560.17,Modeled
Africa,Congo Republic,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Congo Republic,Capacity-enhancing,Fisheries dev. projects,331981.57,Reported
Africa,Congo Republic,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Congo Republic,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Congo Republic,Capacity-enhancing,Tax exemption,905912.88,Modeled
Africa,Congo Republic,Capacity-enhancing,Fishing access,265119.04,Modeled
Africa,Congo Republic,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Congo Republic,Ambiguous,Fisher assistance,,Modeled
Africa,Congo Republic,Ambiguous,Vessel buyback,,Modeled
Africa,Congo Republic,Ambiguous,Rural fisher communities,,Modeled
Africa,Cote d'Ivoire,Beneficial,Fisheries mangt.,3271594.83,Reported
Africa,Cote d'Ivoire,Beneficial,Fishery R&D,922608.46,Modeled
Africa,Cote d'Ivoire,Beneficial,MPAs,213080.52,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Fisheries dev. projects,29977597.08,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Fishing port develop.,8469529.03,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Markt. & storage infrast.,8443324.37,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Tax exemption,1889723.00,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Fishing access,655127.14,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Fuel subsidies,2147412.50,Reported
Africa,Cote d'Ivoire,Ambiguous,Fisher assistance,2883255.61,Reported
Africa,Cote d'Ivoire,Ambiguous,Vessel buyback,,Modeled
Africa,Cote d'Ivoire,Ambiguous,Rural fisher communities,411787.82,Reported
Africa,Djibouti,Beneficial,Fisheries mangt.,1876666.66,Reported
Africa,Djibouti,Beneficial,Fishery R&D,,Modeled
Africa,Djibouti,Beneficial,MPAs,,Modeled
Africa,Djibouti,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Djibouti,Capacity-enhancing,Fisheries dev. projects,451150.02,Modeled
Africa,Djibouti,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Djibouti,Capacity-enhancing,Markt. & storage infrast.,2730000.00,Reported
Africa,Djibouti,Capacity-enhancing,Tax exemption,61513.27,Modeled
Africa,Djibouti,Capacity-enhancing,Fishing access,6775.11,Modeled
Africa,Djibouti,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Djibouti,Ambiguous,Fisher assistance,382500.00,Reported
Africa,Djibouti,Ambiguous,Vessel buyback,,Modeled
Africa,Djibouti,Ambiguous,Rural fisher communities,21761.25,Modeled
Africa,Egypt,Beneficial,Fisheries mangt.,19599567.64,Modeled
Africa,Egypt,Beneficial,Fishery R&D,1643645.13,Modeled
Africa,Egypt,Beneficial,MPAs,4741507.45,Modeled
Africa,Egypt,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Egypt,Capacity-enhancing,Fisheries dev. projects,29385911.24,Modeled
Africa,Egypt,Capacity-enhancing,Fishing port develop.,19973336.61,Modeled
Africa,Egypt,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Egypt,Capacity-enhancing,Tax exemption,,Modeled
Africa,Egypt,Capacity-enhancing,Fishing access,4416742.68,Modeled
Africa,Egypt,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Egypt,Ambiguous,Fisher assistance,,Modeled
Africa,Egypt,Ambiguous,Vessel buyback,,Modeled
Africa,Egypt,Ambiguous,Rural fisher communities,,Modeled
Africa,Equatorial Guinea,Beneficial,Fisheries mangt.,175989.19,Reported
Africa,Equatorial Guinea,Beneficial,Fishery R&D,,Modeled
Africa,Equatorial Guinea,Beneficial,MPAs,1481876.09,Modeled
Africa,Equatorial Guinea,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Equatorial Guinea,Capacity-enhancing,Fisheries dev. projects,115455.95,Reported
Africa,Equatorial Guinea,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Equatorial Guinea,Capacity-enhancing,Markt. & storage infrast.,883872.25,Reported
Africa,Equatorial Guinea,Capacity-enhancing,Tax exemption,,Modeled
Africa,Equatorial Guinea,Capacity-enhancing,Fishing access,15258.23,Modeled
Africa,Equatorial Guinea,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Equatorial Guinea,Ambiguous,Fisher assistance,565886.19,Reported
Africa,Equatorial Guinea,Ambiguous,Vessel buyback,,Modeled
Africa,Equatorial Guinea,Ambiguous,Rural fisher communities,703956.75,Reported
Africa,Eritrea,Beneficial,Fisheries mangt.,11252411.16,Reported
Africa,Eritrea,Beneficial,Fishery R&D,81789.59,Modeled
Africa,Eritrea,Beneficial,MPAs,,Modeled
Africa,Eritrea,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Eritrea,Capacity-enhancing,Fisheries dev. projects,754344.25,Reported
Africa,Eritrea,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Eritrea,Capacity-enhancing,Markt. & storage infrast.,9858787.65,Reported
Africa,Eritrea,Capacity-enhancing,Tax exemption,,Modeled
Africa,Eritrea,Capacity-enhancing,Fishing access,,Modeled
Africa,Eritrea,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Eritrea,Ambiguous,Fisher assistance,,Modeled
Africa,Eritrea,Ambiguous,Vessel buyback,,Modeled
Africa,Eritrea,Ambiguous,Rural fisher communities,44101.19,Modeled
Africa,Gabon,Beneficial,Fisheries mangt.,19173252.67,Modeled
Africa,Gabon,Beneficial,Fishery R&D,4603276.25,Modeled
Africa,Gabon,Beneficial,MPAs,12007262.61,Modeled
Africa,Gabon,Capacity-enhancing,Boat constsruct. & renov.,1964423.44,Modeled
Africa,Gabon,Capacity-enhancing,Fisheries dev. projects,5062335.48,Modeled
Africa,Gabon,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Gabon,Capacity-enhancing,Markt. & storage infrast.,4037944.36,Modeled
Africa,Gabon,Capacity-enhancing,Tax exemption,6036531.90,Modeled
Africa,Gabon,Capacity-enhancing,Fishing access,24940.23,Modeled
Africa,Gabon,Capacity-enhancing,Fuel subsidies,7430053.82,Modeled
Africa,Gabon,Ambiguous,Fisher assistance,,Modeled
Africa,Gabon,Ambiguous,Vessel buyback,,Modeled
Africa,Gabon,Ambiguous,Rural fisher communities,2635132.00,Modeled
Africa,Gambia,Beneficial,Fisheries mangt.,1085070.82,Reported
Africa,Gambia,Beneficial,Fishery R&D,1343736.73,Modeled
Africa,Gambia,Beneficial,MPAs,232967.75,Modeled
Africa,Gambia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Gambia,Capacity-enhancing,Fisheries dev. projects,6293828.99,Modeled
Africa,Gambia,Capacity-enhancing,Fishing port develop.,4277858.33,Modeled
Africa,Gambia,Capacity-enhancing,Markt. & storage infrast.,8333998.51,Modeled
Africa,Gambia,Capacity-enhancing,Tax exemption,858149.10,Modeled
Africa,Gambia,Capacity-enhancing,Fishing access,16465.68,Modeled
Africa,Gambia,Capacity-enhancing,Fuel subsidies,0.00,Reported
Africa,Gambia,Ambiguous,Fisher assistance,,Modeled
Africa,Gambia,Ambiguous,Vessel buyback,,Modeled
Africa,Gambia,Ambiguous,Rural fisher communities,724546.85,Modeled
Africa,Ghana,Beneficial,Fisheries mangt.,5107681.32,Reported
Africa,Ghana,Beneficial,Fishery R&D,2588773.29,Modeled
Africa,Ghana,Beneficial,MPAs,474609.96,Modeled
Africa,Ghana,Capacity-enhancing,Boat constsruct. & renov.,4693988.20,Reported
Africa,Ghana,Capacity-enhancing,Fisheries dev. projects,42070391.62,Modeled
Africa,Ghana,Capacity-enhancing,Fishing port develop.,28594862.56,Modeled
Africa,Ghana,Capacity-enhancing,Markt. & storage infrast.,296819.01,Reported
Africa,Ghana,Capacity-enhancing,Tax exemption,3790719.00,Reported
Africa,Ghana,Capacity-enhancing,Fishing access,2053122.88,Modeled
Africa,Ghana,Capacity-enhancing,Fuel subsidies,63219653.83,Reported
Africa,Ghana,Ambiguous,Fisher assistance,1520070.30,Reported
Africa,Ghana,Ambiguous,Vessel buyback,,Modeled
Africa,Ghana,Ambiguous,Rural fisher communities,474609.96,Reported
Africa,Guinea,Beneficial,Fisheries mangt.,1334303.95,Reported
Africa,Guinea,Beneficial,Fishery R&D,38000.00,Reported
Africa,Guinea,Beneficial,MPAs,1067840.65,Modeled
Africa,Guinea,Capacity-enhancing,Boat constsruct. & renov.,175000.00,Reported
Africa,Guinea,Capacity-enhancing,Fisheries dev. projects,11633575.83,Reported
Africa,Guinea,Capacity-enhancing,Fishing port develop.,1123156.63,Reported
Africa,Guinea,Capacity-enhancing,Markt. & storage infrast.,703850.62,Reported
Africa,Guinea,Capacity-enhancing,Tax exemption,2154352.98,Modeled
Africa,Guinea,Capacity-enhancing,Fishing access,705379.22,Modeled
Africa,Guinea,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Guinea,Ambiguous,Fisher assistance,41890.62,Reported
Africa,Guinea,Ambiguous,Vessel buyback,,Modeled
Africa,Guinea,Ambiguous,Rural fisher communities,150000.00,Reported
Africa,Guinea-Bissau,Beneficial,Fisheries mangt.,2831394.74,Reported
Africa,Guinea-Bissau,Beneficial,Fishery R&D,61420.48,Reported
Africa,Guinea-Bissau,Beneficial,MPAs,2620727.20,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Fisheries dev. projects,91002.75,Reported
Africa,Guinea-Bissau,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Tax exemption,,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Fishing access,,Modeled
Africa,Guinea-Bissau,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Guinea-Bissau,Ambiguous,Fisher assistance,,Modeled
Africa,Guinea-Bissau,Ambiguous,Vessel buyback,,Modeled
Africa,Guinea-Bissau,Ambiguous,Rural fisher communities,3145637.37,Modeled
Africa,Kenya,Beneficial,Fisheries mangt.,7614342.82,Reported
Africa,Kenya,Beneficial,Fishery R&D,529675.13,Reported
Africa,Kenya,Beneficial,MPAs,2234932.36,Modeled
Africa,Kenya,Capacity-enhancing,Boat constsruct. & renov.,711467.05,Reported
Africa,Kenya,Capacity-enhancing,Fisheries dev. projects,37940178.82,Reported
Africa,Kenya,Capacity-enhancing,Fishing port develop.,4444600.86,Reported
Africa,Kenya,Capacity-enhancing,Markt. & storage infrast.,3204817.92,Reported
Africa,Kenya,Capacity-enhancing,Tax exemption,441949.92,Modeled
Africa,Kenya,Capacity-enhancing,Fishing access,315437.34,Modeled
Africa,Kenya,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Kenya,Ambiguous,Fisher assistance,195619.33,Reported
Africa,Kenya,Ambiguous,Vessel buyback,,Modeled
Africa,Kenya,Ambiguous,Rural fisher communities,,Modeled
Africa,Liberia,Beneficial,Fisheries mangt.,66376.00,Reported
Africa,Liberia,Beneficial,Fishery R&D,,Modeled
Africa,Liberia,Beneficial,MPAs,207925.21,Modeled
Africa,Liberia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Liberia,Capacity-enhancing,Fisheries dev. projects,2263687.05,Modeled
Africa,Liberia,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Liberia,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Liberia,Capacity-enhancing,Tax exemption,308648.52,Modeled
Africa,Liberia,Capacity-enhancing,Fishing access,1019.04,Modeled
Africa,Liberia,Capacity-enhancing,Fuel subsidies,1584758.44,Modeled
Africa,Liberia,Ambiguous,Fisher assistance,,Modeled
Africa,Liberia,Ambiguous,Vessel buyback,,Modeled
Africa,Liberia,Ambiguous,Rural fisher communities,357067.96,Modeled
Africa,Libya,Beneficial,Fisheries mangt.,13104412.95,Modeled
Africa,Libya,Beneficial,Fishery R&D,3146218.01,Modeled
Africa,Libya,Beneficial,MPAs,,Modeled
Africa,Libya,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Libya,Capacity-enhancing,Fisheries dev. projects,,Modeled
Africa,Libya,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Libya,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Libya,Capacity-enhancing,Tax exemption,,Modeled
Africa,Libya,Capacity-enhancing,Fishing access,,Modeled
Africa,Libya,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Libya,Ambiguous,Fisher assistance,,Modeled
Africa,Libya,Ambiguous,Vessel buyback,,Modeled
Africa,Libya,Ambiguous,Rural fisher communities,,Modeled
Africa,Madagascar,Beneficial,Fisheries mangt.,50033939.11,Reported
Africa,Madagascar,Beneficial,Fishery R&D,1219063.28,Modeled
Africa,Madagascar,Beneficial,MPAs,10027541.19,Modeled
Africa,Madagascar,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Madagascar,Capacity-enhancing,Fisheries dev. projects,32804971.73,Reported
Africa,Madagascar,Capacity-enhancing,Fishing port develop.,22974.11,Reported
Africa,Madagascar,Capacity-enhancing,Markt. & storage infrast.,39887.51,Reported
Africa,Madagascar,Capacity-enhancing,Tax exemption,,Modeled
Africa,Madagascar,Capacity-enhancing,Fishing access,35073.78,Modeled
Africa,Madagascar,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Madagascar,Ambiguous,Fisher assistance,,Modeled
Africa,Madagascar,Ambiguous,Vessel buyback,,Modeled
Africa,Madagascar,Ambiguous,Rural fisher communities,657322.55,Modeled
Africa,Mauritania,Beneficial,Fisheries mangt.,3090217.04,Reported
Africa,Mauritania,Beneficial,Fishery R&D,511872.20,Reported
Africa,Mauritania,Beneficial,MPAs,818875.30,Modeled
Africa,Mauritania,Capacity-enhancing,Boat constsruct. & renov.,1955973.63,Modeled
Africa,Mauritania,Capacity-enhancing,Fisheries dev. projects,1016060.92,Reported
Africa,Mauritania,Capacity-enhancing,Fishing port develop.,14709876.34,Reported
Africa,Mauritania,Capacity-enhancing,Markt. & storage infrast.,6367759.65,Reported
Africa,Mauritania,Capacity-enhancing,Tax exemption,3271498.92,Modeled
Africa,Mauritania,Capacity-enhancing,Fishing access,122240.29,Modeled
Africa,Mauritania,Capacity-enhancing,Fuel subsidies,2026868.78,Modeled
Africa,Mauritania,Ambiguous,Fisher assistance,1255344.91,Reported
Africa,Mauritania,Ambiguous,Vessel buyback,,Modeled
Africa,Mauritania,Ambiguous,Rural fisher communities,3674286.28,Modeled
Africa,Mauritius,Beneficial,Fisheries mangt.,3922568.52,Modeled
Africa,Mauritius,Beneficial,Fishery R&D,,Modeled
Africa,Mauritius,Beneficial,MPAs,780448.58,Modeled
Africa,Mauritius,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Mauritius,Capacity-enhancing,Fisheries dev. projects,1349623.73,Modeled
Africa,Mauritius,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Mauritius,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Mauritius,Capacity-enhancing,Tax exemption,,Modeled
Africa,Mauritius,Capacity-enhancing,Fishing access,6051.47,Modeled
Africa,Mauritius,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Mauritius,Ambiguous,Fisher assistance,,Modeled
Africa,Mauritius,Ambiguous,Vessel buyback,,Modeled
Africa,Mauritius,Ambiguous,Rural fisher communities,,Modeled
Africa,Morocco,Beneficial,Fisheries mangt.,55146226.48,Reported
Africa,Morocco,Beneficial,Fishery R&D,21712214.83,Modeled
Africa,Morocco,Beneficial,MPAs,2795403.86,Modeled
Africa,Morocco,Capacity-enhancing,Boat constsruct. & renov.,13605636.34,Modeled
Africa,Morocco,Capacity-enhancing,Fisheries dev. projects,163395849.46,Reported
Africa,Morocco,Capacity-enhancing,Fishing port develop.,1643404.05,Reported
Africa,Morocco,Capacity-enhancing,Markt. & storage infrast.,13351220.26,Reported
Africa,Morocco,Capacity-enhancing,Tax exemption,7531986.70,Reported
Africa,Morocco,Capacity-enhancing,Fishing access,289710.22,Modeled
Africa,Morocco,Capacity-enhancing,Fuel subsidies,8047876.20,Reported
Africa,Morocco,Ambiguous,Fisher assistance,2593599.73,Reported
Africa,Morocco,Ambiguous,Vessel buyback,,Modeled
Africa,Morocco,Ambiguous,Rural fisher communities,11707290.92,Modeled
Africa,Mozambique,Beneficial,Fisheries mangt.,13228364.17,Reported
Africa,Mozambique,Beneficial,Fishery R&D,525204.48,Reported
Africa,Mozambique,Beneficial,MPAs,1300751.47,Modeled
Africa,Mozambique,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Mozambique,Capacity-enhancing,Fisheries dev. projects,7749905.32,Reported
Africa,Mozambique,Capacity-enhancing,Fishing port develop.,11923445.75,Modeled
Africa,Mozambique,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
Africa,Mozambique,Capacity-enhancing,Tax exemption,2391873.08,Modeled
Africa,Mozambique,Capacity-enhancing,Fishing access,,Modeled
Africa,Mozambique,Capacity-enhancing,Fuel subsidies,1473898.47,Modeled
Africa,Mozambique,Ambiguous,Fisher assistance,195496.05,Reported
Africa,Mozambique,Ambiguous,Vessel buyback,,Modeled
Africa,Mozambique,Ambiguous,Rural fisher communities,691360.07,Modeled
Africa,Namibia,Beneficial,Fisheries mangt.,12877659.34,Reported
Africa,Namibia,Beneficial,Fishery R&D,3682060.97,Modeled
Africa,Namibia,Beneficial,MPAs,592958.25,Modeled
Africa,Namibia,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Namibia,Capacity-enhancing,Fisheries dev. projects,39733058.01,Modeled
Africa,Namibia,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Namibia,Capacity-enhancing,Markt. & storage infrast.,52612685.65,Modeled
Africa,Namibia,Capacity-enhancing,Tax exemption,,Modeled
Africa,Namibia,Capacity-enhancing,Fishing access,13027.17,Modeled
Africa,Namibia,Capacity-enhancing,Fuel subsidies,5167175.59,Modeled
Africa,Namibia,Ambiguous,Fisher assistance,294376.12,Reported
Africa,Namibia,Ambiguous,Vessel buyback,,Modeled
Africa,Namibia,Ambiguous,Rural fisher communities,,Modeled
Africa,Nigeria,Beneficial,Fisheries mangt.,67382656.54,Modeled
Africa,Nigeria,Beneficial,Fishery R&D,5650796.87,Modeled
Africa,Nigeria,Beneficial,MPAs,,Modeled
Africa,Nigeria,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Nigeria,Capacity-enhancing,Fisheries dev. projects,81180864.77,Modeled
Africa,Nigeria,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Nigeria,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Nigeria,Capacity-enhancing,Tax exemption,,Modeled
Africa,Nigeria,Capacity-enhancing,Fishing access,1588003.99,Modeled
Africa,Nigeria,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Nigeria,Ambiguous,Fisher assistance,12926924.14,Modeled
Africa,Nigeria,Ambiguous,Vessel buyback,,Modeled
Africa,Nigeria,Ambiguous,Rural fisher communities,3046926.50,Modeled
Africa,Sao Tome Prn,Beneficial,Fisheries mangt.,1582020.39,Modeled
Africa,Sao Tome Prn,Beneficial,Fishery R&D,,Modeled
Africa,Sao Tome Prn,Beneficial,MPAs,,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Boat constsruct. & renov.,,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Fisheries dev. projects,1569204.61,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Fishing port develop.,,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Markt. & storage infrast.,,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Tax exemption,,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Fishing access,48719.93,Modeled
Africa,Sao Tome Prn,Capacity-enhancing,Fuel subsidies,,Modeled
Africa,Sao Tome Prn,Ambiguous,Fisher assistance,,Modeled
Africa,Sao Tome Prn,Ambiguous,Vessel buyback,,Modeled
Africa,Sao Tome Prn,Ambiguous,Rural fisher communities,71536.21,Modeled
Africa,Senegal,Beneficial,Fisheries mangt.,12115508.92,Reported
Africa,Senegal,Beneficial,Fishery R&D,4642145.72,Modeled
Africa,Senegal,Beneficial,MPAs,2354040.16,Modeled
Africa,Senegal,Capacity-enhancing,Boat constsruct. & renov.,7321817.66,Reported
Africa,Senegal,Capacity-enhancing,Fisheries dev. projects,136042502.42,Modeled
Africa,Senegal,Capacity-enhancing,Fishing port develop.,22286705.89,Reported
Africa,Senegal,Capacity-enhancing,Markt. & storage infrast.,18921457.43,Reported
Africa,Senegal,Capacity-enhancing,Tax exemption,18549082.05,Modeled
Africa,Senegal,Capacity-enhancing,Fishing access,44711296.53,Modeled
Africa,Senegal,Capacity-enhancing,Fuel subsidies,17042252.59,Reported
Africa,Senegal,Ambiguous,Fisher assistance,21662877.26,Modeled
