flag,total_vessels,total_kwhr,pct_effort,average_length,average_tonnage
LBR,1,18180528.512113113,3e-4,81.27670367048572,1944
BHR,58,18119520.485256057,3e-4,25.39602167965,89.42486536291543
TZA,2,16722990.742049158,3e-4,42.543720398994445,355.98326079364443
PER,3,14657647.272964321,2e-4,41.474273829760556,611.3061238619323
SVK,3,12271346.259761281,2e-4,27.951557824414998,119.38983558691
COM,4,10464002.935799552,2e-4,40.635570619132814,297.6259085075125
KNA,8,9790195.758803835,1e-4,57.0438885507396,1560.6300154722996
IRN,16,9707741.839215986,1e-4,43.026602096071606,644.2735971444382
NCL,5,9112796.19381475,1e-4,21.98816318631,105.06407035436
SHN,6,8586857.198542478,1e-4,33.500837803925,498.35818308396875
GCA,1,8090525.228059503,1e-4,79.8,2109
KHM,3,6249953.365562873,1e-4,38.74317901889243,395.4667972402049
NGA,1,5521458.922194437,1e-4,51.33422977563334,633
TUN,19,4690083.470420012,1e-4,28.603544055895835,174.231163224014
MNG,6,4538639.910125822,1e-4,29.37481057949375,229.9836377186375
QAT,11,4426381.585352304,1e-4,17.643681270478062,54.7912878396364
BGR,18,3919243.1575615574,1e-4,17.851791667352167,38.600483335485414
NRU,3,3881163.359544889,1e-4,57.76204891743889,1524.2223165144333
SPM,4,3691619.4757462526,1e-4,28.94202905697902,160.79289325271515
BES,2,3344882.5114999833,1e-4,51.643233540975004,701.2600320352
IDN,16,2913876.2751622675,0,22.02413250062385,131.5841004511009
BRA,3,2668868.5392628205,0,23.28787114836533,81.29931748459133
ATF,7,2603352.4272799566,0,48.247645689736366,929.7122153005909
TCA,2,2570575.396035623,0,25.416436656960002,147.79499845276666
BTN,39,2424661.788837774,0,25.919061548256977,223.67093818636704
HUN,1,2378567.577156872,0,28.47297390045,171.28026103265
GUF,3,2259839.195143894,0,25.125171546879763,124.69602051246666
UNK,2,2016042.9186000961,0,81.75571604790835,4269.5
SVN,7,1829201.7078360412,0,15.728542234930263,24.030147312894737
LBY,13,1628487.2493035987,0,32.53259898280107,205.6424634384875
MNE,5,1611440.0944282217,0,23.2050839152925,70.6747174325725
IRQ,9,1570816.130091496,0,23.61373758798,261.94324457568
GEO,6,1328064.6971705174,0,70.18084597154285,3025.8909013091
MDV,3,1252529.3722569402,0,33.465818806425,498.804794706075
KEN,1,1209988.7286632499,0,35.9488142335,457.1985583855
BMU,3,1165551.738324648,0,39.18461956016,625.4343893177933
WSM,4,1154955.1453699218,0,40.31190728175,485.660982335225
DZA,10,1149266.2803798588,0,28.315429513485,164.07072755689165
PSE,4,1110279.205550346,0,20.961152630725,100.07554917073125
LBN,9,1076647.5040485892,0,22.510274714473333,59.20464916583
SGP,13,913243.1677047228,0,24.717555388942156,172.11606152891372
AZE,11,823662.0947111313,0,29.65144673130606,275.1936573681318
AIA,3,770444.1708938675,0,33.34411856156667,394.4301661773222
STP,4,686783.5132011466,0,26.628305793030833,116.02170101751916
SOM,22,610116.152578231,0,26.47226802312174,223.98642115933478
CMR,2,603144.9618316696,0,41.797130952465004,344.85047446
CAF,12,566458.35878052935,0,18.478845343894445,55.24493384247222
PYF,3,531923.1762394542,0,20.49208948485417,68.70259771305416
CRI,2,512704.81310036243,0,38.70985214553333,178.32845606005554
MDA,7,446183.63516422757,0,21.932160396625,175.48133414723125
NIU,2,419539.93385880406,0,52.88025293261111,755.7447067159778
GNQ,12,401415.38112437906,0,17.901183682120372,49.35624395750185
ROM,4,388349.23316666664,0,23.1125,97.27
YEM,5,372693.95137459785,0,19.557958278633333,84.0923491239
KGZ,4,367839.95558645553,0,23.64012676061875,146.59104162555627
BEN,3,353853.1874451995,0,22.3863272754,99.09426994653333
GMB,2,339025.7604434631,0,18.83457233125,82.4503951352
AFG,5,337953.48387437576,0,28.886415271785,87.49888802714
WLF,2,311726.8428437544,0,21.293327380599997,68.39476233785001
TUV,1,307441.9619430221,0,73.67,1472.2611599095
EGY,3,293656.3012293092,0,25.844157818452384,217.8503068774857
PRK,5,290460.57963300264,0,28.488972222925,192.63782502230833
JOR,3,288213.1466166378,0,26.81416999475,212.06716211935
IND,5,234755.07631232866,0,42.99213172810625,549.7162704335813
DJI,1,217130.61295727766,0,18.5634094186,68.9014991793
ISR,3,204410.48368344258,0,21.38272361635,66.9008707555125
AUT,2,203587.69905981267,0,18.30965611115,47.92887464172499
GIB,4,193776.3129397157,0,16.99956448064,49.12169782544
MWI,8,185265.73849776632,0,32.74581691865,264.8661832014188
THA,4,181864.39883970155,0,24.670005070065557,84.51318400852334
COG,6,167169.3233345831,0,25.666427844241667,229.14760969526944
NPL,1,156754.58022663856,0,17.5420479881,46.0523582703
LUX,3,151419.5212291606,0,37.24443745008333,1141.2642908418334
MTQ,1,143960.26410546104,0,18.1105799645,39.5498161119
OMN,2,143472.12331542533,0,23.406152291025002,162.51771275862498
MAC,2,133921.55647106198,0,26.287803723883336,149.1401687396611
PCN,5,131832.23927072666,0,32.602279847953334,388.4272810052733
CXR,4,118112.38299870369,0,19.24555850501875,158.3726298620625
HTI,2,84886.14186582055,0,23.02595911765,94.835614309525
ARM,2,64250.25447633244,0,21.133271582775002,140.139760461575
LIE,3,60049.71210158767,0,18.432626484049997,55.46853910118333
SRB,1,59816.16755223062,0,21.242310849,61.7769838026
TGO,2,55659.00868423519,0,27.080723662266667,209.2433160807667
CUB,1,54583.6112194391,0,30.7796689202,84.8292531349
BHS,2,51469.731901488994,0,26.13468509395,286.3761448944
VAT,1,48976.93689293523,0,17.5666063677,41.3167706785
SLE,2,48661.96844102118,0,39.218790060375,1613.583358172875
KWT,1,44099.006170002074,0,15.7149268479,25.149062358
GUY,1,35748.52750299693,0,38.8810955073,186.3333278671
TTO,1,33331.61647595601,0,21.78822187865,68.05640201505
MMR,1,33181.31073535355,0,19.6476403805,111.6273500349
AND,1,28990.322156017606,0,21.907851522566666,72.9371726633
MSR,1,26790.40450672312,0,24.6652757345,179.8492718625
SAU,1,21855.042794873774,0,36.2916966978,117.7018930661
NER,1,20280.577402066967,0,33.5409818567,167.8646463289
BWA,2,20209.80026554598,0,19.942283658050002,64.2213855462
MDG,1,20171.807073444623,0,19.8372312046,50.2172410077
ZMB,1,19714.502365623794,0,27.1330791117,28.0067221404
BFA,1,17939.788832357586,0,44.1523260405,513.3062638259
CZE,1,16751.72282063869,0,39.461344756,1228.3770391006
BOL,1,13035.561729996065,0,19.5447144134,32.8636997682
BIH,1,11392.734427033549,0,14.0417630089,20.6654775277
VGB,1,10937.37604892908,0,35.61155466776667,353.8796370969333
SSD,2,8029.617484781245,0,39.89489494874999,290.32842923605
HND,1,7371.9232784701,0,16.1690540974,49.5410447903
SMR,1,6577.753737135663,0,20.6612160829,21.1515104893
ATG,1,6003.359611168167,0,26.5027711735,210.26788573160002
BRN,2,4202.020135931099,0,24.5110705087,302.84795937215
BRB,4,3794.116455492582,0,29.6514345094875,225.2956607625125
LSO,1,2362.8322347136423,0,21.5552949236,68.4855694642
DOM,1,2271.868631547252,0,34.6905826901,432.250177703
SWZ,1,1841.3803556648702,0,29.58431211,108.1943820715
ARE,1,1139.8987399085909,0,34.5325399087,388.3855231491
SYR,1,863.8211276691663,0,25.7048033578,38.6973828351
GRD,1,800.3264137925119,0,33.6860686975,192.2040022424
BDI,1,268.85013597941617,0,27.922094637433332,265.7572132285333
BGD,1,98.919572541,0,29.2954746251,944.4010035746
SDN,1,58.935622154351734,0,23.7303873023,263.5751261638
RWA,1,57.0138863101469,0,30.15010180685,323.09947887375
