flag,eez_iso3,effort_per_eez
DEU,CHN,2234.344861231
DEU,DNK,14058.056111933
DEU,ESH,686.9526389
DEU,ESP,75.839444449
DEU,EST,54.11194444
DEU,FIN,20.35208333
DEU,FRA,828.993055588
DEU,FRO,294.864166622
DEU,GBR,17096.058054998
DEU,GGY,14.83569444
DEU,GRL,9894.3951389
DEU,IRL,6188.2509721999995
DEU,ISL,115.169027784
DEU,KOR,17.02277778
DEU,LVA,106.9275
DEU,MAR,1.708611111
DEU,MRT,51.124166665999994
DEU,NLD,19188.535693911
DEU,NOR,14486.445695354
DEU,POL,704.304861092
DEU,RUS,129.504722224
DEU,SJM,3594.300555
DEU,SWE,411.768055531
DJI,AGO,683.5944444
DNK,BRA,1526.972778
DNK,CAN,64.655833331
DNK,CHN,647.1379167
DNK,COK,7.62125
DNK,DEU,10544.562083394
DNK,ESH,278.6988889
DNK,ESP,38.032916668999995
DNK,EST,162.1619444
DNK,FIN,9.938472222
DNK,FRA,7.6850000000000005
DNK,FRO,2180.718472778
DNK,GBR,27916.24736192
DNK,GGY,15.108472222
DNK,GRL,63357.325693856
DNK,IRL,1567.78569439
DNK,ISL,1102.534027748
DNK,LVA,229.160416669
DNK,MRT,1742.322222
DNK,NLD,3399.444444452
DNK,NOR,66182.088193369
DNK,POL,1003.175972221
DNK,PYF,1.345833333
DNK,RUS,1074.82666666
DNK,SJM,2031.0302778
DNK,SUR,1.499027778
DNK,SWE,52759.137359269
DNK,TWN,3.685416667
DNK,ZAF,5.626527778
DOM,CHN,4.084444444
DZA,CHN,609.1922223
DZA,ITA,271.78944445999997
DZA,LBY,220.507361111
DZA,MLT,100.65430554
DZA,TUN,75.45236111
ECU,CHL,5.907361111
ECU,CHN,15.63708333
ECU,KIR,130.7720833
ECU,PAN,2.3830555550000003
ECU,PER,6.119583333
ECU,PYF,0.117916667
EGY,CHN,663.4381944
EGY,ECU,1.983194444
EGY,ITA,1.943194444
EGY,LBY,13.73986111
EGY,MLT,62.20680556
EGY,TUN,1.450972222
ESP,AGO,51309.43083265
ESP,ARG,2624.567777535
ESP,ASM,4.101944444
ESP,ATF,25.989305555
ESP,BHS,9.674861111
ESP,BRA,113.803888892
ESP,CAN,89.29638888299999
ESP,CHL,25.722083338
ESP,CIV,420.91124999699997
ESP,COD,253.68083334500002
ESP,COG,20777.376805
ESP,COK,299.500555567
ESP,COM,1.375555556
ESP,CPV,5782.751111033
ESP,CRI,1.213055556
ESP,DZA,252.97111114
ESP,ECU,0.713472222
ESP,ESH,3739.432916709
ESP,FLK,26138.17458143
ESP,FRA,103938.485830456
ESP,FRO,18.56263889
ESP,GAB,149.89180555
ESP,GBR,29338.544306913
ESP,GHA,87.765416668
ESP,GIB,84.34111111099999
ESP,GIN,10697.395694166
ESP,GMB,59.870694434
ESP,GNB,3.685138889
ESP,GNQ,13.345833337
ESP,IDN,18.015
ESP,IND,8.677083333
ESP,IRL,128856.148472407
ESP,ISL,166.1825
ESP,ITA,964.4249999900001
ESP,JAM,5.191666667
ESP,JPN,47.10666667
ESP,LBR,422.397361112
ESP,LBY,153.84625
ESP,LTU,3.119583333
ESP,MAR,3492.979444953
ESP,MDG,711.45416672
ESP,MLT,341.33208329
ESP,MOZ,1.13875
ESP,MRT,69842.938055802
ESP,MUS,11.307361111
ESP,NAM,929.469444456
ESP,NOR,3571.285972027
ESP,NZL,49.826249996
ESP,PAN,7.312499999
ESP,PER,43.20638889
ESP,PRT,39208.721110927996
ESP,PYF,13.460555550999999
ESP,REU,2.252638889
ESP,RUS,40.345833331
ESP,SEN,5644.224443898
ESP,SHN,13.720138889
ESP,SJM,5814.14736171
ESP,SLE,219.749861111
ESP,STP,143.2227778
ESP,SWE,0.529861111
ESP,SYC,26.196111111
ESP,TAA,23.33055556
ESP,TKL,5.109305556
ESP,TON,10.50847222
ESP,TUN,439.51472227
ESP,TWN,6.785416667
ESP,UMI,6.033611111
ESP,URY,485.713750004
ESP,ZAF,290.135000007
EST,DNK,0.195694444
EST,ESP,2.615555556
EST,FIN,84.940416664
EST,GRL,256.112500033
EST,ISL,37.32791667
EST,LVA,603.1845833259999
EST,NOR,61.33847223
EST,PRT,43.29333333
EST,RUS,65.800833326
EST,SAU,21.63055556
EST,SJM,1543.0613888
EST,SWE,823.51944439
FIN,CHN,314.009027756
FIN,DNK,22.236527773
FIN,EST,4895.692916351
FIN,LTU,6.615555556
FIN,LVA,197.285
FIN,POL,127.46277778
FIN,SWE,7017.86361139
FJI,CHN,764.0623611
FJI,FSM,1.27875
FJI,NCL,12.183888888999999
FJI,NFK,0.849027778
FJI,PAN,7.245277778
FJI,PYF,0.091944444
FJI,SLB,16092.868750017
FJI,TON,2426.275833289
FJI,TUV,5354.893193867
FJI,UMI,0.644583333
FJI,VNM,9.177083333
FJI,VUT,25867.88486216
FJI,WLF,1.153194444
FLK,ARG,23.229305557
FLK,BRA,8.164444444
FLK,ESH,0.200972222
FLK,ESP,17.047916667
FLK,NAM,1.625277778
FLK,SGS,64.301944447
FLK,TAA,164.6159722
FLK,URY,41.049166662
FRA,AGO,1819.42361117
FRA,ATF,15058.978054349
FRA,BEL,447.803611137
FRA,BRB,0.923472222
FRA,CHL,15.89361111
FRA,CHN,88.45666667
FRA,CIV,1305.65458328
FRA,COD,0.071388889
FRA,COG,753.244999967
FRA,CPV,15.75305556
FRA,DEU,11.37569444
FRA,DJI,1.378333333
FRA,DNK,12.433333337
FRA,EGY,2.285416667
FRA,ESH,259.1290278
FRA,ESP,5032.318472218
FRA,FRO,811.57916669
FRA,GAB,35.77527778
FRA,GBR,311052.190417777
FRA,GGY,26572.447084205
FRA,GHA,1749.3177779
FRA,GIN,285.323888884
FRA,GMB,7.369861111
FRA,GUF,9797.36347271
FRA,GUY,8.886388889
FRA,HMD,13.422638887000002
FRA,IRL,163708.06597441802
FRA,ITA,35.786666666
FRA,JEY,5502.016805551
FRA,LBR,1094.993194536
FRA,LBY,0.440138889
FRA,MDG,4187.7333333
FRA,MLT,541.3426389
FRA,MRT,1105.45902777
FRA,MTQ,0.205833333
FRA,MUS,1222.2475000059999
FRA,MYT,5.766944444
FRA,NCL,5742.7377784400005
FRA,NLD,1095.660555534
FRA,NOR,2967.250555198
FRA,NZL,39.01416667
FRA,REU,7763.896388558
FRA,RUS,51.42138889
FRA,SEN,1048.233055551
FRA,SJM,3524.1683332
FRA,SLE,484.206250013
FRA,SUR,45.159305552999996
FRA,SYC,359.01430556599996
FRA,TUN,9.873333333
FRA,ZAF,0.594583333
FRO,CHN,0.258611111
FRO,DEU,125.073194444
FRO,DNK,8.088333333
FRO,GBR,13172.929861962
FRO,GRL,7464.126388546
FRO,IRL,422.660416638
FRO,ISL,14972.661528625
FRO,NLD,0.082916667
FRO,NOR,5373.905139679
FRO,RUS,14824.252638588
FRO,SJM,1717.467361204
FSM,CHN,555.397361119
FSM,COK,3405.108889
FSM,GUM,3.36
FSM,JPN,18.135416666
FSM,KIR,1643.6808333870001
FSM,MHL,20430.496943874
FSM,NRU,2580.390694453
FSM,PHL,3.094444444
FSM,PNG,4075.92013904
FSM,SLB,508.52250008
FSM,SYC,23.63277778
FSM,TUV,1093.276805598
FSM,TWN,3.740555556
FSM,WSM,11.07319444
GBR,ARG,0.706527778
GBR,BEL,12011.273749756
GBR,CHN,1540.894444381
GBR,CIV,29.56541667
GBR,DEU,14564.12500106
GBR,DNK,5961.17624999
GBR,ESP,260.71222221
GBR,FLK,2263.221944
GBR,FRA,48514.461387871
GBR,FRO,502.45333332900003
GBR,GGY,24016.815137781
GBR,GHA,3.675833333
GBR,GIB,0.298333333
GBR,GIN,5.183055556
GBR,IRL,60596.228751319
GBR,ISL,0.059722222
GBR,JEY,1551.402638878
GBR,LBN,14.00083333
GBR,MEX,117.3741667
GBR,MUS,101.193611116
GBR,NLD,4173.438194651
GBR,NOR,6417.877778061
GBR,NZL,2.330694444
GBR,POL,17.22319444
GBR,PRT,0.62
GBR,REU,0.539166667
GBR,RUS,25.51819444
GBR,SGS,803.2123611
GBR,SJM,575.9622222
GBR,TUR,7.768888888
GBR,TWN,26.68055556
GBR,URY,0.701111111
GBR,ZAF,21.777499999
GCA,AGO,106.2548611
GCA,CIV,55.42833333
GCA,ESP,1.257222222
GCA,GAB,20.56763889
GCA,MRT,62.52041667
GEO,AGO,349.63277777
GEO,CHN,55.316111109999994
GEO,ESP,1.842777778
GEO,MRT,6.105277778
GEO,NAM,10.47708333
GHA,ARE,109.6405556
GHA,BEN,2008.6141665
GHA,CIV,6409.901806196
GHA,LBR,9.059444444
GHA,NGA,1.430277778
GHA,OMN,17.03569444
GHA,TGO,71.583611117
GIB,CHN,986.3909721599999
GIB,ESP,0.657638889
GIN,CHN,51.143888892
GIN,ESH,5.838611111
GIN,ESP,11.28791667
GIN,GNB,0.14
GIN,MRT,3.433611111
GIN,SLE,10.27444444
GMB,SEN,11.535138888999999
GNB,ESP,8.472777778
GNB,GIN,143.87166666299998
GNB,LBR,0.9479166669999999
GNB,MRT,47.48625
GNB,SEN,1207.0850000770001
GNB,SLE,333.319305576
GNQ,IDN,36.007777778
GNQ,MYS,105.709305555
GNQ,SGP,666.9538888339999
GRC,ALB,520.053750003
GRC,CHN,102.127499997
GRC,CYP,297.469722245
GRC,EGY,394.1522222
GRC,ESH,224.2365278
GRC,ISR,24.318749996
GRC,LBN,22.64236111
GRC,MDG,25.0225
GRC,MRT,2776.794028
GRC,SEN,0.252083333
GRC,TUR,5931.222083081
GRD,CHN,2.139861111
GRL,BRA,1238.088056
GRL,CAN,22.46666666
GRL,DNK,0.465555556
GRL,FRO,27.849722217999997
GRL,GBR,12.97569444
GRL,ISL,70.405694437
GRL,NOR,4793.347777222
GRL,SJM,261.225416711
GRL,SWE,11.31097222
GTM,AGO,50.5675
GTM,CHN,186.8845833
GTM,CIV,102.9004167
GTM,ECU,13.549027778
GTM,GAB,187.2931944
GTM,KIR,337.0966667
GTM,LBR,93.97180556
GTM,PAN,1.523888889
GTM,SLE,67.16625
GTM,STP,16.33319444
GUF,BRA,0.192222222
GUF,CHN,425.9006945
GUF,TWN,4.573472222
GUY,PER,48.49277778
HND,SGP,44.31611111
HRV,ITA,753.64097223
HRV,MNE,22.586111112999998
HRV,SVN,0.089027778
HTI,CHN,425.4620834
HUN,ESH,309.8941667
HUN,ESP,22.60944444
HUN,MAR,1494.667639
IDN,CHN,50.21597222
IDN,ESH,190.889166689
IDN,MDV,288.8355556
IDN,MRT,3101.7454168900003
IDN,MYS,10.786388889000001
IDN,SGP,448.73416666500003
IND,ARE,3.520277778
IND,CHN,385.64472224
IND,KWT,11.8
IND,PAK,0.934861111
IND,VNM,11.32486111
IRL,AGO,6.179722222
IRL,DEU,3487.396805
IRL,DNK,1428.467222201
IRL,ESP,492.134305572
IRL,FRA,2182.865416688
IRL,GBR,85682.99013805
IRL,GGY,6.773333333
IRL,NLD,2.008611111
IRL,NOR,176.758333338
IRL,SWE,18.199999996
IRN,ARE,2.843333333
IRN,CHN,999.3805554840001
IRN,OMN,176.550972204
IRN,SYC,9.536805556
IRQ,CHN,2961.77597272
IRQ,KOR,15.22361111
ISL,CAN,118.548333343
ISL,CHN,102.5801389
ISL,DEU,5.239027778
ISL,DNK,6.133611111
ISL,FRO,13864.545277564
ISL,GBR,2305.121805593
ISL,GIN,3.656111111
ISL,GRL,754.956249979
ISL,IRL,58.529166661
ISL,MEX,64.36472222
ISL,NLD,37.929027779
ISL,NOR,4081.248055393
ISL,POL,3.168055556
ISL,PRT,11.97402778
ISL,RUS,4764.3777773
ISL,SEN,9.127916667
ISL,SJM,43.09111111
ISL,SWE,0.498333333
ISL,TAA,10.75444444
ISL,USA,27.81625
ISR,CHN,170.61986111
ISR,CYP,0.210833333
ITA,ALB,1049.537499971
ITA,CPV,4.448194444
ITA,CYP,1760.931805502
ITA,DZA,98.37819443999999
ITA,ESP,3889.0101388900002
ITA,FRA,1476.828333424
ITA,GIN,4598.56444508
ITA,GMB,11.704166666999999
ITA,GNB,34.152083331
ITA,GRC,41565.942776436
ITA,HRV,127339.608610036
ITA,LBY,3967.379444446
ITA,MLT,16525.279582982
ITA,MNE,1586.95777779
ITA,SEN,98.18930555899999
ITA,SLE,17253.381667156
ITA,SYC,25.62291667
ITA,SYR,32.70486111
ITA,TUN,61940.801944326
ITA,TUR,1997.6602778019999
JOR,CHN,392.15958338900003
JOR,KOR,204.7456944
JPN,AGO,3167.511944108
JPN,ATF,53.134999999
JPN,AUS,77.02555556
JPN,CAN,66.465555558
JPN,CCK,17.045138889
JPN,CHL,36.823055553
JPN,CHN,22.39888889
JPN,COK,11.76791667
JPN,COL,713.9681944
JPN,COM,2.654305556
JPN,CPV,15432.666805072
JPN,CXR,1.617916667
JPN,ESH,2904.354027952
JPN,ESP,123.051250012
JPN,FJI,2.7095833330000003
JPN,FSM,59586.406806172
JPN,GHA,12.54611111
JPN,GIN,0.093888889
JPN,GNQ,10.30541667
JPN,GUM,310.837777762
JPN,IDN,134.108333337
JPN,IOT,9.960277778
JPN,IRL,5.771111111
JPN,KIR,95.450138891
JPN,KOR,806.365833418
JPN,MAR,0.743888889
JPN,MDG,9884.364166504
JPN,MHL,10059.61166569
JPN,MNP,161.610416658
JPN,MOZ,17781.9781939
JPN,MRT,7067.873333234
JPN,MUS,24.74180556
JPN,MYT,8.201666667
JPN,NAM,30.222638887
JPN,NCL,38.051805555
JPN,NFK,18.99319444
JPN,NOR,8.369444444
JPN,NRU,465.81680558
JPN,NZL,35.293472219
JPN,PAN,16.140972222
JPN,PER,20.066111108
JPN,PHL,15.610694443
JPN,PLW,25253.146943986
JPN,PNG,64868.171805703
JPN,PRI,6.803194444
JPN,PYF,38.669999997
JPN,RUS,7.558750000000001
JPN,SEN,11.75583333
JPN,SLB,8.579861111
JPN,SLE,9.5125
JPN,SOM,0.909444444
JPN,TAA,40.958611108
JPN,THA,45.681666667
JPN,TKL,8.402916667
JPN,TON,1.716805556
JPN,TWN,10.031944445
JPN,UMI,12.946666669
JPN,USA,1376.1541664449999
JPN,ZAF,2573.9640276620003
KEN,NAM,58.12208333
KEN,ZAF,1.416111111
KGZ,CHN,1204.17041669
KHM,CHN,104.96222222
KHM,NOR,46.95375
KHM,RUS,3313.934722
KIR,COK,240.724305526
KIR,FJI,4.6447222230000005
KIR,FSM,152.674027752
KIR,JPN,66.56791667
KIR,KOR,13.93263889
KIR,MHL,7.912361111
KIR,NRU,361.76013892
KIR,NZL,0.545277778
KIR,PNG,88.81166667
KIR,SLB,58.76986111
KIR,TKL,255.347499979
KIR,TON,37.87444444
KIR,TUV,630.9690278319999
KIR,UMI,2.247222223
KNA,ARE,1219.667917
KNA,ATG,21.91180556
KNA,BES,80.38791667
KNA,BRA,631.0698611
KNA,ESH,27.89722222
KNA,GNB,625.31875
KNA,IRN,1.011666667
KNA,MRT,2.373055556
KNA,NAM,150.83555554999998
KNA,OMN,43.63833333
KNA,PER,68.01736111
KNA,SLE,6.417361111
KOR,AGO,8.133333333
KOR,ARE,100.4605556
KOR,ARG,456.886944441
KOR,ATF,5.505555556
KOR,BRA,11.865
KOR,CAN,14.290972222
KOR,CHL,124.3648611
KOR,CHN,504.653194414
KOR,COK,212.975277826
KOR,COM,10.53208333
KOR,CPV,52.13819444
KOR,ESH,4.616944444
KOR,FJI,23.600416666
KOR,FLK,23711.92888903
KOR,FSM,1345.864444221
KOR,GIN,499.635
KOR,GNB,3527.11388933
KOR,IDN,8.826111111
KOR,JPN,21590.161250176
KOR,KIR,3748.0763890490002
KOR,MDG,8895.1333331
KOR,MDV,48.452638888
KOR,MHL,359.141388904
KOR,MNP,2.102083333
KOR,MOZ,11006.759861
KOR,MRT,211.35472221
KOR,MUS,2643.578055222
KOR,MYS,11.82097222
KOR,MYT,6.168055556
KOR,NRU,1168.970694464
KOR,PER,10.098194444
KOR,PLW,11.51138889
KOR,PNG,2454.275277754
KOR,PRK,937.708194406
KOR,PYF,27.169027779
KOR,REU,0.349722222
KOR,RUS,11042.320416548
KOR,SEN,2839.5608334
KOR,SGS,961.6266667
KOR,SLB,1006.69138885
KOR,SLE,858.1998611
KOR,SYC,35.578750002999996
KOR,TKL,705.9851388559999
KOR,TUV,35385.310971436
KOR,TWN,8.813888889
KOR,UMI,63.005694444999996
