year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr,kwhr_in_eez
2018,416000466,TWN,MYS,drifting_longlines,22.5,"[20,25)",53.3,527.422,1290.635417,0.096111111,680709.512904974,50.691114385842
2018,416000469,TWN,SGP,drifting_longlines,22.05,"[20,25)",71.29,447.6,3010.59375,4.122638889,1347541.7625,1845.2931667164
2018,416000469,TWN,MUS,drifting_longlines,22.05,"[20,25)",71.29,447.6,3010.59375,0.18875,1347541.7625,84.48450000000001
2018,416000476,TWN,WSM,drifting_longlines,28.20804162,"[25,30)",121.4980249,689.1141968,4076.675417,1.3925,2809294.90560026,959.5915190439999
2018,416000476,TWN,COK,drifting_longlines,28.20804162,"[25,30)",121.4980249,689.1141968,4076.675417,0.229722222,2809294.90560026,158.30484450064128
2018,416000477,TWN,FSM,drifting_longlines,26.15,"[25,30)",78.12,373,3660.645972,4.12125,1365420.947556,1537.22625
2018,416000478,TWN,JPN,drifting_longlines,23.2714034,"[20,25)",61.50433244,425.3226358,155.2566667,29.68277778,66034.17470636609,12624.757283255272
2018,416000487,TWN,CHN,fishing,20.89515674,"[20,25)",41.27679194,311.3986572,1252.42125,29.17097222,390002.2954987455,9083.801578526503
2018,416000499,TWN,PHL,drifting_longlines,20.1,"[20,25)",40.76,406.406,1959.722222,145.0118056,796442.8693541321,58933.667866673604
2018,416000499,TWN,PHL,drifting_longlines,20.1,"[20,25)",40.76,406.406,1959.722222,15.95138889,796442.8693541321,6482.740153229341
2018,416000499,TWN,CHN,drifting_longlines,20.1,"[20,25)",40.76,406.406,1959.722222,73.07236111,796442.8693541321,29697.04598927066
2018,416000502,TWN,PLW,drifting_longlines,26.15,"[25,30)",78.12,373,3345.367778,13.43444444,1247822.181194,5011.04777612
2018,416000502,TWN,KIR,drifting_longlines,26.15,"[25,30)",78.12,373,3345.367778,2.729861111,1247822.181194,1018.238194403
2018,416000502,TWN,JPN,drifting_longlines,26.15,"[25,30)",78.12,373,3345.367778,2.675416667,1247822.181194,997.930416791
2018,416000514,TWN,JPN,drifting_longlines,21.65,"[20,25)",48.89,406.57,2181.567222,26.00666667,886959.78544854,10573.5304680219
2018,416000514,TWN,GUM,drifting_longlines,21.65,"[20,25)",48.89,406.57,2181.567222,6.112777778,886959.78544854,2485.27206120146
2018,416000547,TWN,REU,drifting_longlines,25.79,"[25,30)",96.5925,613.958,618.235,4.98625,379570.32412999996,3061.3480775
2018,416000594,TWN,JPN,drifting_longlines,25,"[25,30)",93.36,447.6,3274.376111,9.594583333,1465610.7472836,4294.5354998508
2018,416000618,TWN,JPN,drifting_longlines,19.11270552,"[15,20)",51.82578853,363.393232,15.11875,1.185416667,5494.0514263000005,430.7723938877977
2018,416000625,TWN,CHN,drifting_longlines,18.2,"[15,20)",30.18,324.51,92.69597222,92.69597222,30080.7699451122,30080.7699451122
2018,416000627,TWN,JPN,drifting_longlines,20.35,"[20,25)",41.95,425.22,2992.68125,53.96458333,1272547.921125,22946.8201235826
2018,416000627,TWN,JPN,drifting_longlines,20.35,"[20,25)",41.95,425.22,2992.68125,13.94319444,1272547.921125,5928.9251397768
2018,416000627,TWN,FSM,drifting_longlines,20.35,"[20,25)",41.95,425.22,2992.68125,34.9375,1272547.921125,14856.12375
2018,416000627,TWN,PLW,drifting_longlines,20.35,"[20,25)",41.95,425.22,2992.68125,23.80611111,1272547.921125,10122.8345661942
2018,416000631,TWN,FSM,drifting_longlines,22.5,"[20,25)",54.28,447.6,2744.969583,0.981527778,1228648.3853508001,439.3318334328
2018,416000632,TWN,PLW,drifting_longlines,23.06872431,"[20,25)",63.06413786,497.4285898,3910.098472,5.280416667,1944994.7689060948,2626.630216222226
2018,416000632,TWN,PNG,drifting_longlines,23.06872431,"[20,25)",63.06413786,497.4285898,3910.098472,0.370972222,1944994.7689060948,184.53218924443254
2018,416000639,TWN,JPN,drifting_longlines,19.9,"[15,20)",32.86,361.81,598.2208333,1.343611111,216442.279696273,486.13193607091
2018,416000643,TWN,JPN,drifting_longlines,24.5,"[20,25)",86.93,559.5,1001.13875,9.93125,560137.130625,5556.534375
2018,416000643,TWN,JPN,drifting_longlines,24.5,"[20,25)",86.93,559.5,1001.13875,4.436111111,560137.130625,2482.0041666045
2018,416000652,TWN,MDG,drifting_longlines,27.3,"[25,30)",79.15,559.5,3800.590694,9.837222222,2126430.493293,5503.925833208999
2018,416000652,TWN,MUS,drifting_longlines,27.3,"[25,30)",79.15,559.5,3800.590694,1.703611111,2126430.493293,953.1704166045
2018,416000662,TWN,FSM,drifting_longlines,21.2,"[20,25)",44,335,3194.367917,6.85375,1070113.252195,2296.00625
2018,416000687,TWN,CHN,trawlers,22.73456051,"[20,25)",109.0126752,367.9095397,1007.662917,26.92722222,370728.7999662293,9906.781932359812
2018,416000698,TWN,JPN,drifting_longlines,20.15,"[20,25)",43.82,324.51,18.70402778,17.11291667,6069.6440548878,5553.3125885817
2018,416000702,TWN,PLW,drifting_longlines,22.85,"[20,25)",63.59,447.6,1761.222917,11.77111111,788323.3776492,5268.749332836
2018,416000703,TWN,CHN,fixed_gear,23.52261423,"[20,25)",75.16861117,377.4231181,208.1261111,8.215833333,78551.60580938902,3100.8454343307762
2018,416000737,TWN,PLW,drifting_longlines,21.29,"[20,25)",49.62,406.57,3911.837917,3133.484028,1590435.94191469,1273980.60126396
2018,416000763,TWN,IND,drifting_longlines,22.8,"[20,25)",53.46333333,425.22,5243.047361,6.544861111,2229448.59884442,2783.00584161942
2018,416000767,TWN,JPN,drifting_longlines,18.39869257,"[15,20)",51.63213495,383.9483805,9.275555556,8.837638889,3561.3345339639773,3393.1971388753695
