flag,vessel_class,number_vesselclass
REU,tuna_purse_seines,7
ROM,fishing,1
ROM,set_gillnets,2
ROM,trawlers,1
RUS,fishing,52
RUS,fixed_gear,4
RUS,other_purse_seines,3
RUS,pots_and_traps,8
RUS,set_gillnets,1
RUS,set_longlines,15
RUS,squid_jigger,2
RUS,trawlers,349
RUS,trollers,2
RWA,set_gillnets,1
SAU,set_longlines,1
SDN,dredge_fishing,1
SEN,dredge_fishing,1
SEN,drifting_longlines,1
SEN,fishing,2
SEN,trawlers,32
SEN,tuna_purse_seines,4
SGP,dredge_fishing,1
SGP,drifting_longlines,1
SGP,fishing,2
SGP,other_purse_seines,1
SGP,set_longlines,1
SGP,trawlers,5
SGP,tuna_purse_seines,2
SHN,fishing,1
SHN,fixed_gear,1
SHN,pole_and_line,1
SHN,set_gillnets,2
SHN,set_longlines,1
SLB,fishing,1
SLB,set_gillnets,1
SLB,set_longlines,1
SLB,tuna_purse_seines,4
SLE,fishing,1
SLE,tuna_purse_seines,1
SLV,fishing,1
SLV,tuna_purse_seines,6
SMR,set_gillnets,1
SOM,dredge_fishing,1
SOM,drifting_longlines,3
SOM,fishing,3
SOM,set_gillnets,8
SOM,set_longlines,2
SOM,trawlers,5
SPM,fishing,2
SPM,trawlers,2
SRB,trawlers,1
SSD,fishing,1
SSD,other_purse_seines,1
STP,fishing,1
STP,set_gillnets,1
STP,tuna_purse_seines,2
SVK,drifting_longlines,2
SVK,set_gillnets,1
SVN,trawlers,7
SWE,dredge_fishing,2
SWE,fishing,11
SWE,fixed_gear,3
SWE,pots_and_traps,8
SWE,set_gillnets,11
SWE,trawlers,107
SWE,trollers,5
SWZ,tuna_purse_seines,1
SYC,drifting_longlines,29
SYC,tuna_purse_seines,7
SYR,drifting_longlines,1
TCA,drifting_longlines,1
TCA,trawlers,1
TGO,set_gillnets,1
TGO,set_longlines,1
THA,trawlers,4
TTO,fishing,1
TUN,drifting_longlines,4
TUN,fishing,4
TUN,pole_and_line,1
TUN,set_longlines,1
TUN,trawlers,9
TUR,dredge_fishing,1
TUR,drifting_longlines,1
TUR,fishing,38
TUR,other_fishing,1
TUR,other_purse_seines,174
TUR,pole_and_line,1
TUR,purse_seines,1
TUR,set_longlines,3
TUR,trawlers,96
TUV,tuna_purse_seines,1
TWN,drifting_longlines,639
TWN,fishing,15
TWN,fixed_gear,6
TWN,purse_seines,1
TWN,set_longlines,20
TWN,squid_jigger,78
TWN,trawlers,24
TWN,tuna_purse_seines,27
TZA,drifting_longlines,1
TZA,set_gillnets,1
UKR,drifting_longlines,1
UKR,fishing,2
UKR,set_longlines,2
UKR,trawlers,4
UNK,trawlers,2
URY,drifting_longlines,1
URY,fishing,9
URY,fixed_gear,1
URY,pole_and_line,25
URY,set_longlines,1
URY,trawlers,14
USA,drifting_longlines,38
USA,fishing,37
USA,fixed_gear,8
USA,other_fishing,1
USA,other_purse_seines,29
USA,pole_and_line,45
USA,pots_and_traps,7
USA,purse_seines,1
USA,set_gillnets,3
USA,set_longlines,14
USA,trawlers,47
USA,trollers,8
USA,tuna_purse_seines,32
VAT,trawlers,1
VCT,drifting_longlines,4
VCT,other_purse_seines,1
VCT,trawlers,2
VEN,dredge_fishing,1
VEN,drifting_longlines,7
VEN,fishing,1
VEN,other_purse_seines,1
VEN,pole_and_line,1
VEN,trawlers,1
VEN,tuna_purse_seines,13
VGB,fishing,1
VUT,drifting_longlines,39
VUT,fishing,1
VUT,other_purse_seines,1
VUT,pole_and_line,2
VUT,squid_jigger,4
VUT,tuna_purse_seines,1
WLF,other_purse_seines,1
WLF,trawlers,1
WSM,drifting_longlines,3
WSM,set_gillnets,1
YEM,fishing,1
YEM,set_gillnets,2
YEM,trawlers,1
YEM,trollers,1
ZAF,drifting_longlines,8
ZAF,fishing,4
ZAF,pole_and_line,4
ZAF,set_gillnets,1
ZAF,trawlers,5
ZMB,fixed_gear,1
