eez_iso3,number_countries_in_EEZ,eez_fished
JPN,13,ESP
JPN,13,FSM
JPN,13,KIR
JPN,13,KOR
JPN,13,MHL
JPN,13,MNE
JPN,13,RUS
JPN,13,TWN
JPN,13,VUT
JPN,13,WSM
KEN,3,NAM
KEN,3,SYC
KEN,3,TWN
KIR,18,CHN
KIR,18,ECU
KIR,18,FSM
KIR,18,GTM
KIR,18,JPN
KIR,18,KOR
KIR,18,MEX
KIR,18,MHL
KIR,18,NRU
KIR,18,NZL
KIR,18,PHL
KIR,18,PNG
KIR,18,RUS
KIR,18,SLB
KIR,18,SLV
KIR,18,TWN
KIR,18,USA
KIR,18,VUT
KOR,19,ATG
KOR,19,BTN
KOR,19,CHN
KOR,19,CYP
KOR,19,DEU
KOR,19,IRQ
KOR,19,JOR
KOR,19,JPN
KOR,19,KIR
KOR,19,LVA
KOR,19,MDV
KOR,19,PNG
KOR,19,PRK
KOR,19,RUS
KOR,19,THA
KOR,19,TWN
KOR,19,URY
KOR,19,VUT
KOR,19,WSM
KWT,1,IND
LBN,2,GBR
LBN,2,GRC
LBR,15,AGO
LBR,15,BLZ
LBR,15,CHN
LBR,15,CIV
LBR,15,CPV
LBR,15,CUW
LBR,15,ESP
LBR,15,FRA
LBR,15,GHA
LBR,15,GNB
LBR,15,GTM
LBR,15,PAN
LBR,15,SEN
LBR,15,SLV
LBR,15,TWN
LBY,11,CYP
LBY,11,DZA
LBY,11,EGY
LBY,11,ESP
LBY,11,FRA
LBY,11,ITA
LBY,11,MLT
LBY,11,PRT
LBY,11,TUN
LBY,11,TUR
LBY,11,ZAF
LKA,6,CHN
LKA,6,PER
LKA,6,RUS
LKA,6,SYC
LKA,6,TWN
LKA,6,WSM
LTU,5,ESP
LTU,5,FIN
LTU,5,LVA
LTU,5,POL
LTU,5,RUS
LVA,9,DEU
LVA,9,DNK
LVA,9,EST
LVA,9,FIN
LVA,9,LTU
LVA,9,NOR
LVA,9,POL
LVA,9,RUS
LVA,9,SWE
MAF,1,USA
MAR,9,CHN
MAR,9,DEU
MAR,9,ESP
MAR,9,HUN
MAR,9,JPN
MAR,9,NLD
MAR,9,PRT
MAR,9,RUS
MAR,9,TUR
MDG,14,CHN
MDG,14,ESP
MDG,14,FRA
MDG,14,GRC
MDG,14,JPN
MDG,14,KOR
MDG,14,MUS
MDG,14,MYS
MDG,14,NAM
MDG,14,NCL
MDG,14,REU
MDG,14,SYC
MDG,14,TWN
MDG,14,TZA
MDV,5,CHN
MDV,5,IDN
MDV,5,KOR
MDV,5,LKA
MDV,5,TWN
MEX,7,CAN
MEX,7,CHN
MEX,7,GBR
MEX,7,ISL
MEX,7,LTU
MEX,7,USA
MEX,7,VEN
MHL,14,CHN
MHL,14,FSM
MHL,14,JPN
MHL,14,KIR
MHL,14,KOR
MHL,14,PHL
MHL,14,PNG
MHL,14,RUS
MHL,14,SLB
MHL,14,SVK
MHL,14,TUV
MHL,14,TWN
MHL,14,USA
MHL,14,VUT
MLT,12,CYP
MLT,12,DZA
MLT,12,EGY
MLT,12,ESP
MLT,12,FRA
MLT,12,ITA
MLT,12,LBY
MLT,12,PRT
MLT,12,RUS
MLT,12,TUN
MLT,12,TUR
MLT,12,UKR
MMR,1,LKA
MNE,6,ALB
MNE,6,HRV
MNE,6,ITA
MNE,6,MLT
MNE,6,POL
MNE,6,TUR
MNP,5,CHN
MNP,5,JPN
MNP,5,KOR
MNP,5,TWN
MNP,5,VUT
MOZ,13,AGO
MOZ,13,CHL
MOZ,13,CHN
MOZ,13,ESP
MOZ,13,JPN
MOZ,13,KOR
MOZ,13,LVA
MOZ,13,MUS
MOZ,13,NAM
MOZ,13,RUS
MOZ,13,SYC
MOZ,13,TWN
MOZ,13,ZAF
MRT,31,BES
MRT,31,BLZ
MRT,31,CHN
MRT,31,CIV
MRT,31,CMR
MRT,31,COM
MRT,31,CUW
MRT,31,DEU
MRT,31,DNK
MRT,31,ESP
MRT,31,FRA
MRT,31,GCA
MRT,31,GEO
MRT,31,GIN
MRT,31,GNB
MRT,31,GRC
MRT,31,IDN
MRT,31,JPN
MRT,31,KNA
MRT,31,KOR
MRT,31,LTU
MRT,31,LVA
MRT,31,MAR
MRT,31,NAM
MRT,31,NLD
MRT,31,NOR
MRT,31,PAN
MRT,31,RUS
MRT,31,SEN
MRT,31,TUR
MRT,31,UNK
MTQ,1,FRA
MUS,16,ATF
MUS,16,AUS
MUS,16,CHN
MUS,16,COK
MUS,16,COM
MUS,16,ESP
MUS,16,FRA
MUS,16,GBR
MUS,16,JPN
MUS,16,KOR
MUS,16,MOZ
MUS,16,MYS
MUS,16,REU
MUS,16,SYC
MUS,16,TWN
MUS,16,TZA
MYS,9,CHN
MYS,9,GNQ
MYS,9,IDN
MYS,9,KOR
MYS,9,NRU
MYS,9,SGP
MYS,9,SLE
MYS,9,SYC
MYS,9,TWN
MYT,4,FRA
MYT,4,JPN
MYT,4,KOR
MYT,4,TWN
NAM,18,AGO
NAM,18,BLZ
NAM,18,ESP
NAM,18,FLK
NAM,18,GEO
NAM,18,JPN
NAM,18,KEN
NAM,18,KNA
NAM,18,NOR
NAM,18,PAN
NAM,18,POL
NAM,18,PRT
NAM,18,RUS
NAM,18,SEN
NAM,18,TWN
NAM,18,UKR
NAM,18,VCT
NAM,18,ZAF
NCL,7,AUS
NCL,7,CHN
NCL,7,FJI
NCL,7,FRA
NCL,7,JPN
NCL,7,NZL
NCL,7,TWN
NFK,6,CHN
NFK,6,FJI
NFK,6,JPN
NFK,6,NCL
NFK,6,TWN
NFK,6,VUT
NGA,3,CHN
NGA,3,GHA
NGA,3,NLD
NIC,1,COL
NIU,3,CHN
NIU,3,COK
NIU,3,VUT
NLD,13,ARG
NLD,13,BEL
NLD,13,DEU
NLD,13,DNK
NLD,13,FRA
NLD,13,FRO
NLD,13,GBR
NLD,13,IRL
NLD,13,ISL
NLD,13,LTU
NLD,13,NOR
NLD,13,POL
NLD,13,SWE
NOR,24,BEL
NOR,24,CAN
NOR,24,CHN
NOR,24,CYP
NOR,24,DEU
NOR,24,DNK
NOR,24,ESP
NOR,24,EST
NOR,24,FRA
NOR,24,FRO
NOR,24,GBR
NOR,24,GRL
NOR,24,IRL
NOR,24,ISL
NOR,24,JPN
NOR,24,KHM
NOR,24,LTU
NOR,24,LVA
NOR,24,NLD
NOR,24,POL
NOR,24,PRT
NOR,24,RUS
NOR,24,SWE
NOR,24,VCT
NRU,14,CHN
NRU,14,FSM
NRU,14,JPN
NRU,14,KIR
NRU,14,KOR
NRU,14,MHL
NRU,14,NZL
NRU,14,PHL
NRU,14,PNG
NRU,14,SLB
NRU,14,TUV
NRU,14,TWN
NRU,14,USA
NRU,14,VUT
NZL,13,ARG
NZL,13,AUS
NZL,13,CHN
NZL,13,ESP
NZL,13,FRA
NZL,13,GBR
NZL,13,JPN
NZL,13,KIR
NZL,13,NCL
NZL,13,RUS
NZL,13,TWN
NZL,13,USA
NZL,13,VUT
OMN,5,GHA
OMN,5,IRN
OMN,5,KNA
OMN,5,MNG
OMN,5,TWN
PAK,1,IND
PAN,14,CHN
PAN,14,COL
PAN,14,ECU
PAN,14,ESP
PAN,14,FJI
PAN,14,GTM
PAN,14,JPN
PAN,14,NIC
PAN,14,PRT
PAN,14,RUS
PAN,14,SLV
PAN,14,TWN
PAN,14,USA
PAN,14,VEN
PCN,1,CHN
PER,15,AIA
PER,15,CHL
PER,15,CHN
PER,15,COL
PER,15,ECU
PER,15,ESP
PER,15,GUY
PER,15,JPN
PER,15,KNA
PER,15,KOR
PER,15,MEX
PER,15,PAN
PER,15,TWN
PER,15,USA
PER,15,VEN
PHL,7,ALB
PHL,7,CHN
PHL,7,FSM
PHL,7,JPN
PHL,7,MYS
PHL,7,PNG
PHL,7,TWN
PLW,8,ALB
PLW,8,CHN
PLW,8,COK
PLW,8,JPN
PLW,8,KOR
PLW,8,PNG
PLW,8,SVK
PLW,8,TWN
PNG,13,AUS
PNG,13,CHN
PNG,13,FSM
PNG,13,JPN
PNG,13,KIR
PNG,13,KOR
PNG,13,MHL
PNG,13,PHL
PNG,13,RUS
PNG,13,SLB
PNG,13,TWN
PNG,13,USA
PNG,13,VUT
POL,11,ARG
POL,11,DEU
POL,11,DNK
POL,11,FIN
POL,11,GBR
POL,11,ISL
POL,11,LTU
POL,11,LVA
POL,11,NOR
POL,11,RUS
POL,11,SWE
PRI,1,JPN
PRK,7,BTN
PRK,7,CHN
PRK,7,KOR
PRK,7,LKA
PRK,7,POL
PRK,7,RUS
PRK,7,URY
PRT,8,BLZ
PRT,8,ESP
PRT,8,EST
PRT,8,GBR
PRT,8,ISL
PRT,8,LVA
PRT,8,NLD
PRT,8,RUS
PYF,11,CHN
PYF,11,DNK
PYF,11,ECU
PYF,11,ESP
PYF,11,FJI
PYF,11,JPN
PYF,11,KOR
PYF,11,NZL
PYF,11,TWN
PYF,11,USA
PYF,11,VUT
QAT,1,BHR
REU,9,ATF
REU,9,CHN
REU,9,ESP
REU,9,FRA
REU,9,GBR
REU,9,KOR
REU,9,MUS
REU,9,MYS
REU,9,TWN
ROU,2,BGR
ROU,2,ROM
RUS,27,ALB
RUS,27,ARG
RUS,27,CHN
RUS,27,CYP
RUS,27,DEU
RUS,27,DNK
RUS,27,ESP
RUS,27,EST
RUS,27,FRA
RUS,27,FRO
RUS,27,GBR
RUS,27,ISL
RUS,27,JPN
RUS,27,KHM
RUS,27,KOR
RUS,27,LBR
RUS,27,LKA
RUS,27,LTU
RUS,27,LVA
RUS,27,NOR
RUS,27,POL
RUS,27,SWE
RUS,27,TWN
RUS,27,UKR
RUS,27,UNK
RUS,27,USA
RUS,27,VCT
SAU,3,BHR
SAU,3,EST
SAU,3,TUR
SDN,1,NOR
SEN,20,BLZ
SEN,20,CHN
SEN,20,CIV
SEN,20,COM
SEN,20,CUW
SEN,20,ESP
SEN,20,FRA
SEN,20,GMB
SEN,20,GNB
SEN,20,GRC
SEN,20,ISL
SEN,20,ITA
SEN,20,JPN
SEN,20,KOR
SEN,20,PAN
SEN,20,RUS
SEN,20,TUR
SEN,20,TWN
SEN,20,UKR
SEN,20,VCT
SGP,8,CHN
SGP,8,GNQ
SGP,8,HND
SGP,8,IDN
SGP,8,MNG
SGP,8,RUS
SGP,8,SYC
SGP,8,TWN
SGS,10,ARG
SGS,10,CHL
SGS,10,CHN
SGS,10,FLK
SGS,10,GBR
SGS,10,KOR
SGS,10,NOR
SGS,10,NZL
SGS,10,SHN
SGS,10,URY
SHN,1,ESP
SJM,17,CYP
SJM,17,DEU
SJM,17,DNK
SJM,17,ESP
SJM,17,EST
SJM,17,FRA
SJM,17,FRO
SJM,17,GBR
SJM,17,GRL
SJM,17,ISL
SJM,17,LTU
SJM,17,LVA
SJM,17,NOR
SJM,17,POL
SJM,17,PRT
SJM,17,RUS
SJM,17,VCT
SLB,14,CHN
SLB,14,FJI
SLB,14,FSM
SLB,14,JPN
SLB,14,KIR
SLB,14,KOR
SLB,14,MHL
SLB,14,NZL
SLB,14,PHL
SLB,14,PNG
SLB,14,RUS
SLB,14,TWN
SLB,14,USA
SLB,14,VUT
SLE,18,BLZ
SLE,18,CHN
SLE,18,CIV
SLE,18,CPV
SLE,18,CUW
SLE,18,ESP
SLE,18,FRA
SLE,18,GIN
SLE,18,GNB
SLE,18,GTM
SLE,18,ITA
SLE,18,JPN
SLE,18,KNA
SLE,18,KOR
SLE,18,PAN
SLE,18,SEN
SLE,18,SLV
SLE,18,TWN
SLV,1,NIC
SOM,4,CHN
SOM,4,JPN
SOM,4,SYC
SOM,4,TWN
SPM,1,CAN
STP,11,ARG
STP,11,BLZ
STP,11,CPV
STP,11,CUW
STP,11,ESP
STP,11,GTM
STP,11,NLD
STP,11,PAN
STP,11,SEN
STP,11,SLV
STP,11,TWN
SUR,5,CHN
SUR,5,DNK
SUR,5,FRA
SUR,5,USA
SUR,5,VEN
SVN,1,HRV
