year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr
2018,412001899,CHN,KOR,fishing,29.57773819,"[25,30)",251.3829673,219.3379936,50.24305556,30.51875,11020.210998863726
2018,412002501,CHN,KOR,tuna_purse_seines,35.27030345,"[35,40)",229.57432120000001,386.4851853,32.41736111,1.870416667,12528.829815535364
2018,412004059,CHN,KOR,set_gillnets,17.39830718,"[15,20)",37.47062854,159.2233333,238.2601389,5.366111111,37936.573508179
2018,412004312,CHN,KOR,fishing,24.14320109,"[20,25)",118.7939902,283.4135879,132.1752778,7.033333333,37460.26971297722
2018,412004574,CHN,KOR,fishing,28.78834203,"[25,30)",217.9038312,353.2024167,167.8581944,9.256388889,59287.91992497841
2018,412005007,CHN,KOR,fishing,33.06329917,"[30,35)",264.6866539,453.7052806,28.15166667,4.936944444,12772.559825870017
2018,412005010,CHN,KOR,trawlers,35.30916498,"[35,40)",973.8857574,312.4336792,210.7261111,79.07388889,65837.93419448096
2018,412006255,CHN,KOR,set_gillnets,28.51452655,"[25,30)",75.83309768,266.4494019,49.81305556,10.97236111,13272.65886077347
2018,412006677,CHN,KOR,fishing,27.33797967,"[25,30)",141.1080062,253.1099685,157.8068056,1.829305556,39942.47559450162
2018,412008101,CHN,KOR,set_longlines,23.73277533,"[20,25)",158.6364371,200.3155865,380.88625,1.468611111,76297.45255853563
2018,412008142,CHN,KOR,fixed_gear,19.89824699,"[15,20)",58.05791911,132.3201361,1037.016944,47.24402778,137218.2231680861
2018,412010338,CHN,KOR,fixed_gear,21.97833487,"[20,25)",110.0011297,206.651017,2.455277778,2.455277778,507.38564984120023
2018,412015026,CHN,KOR,fishing,24.75545902,"[20,25)",134.957038,308.3762294,0.948472222,0.948472222,292.4862875109997
2018,412015287,CHN,KOR,set_gillnets,16.63783177,"[15,20)",37.71311765,148.68984,70.30208333,12.4475,10453.205522004368
2018,412025003,CHN,KOR,set_longlines,22.64382962,"[20,25)",97.24777121,225.03713,82.35333333,8.280555556,18532.55777851654
2018,412025175,CHN,KOR,tuna_purse_seines,29.48409007,"[25,30)",231.2175651,361.8955227,38.92319444,29.92277778,14086.129797017535
2018,412025623,CHN,KOR,set_gillnets,23.18299841,"[20,25)",65.08675899,137.8190598,312.7251389,160.0486111,43099.484619022405
2018,412025988,CHN,KOR,set_gillnets,24.01372518,"[20,25)",185.8846007,152.4930972,721.3027778,220.5423611,109993.69460568539
2018,412026789,CHN,KOR,set_gillnets,23.40425543,"[20,25)",245.960233,133.8576171,22.18138889,22.18138889,2969.147860783814
2018,412031015,CHN,KOR,drifting_longlines,30.85546487,"[30,35)",420.6617566,293.1811178,191.7034722,16.78569444,56203.83826573722
2018,412033143,CHN,KOR,set_longlines,21.95460963,"[20,25)",99.73392359,242.4032958,745.1877778,15.22291667,180635.97332859808
2018,412035071,CHN,KOR,set_gillnets,25.72516462,"[25,30)",285.8615842,242.0621543,254.3758333,4.126805556,61574.76221045568
2018,412035257,CHN,KOR,fixed_gear,24.52876683,"[20,25)",181.6808986,205.6399278,174.9695833,25.08597222,35980.73247700809
2018,412035376,CHN,KOR,fixed_gear,20.29779298,"[20,25)",95.07869066,200.738977,265.5476389,36.22944444,53305.761377551404
2018,412035518,CHN,KOR,tuna_purse_seines,29.24892467,"[25,30)",477.402635,243.9370244,58.32055556,24.51236111,14226.542784661277
2018,412035867,CHN,KOR,set_gillnets,23.57844542,"[20,25)",196.7534243,288.9796139,697.0851389,10.59736111,201443.39429474986
2018,412036577,CHN,KOR,set_gillnets,24.88800876,"[20,25)",103.6004302,256.0450575,104.8184722,71.66916667,26838.25174151115
2018,412045749,CHN,KOR,set_gillnets,21.98841803,"[20,25)",114.9098611,237.3568492,853.2869444,32.10569444,202533.50058627958
2018,412051262,CHN,KOR,fixed_gear,26.93776706,"[25,30)",191.1951626,302.7172213,618.8905556,40.80722222,187348.82928004515
