eez_iso3,number_countries_in_EEZ,d
PAN,15,"CHN, COL, ECU, ESP, FJI, GTM, JPN, NIC, PAN, PRT, RUS, SLV, TWN, USA, VEN"
PCN,1,CHN
PER,16,"AIA, CHL, CHN, COL, ECU, ESP, GUY, JPN, KNA, KOR, MEX, PAN, PER, TWN, USA, VEN"
PHL,8,"ALB, CHN, FSM, JPN, MYS, PHL, PNG, TWN"
PLW,8,"ALB, CHN, COK, JPN, KOR, PNG, SVK, TWN"
PNG,14,"AUS, CHN, FSM, JPN, KIR, KOR, MHL, PHL, PNG, RUS, SLB, TWN, USA, VUT"
POL,12,"ARG, DEU, DNK, FIN, GBR, ISL, LTU, LVA, NOR, POL, RUS, SWE"
PRI,1,JPN
PRK,7,"BTN, CHN, KOR, LKA, POL, RUS, URY"
PRT,9,"BLZ, ESP, EST, GBR, ISL, LVA, NLD, PRT, RUS"
PYF,11,"CHN, DNK, ECU, ESP, FJI, JPN, KOR, NZL, TWN, USA, VUT"
QAT,2,"BHR, QAT"
REU,10,"ATF, CHN, ESP, FRA, GBR, KOR, MUS, MYS, REU, TWN"
ROU,2,"BGR, ROM"
RUS,28,"ALB, ARG, CHN, CYP, DEU, DNK, ESP, EST, FRA, FRO, GBR, ISL, JPN, KHM, KOR, LBR, LKA, LTU, LVA, NOR, POL, RUS, SWE, TWN, UKR, UNK, USA, VCT"
SAU,3,"BHR, EST, TUR"
SDN,1,NOR
SEN,21,"BLZ, CHN, CIV, COM, CUW, ESP, FRA, GMB, GNB, GRC, ISL, ITA, JPN, KOR, PAN, RUS, SEN, TUR, TWN, UKR, VCT"
SGP,9,"CHN, GNQ, HND, IDN, MNG, RUS, SGP, SYC, TWN"
SGS,10,"ARG, CHL, CHN, FLK, GBR, KOR, NOR, NZL, SHN, URY"
SHN,2,"ESP, SHN"
SJM,17,"CYP, DEU, DNK, ESP, EST, FRA, FRO, GBR, GRL, ISL, LTU, LVA, NOR, POL, PRT, RUS, VCT"
SLB,15,"CHN, FJI, FSM, JPN, KIR, KOR, MHL, NZL, PHL, PNG, RUS, SLB, TWN, USA, VUT"
SLE,18,"BLZ, CHN, CIV, CPV, CUW, ESP, FRA, GIN, GNB, GTM, ITA, JPN, KNA, KOR, PAN, SEN, SLV, TWN"
SLV,1,NIC
SOM,4,"CHN, JPN, SYC, TWN"
SPM,2,"CAN, SPM"
STP,11,"ARG, BLZ, CPV, CUW, ESP, GTM, NLD, PAN, SEN, SLV, TWN"
SUR,5,"CHN, DNK, FRA, USA, VEN"
SVN,2,"HRV, SVN"
SWE,15,"ARG, DEU, DNK, ESP, EST, FIN, GRL, IRL, ISL, LTU, LVA, NOR, POL, RUS, SWE"
SYC,12,"CHN, ESP, FRA, FSM, IRN, ITA, KOR, MUS, MYS, REU, SYC, TWN"
SYR,4,"CYP, ITA, MAR, TUR"
TAA,6,"CHN, ESP, FLK, ISL, JPN, UKR"
TGO,3,"BLZ, CHN, GHA"
THA,8,"ALB, CHN, COG, JPN, MYS, SRB, SVN, TWN"
TKL,11,"CHN, COK, ESP, JPN, KIR, KOR, SLB, TUV, TWN, USA, VUT"
TON,10,"AUS, CHN, COK, ESP, FJI, JPN, KIR, NZL, TWN, VUT"
TTO,4,"CHN, TWN, VCT, VEN"
TUN,10,"CYP, DZA, EGY, ESP, FRA, ITA, MLT, PRT, TUN, TUR"
TUR,10,"CYP, GBR, GRC, ITA, LBY, MAR, NOR, RUS, TUR, UKR"
TUV,14,"CHN, FJI, FSM, KIR, KOR, MHL, NZL, PHL, PNG, SLB, TUV, TWN, USA, VUT"
TWN,36,"AGO, AIA, ALB, ARG, ATF, BTN, CHN, COG, DNK, ESP, FSM, GBR, GUF, JPN, KOR, MAR, MDA, MHL, MLT, MNG, MYS, PAN, PHL, PNG, PYF, RUS, SGP, SLB, SOM, SWE, SYC, TGO, TWN, TZA, USA, VUT"
TZA,1,CHN
UKR,3,"RUS, UKR, UNK"
UMI,9,"CHN, ESP, FJI, JPN, KIR, KOR, SVK, TWN, USA"
URY,14,"ARG, BLZ, BRA, CHL, CHN, ESP, FLK, GBR, KOR, NOR, PRT, TWN, URY, USA"
USA,14,"ARG, BMU, CAN, CHN, ISL, JPN, KOR, NLD, RUS, TCA, TWN, USA, VUT, WLF"
VCT,4,"CAN, PRT, USA, YEM"
VEN,5,"PRT, RUS, TWN, USA, VEN"
VGB,1,USA
VIR,1,USA
VNM,7,"BTN, CHN, FJI, IND, LBN, NIU, VGB"
VUT,6,"CHN, FJI, KOR, NCL, TWN, VUT"
WLF,6,"CHN, COK, FJI, KOR, TWN, VUT"
WSM,6,"CHN, COK, FSM, TWN, USA, VUT"
ZAF,20,"BLZ, CHN, DNK, ESP, FRA, GBR, JPN, KEN, KOR, LVA, MOZ, NAM, NOR, PRT, RUS, SYC, TWN, UKR, VUT, ZAF"
