,RegionName,Country,Category,Type,Constant 2018 USD,SSF_USD,Reported vs modeled estimates
56,Africa,Cape Verde,Capacity-enhancing,Fisheries dev. projects,1648340.528,802887.2026,Modeled
57,Africa,Cape Verde,Capacity-enhancing,Fishing port develop.,0,0,NA
58,Africa,Cape Verde,Capacity-enhancing,Markt. & storage infrast.,13304053.89,9719781.187,Modeled
59,Africa,Cape Verde,Capacity-enhancing,Tax exemption,1567385.017,687765.6144,Modeled
60,Africa,Cape Verde,Capacity-enhancing,Fishing access,1221567.68,0,Reported
61,Africa,Cape Verde,Capacity-enhancing,Fuel subsidies,704134.0583,264035.0045,Modeled
62,Africa,Cape Verde,Ambiguous,Fisher assistance,0,0,NA
63,Africa,Cape Verde,Ambiguous,Vessel buyback,0,0,NA
64,Africa,Cape Verde,Ambiguous,Rural fisher communities,0,0,NA
65,Africa,Comoros,Beneficial,Fisheries mangt.,3311832.347,3311832.347,Reported
66,Africa,Comoros,Beneficial,Fishery R&D,127232.6209,68189.04639,Modeled
67,Africa,Comoros,Beneficial,MPAs,0,0,NA
68,Africa,Comoros,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
69,Africa,Comoros,Capacity-enhancing,Fisheries dev. projects,6050083.932,1645030.063,Modeled
70,Africa,Comoros,Capacity-enhancing,Fishing port develop.,47644064,47644064,Reported
71,Africa,Comoros,Capacity-enhancing,Markt. & storage infrast.,383333.33,383333.33,Reported
72,Africa,Comoros,Capacity-enhancing,Tax exemption,0,0,NA
73,Africa,Comoros,Capacity-enhancing,Fishing access,1622522.98,0,Reported
74,Africa,Comoros,Capacity-enhancing,Fuel subsidies,0,0,NA
75,Africa,Comoros,Ambiguous,Fisher assistance,0,0,NA
76,Africa,Comoros,Ambiguous,Vessel buyback,0,0,NA
77,Africa,Comoros,Ambiguous,Rural fisher communities,65458.46857,65458.46857,Modeled
78,Africa,Congo Dem Rep,Beneficial,Fisheries mangt.,2842892.895,0,Modeled
79,Africa,Congo Dem Rep,Beneficial,Fishery R&D,0,0,NA
80,Africa,Congo Dem Rep,Beneficial,MPAs,439062.5749,195179.0203,Modeled
81,Africa,Congo Dem Rep,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
82,Africa,Congo Dem Rep,Capacity-enhancing,Fisheries dev. projects,302615.391,302615.391,Modeled
83,Africa,Congo Dem Rep,Capacity-enhancing,Fishing port develop.,0,0,NA
84,Africa,Congo Dem Rep,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
85,Africa,Congo Dem Rep,Capacity-enhancing,Tax exemption,0,0,NA
86,Africa,Congo Dem Rep,Capacity-enhancing,Fishing access,0,0,NA
87,Africa,Congo Dem Rep,Capacity-enhancing,Fuel subsidies,0,0,NA
88,Africa,Congo Dem Rep,Ambiguous,Fisher assistance,0,0,NA
89,Africa,Congo Dem Rep,Ambiguous,Vessel buyback,0,0,NA
90,Africa,Congo Dem Rep,Ambiguous,Rural fisher communities,0,0,NA
91,Africa,Congo Republic,Beneficial,Fisheries mangt.,408629.1227,0,Modeled
92,Africa,Congo Republic,Beneficial,Fishery R&D,631605.1949,251138.9605,Modeled
93,Africa,Congo Republic,Beneficial,MPAs,312560.1748,97648.48732,Modeled
94,Africa,Congo Republic,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
95,Africa,Congo Republic,Capacity-enhancing,Fisheries dev. projects,331981.5699,331981.5699,Modeled
96,Africa,Congo Republic,Capacity-enhancing,Fishing port develop.,0,0,NA
97,Africa,Congo Republic,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
98,Africa,Congo Republic,Capacity-enhancing,Tax exemption,905912.8824,452956.4412,Reported
99,Africa,Congo Republic,Capacity-enhancing,Fishing access,265119.04,0,Reported
100,Africa,Congo Republic,Capacity-enhancing,Fuel subsidies,0,0,NA
101,Africa,Congo Republic,Ambiguous,Fisher assistance,0,0,NA
102,Africa,Congo Republic,Ambiguous,Vessel buyback,0,0,NA
103,Africa,Congo Republic,Ambiguous,Rural fisher communities,0,0,NA
104,Africa,Cote d'Ivoire,Beneficial,Fisheries mangt.,3271594.835,937248.3093,Modeled
105,Africa,Cote d'Ivoire,Beneficial,Fishery R&D,854274.1473,305433.7402,Modeled
106,Africa,Cote d'Ivoire,Beneficial,MPAs,213080.5174,21685.54923,Modeled
107,Africa,Cote d'Ivoire,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
108,Africa,Cote d'Ivoire,Capacity-enhancing,Fisheries dev. projects,32851596.54,32851596.54,Modeled
109,Africa,Cote d'Ivoire,Capacity-enhancing,Fishing port develop.,8469529.029,616083.8864,Modeled
110,Africa,Cote d'Ivoire,Capacity-enhancing,Markt. & storage infrast.,8443324.366,8443324.366,Modeled
111,Africa,Cote d'Ivoire,Capacity-enhancing,Tax exemption,1889723,1360600.56,Reported
112,Africa,Cote d'Ivoire,Capacity-enhancing,Fishing access,655127.14,0,Reported
113,Africa,Cote d'Ivoire,Capacity-enhancing,Fuel subsidies,2147412.5,2147412.5,Modeled
114,Africa,Cote d'Ivoire,Ambiguous,Fisher assistance,9256.149246,6556.337226,Modeled
115,Africa,Cote d'Ivoire,Ambiguous,Vessel buyback,0,0,NA
116,Africa,Cote d'Ivoire,Ambiguous,Rural fisher communities,411787.821,411787.821,Reported
117,Africa,Djibouti,Beneficial,Fisheries mangt.,1876666.66,422921.8027,Modeled
118,Africa,Djibouti,Beneficial,Fishery R&D,0,0,NA
119,Africa,Djibouti,Beneficial,MPAs,0,0,NA
120,Africa,Djibouti,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
121,Africa,Djibouti,Capacity-enhancing,Fisheries dev. projects,369346.0502,106118.5318,Modeled
122,Africa,Djibouti,Capacity-enhancing,Fishing port develop.,0,0,NA
123,Africa,Djibouti,Capacity-enhancing,Markt. & storage infrast.,2730000,316428.5563,Modeled
124,Africa,Djibouti,Capacity-enhancing,Tax exemption,61513.26739,53332.00283,Reported
125,Africa,Djibouti,Capacity-enhancing,Fishing access,6775.11,0,Reported
126,Africa,Djibouti,Capacity-enhancing,Fuel subsidies,0,0,NA
127,Africa,Djibouti,Ambiguous,Fisher assistance,382500,382500,Reported
128,Africa,Djibouti,Ambiguous,Vessel buyback,0,0,NA
129,Africa,Djibouti,Ambiguous,Rural fisher communities,19225.5454,19225.5454,Modeled
130,Africa,Egypt,Beneficial,Fisheries mangt.,18845311.55,18845311.55,Modeled
131,Africa,Egypt,Beneficial,Fishery R&D,1521906.215,167958.0721,Modeled
132,Africa,Egypt,Beneficial,MPAs,4741507.452,1283072.846,Modeled
133,Africa,Egypt,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
134,Africa,Egypt,Capacity-enhancing,Fisheries dev. projects,24057563.23,744115.5017,Modeled
135,Africa,Egypt,Capacity-enhancing,Fishing port develop.,19973336.61,0,Modeled
136,Africa,Egypt,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
137,Africa,Egypt,Capacity-enhancing,Tax exemption,0,0,NA
138,Africa,Egypt,Capacity-enhancing,Fishing access,4416742.68,0,Reported
139,Africa,Egypt,Capacity-enhancing,Fuel subsidies,0,0,NA
140,Africa,Egypt,Ambiguous,Fisher assistance,0,0,NA
141,Africa,Egypt,Ambiguous,Vessel buyback,0,0,NA
142,Africa,Egypt,Ambiguous,Rural fisher communities,0,0,NA
143,Africa,Equatorial Guinea,Beneficial,Fisheries mangt.,175989.1871,0,Modeled
144,Africa,Equatorial Guinea,Beneficial,Fishery R&D,0,0,NA
145,Africa,Equatorial Guinea,Beneficial,MPAs,1481876.091,183802.1566,Modeled
146,Africa,Equatorial Guinea,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
147,Africa,Equatorial Guinea,Capacity-enhancing,Fisheries dev. projects,135775.6578,135775.6578,Modeled
148,Africa,Equatorial Guinea,Capacity-enhancing,Fishing port develop.,0,0,NA
149,Africa,Equatorial Guinea,Capacity-enhancing,Markt. & storage infrast.,883872.2542,381286.4316,Modeled
150,Africa,Equatorial Guinea,Capacity-enhancing,Tax exemption,0,0,NA
151,Africa,Equatorial Guinea,Capacity-enhancing,Fishing access,15258.23,0,Reported
152,Africa,Equatorial Guinea,Capacity-enhancing,Fuel subsidies,0,0,NA
153,Africa,Equatorial Guinea,Ambiguous,Fisher assistance,545566.48,328422.1146,Modeled
154,Africa,Equatorial Guinea,Ambiguous,Vessel buyback,0,0,NA
155,Africa,Equatorial Guinea,Ambiguous,Rural fisher communities,703956.7484,703956.7484,Reported
156,Africa,Eritrea,Beneficial,Fisheries mangt.,11252411.16,3199035.242,Modeled
157,Africa,Eritrea,Beneficial,Fishery R&D,75731.72988,33319.53092,Modeled
158,Africa,Eritrea,Beneficial,MPAs,0,0,NA
159,Africa,Eritrea,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
160,Africa,Eritrea,Capacity-enhancing,Fisheries dev. projects,754344.253,209248.8322,Modeled
161,Africa,Eritrea,Capacity-enhancing,Fishing port develop.,0,0,NA
162,Africa,Eritrea,Capacity-enhancing,Markt. & storage infrast.,9858787.65,1142711.334,Modeled
163,Africa,Eritrea,Capacity-enhancing,Tax exemption,0,0,NA
164,Africa,Eritrea,Capacity-enhancing,Fishing access,0,0,NA
165,Africa,Eritrea,Capacity-enhancing,Fuel subsidies,0,0,NA
166,Africa,Eritrea,Ambiguous,Fisher assistance,0,0,NA
167,Africa,Eritrea,Ambiguous,Vessel buyback,0,0,NA
168,Africa,Eritrea,Ambiguous,Rural fisher communities,38962.35906,38962.35906,Modeled
169,Africa,Gabon,Beneficial,Fisheries mangt.,19147680.71,0,Modeled
170,Africa,Gabon,Beneficial,Fishery R&D,4486358.331,1251694.764,Modeled
171,Africa,Gabon,Beneficial,MPAs,12007262.61,3350023.446,Modeled
172,Africa,Gabon,Capacity-enhancing,Boat constsruct. & renov.,1733674.407,1100887.831,Modeled
173,Africa,Gabon,Capacity-enhancing,Fisheries dev. projects,5127871.903,5127871.903,Modeled
174,Africa,Gabon,Capacity-enhancing,Fishing port develop.,0,0,NA
175,Africa,Gabon,Capacity-enhancing,Markt. & storage infrast.,3894780.973,1701142.767,Modeled
176,Africa,Gabon,Capacity-enhancing,Tax exemption,6036531.899,3833197.756,Reported
177,Africa,Gabon,Capacity-enhancing,Fishing access,24940.23,0,Reported
178,Africa,Gabon,Capacity-enhancing,Fuel subsidies,7429373.573,1645832.429,Modeled
179,Africa,Gabon,Ambiguous,Fisher assistance,0,0,NA
180,Africa,Gabon,Ambiguous,Vessel buyback,0,0,NA
181,Africa,Gabon,Ambiguous,Rural fisher communities,2399530.004,2399525.138,Modeled
182,Africa,Gambia,Beneficial,Fisheries mangt.,1085070.818,368872.1543,Modeled
183,Africa,Gambia,Beneficial,Fishery R&D,1244210.96,527881.4549,Modeled
184,Africa,Gambia,Beneficial,MPAs,232967.7543,28134.88434,Modeled
185,Africa,Gambia,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
186,Africa,Gambia,Capacity-enhancing,Fisheries dev. projects,5152611.661,5152611.661,Modeled
187,Africa,Gambia,Capacity-enhancing,Fishing port develop.,4277858.326,311176.6397,Modeled
188,Africa,Gambia,Capacity-enhancing,Markt. & storage infrast.,7284018.723,7284018.723,Modeled
189,Africa,Gambia,Capacity-enhancing,Tax exemption,858149.0953,858149.0953,Modeled
190,Africa,Gambia,Capacity-enhancing,Fishing access,16465.68,0,Reported
191,Africa,Gambia,Capacity-enhancing,Fuel subsidies,0,0,NA
192,Africa,Gambia,Ambiguous,Fisher assistance,0,0,NA
193,Africa,Gambia,Ambiguous,Vessel buyback,0,0,NA
194,Africa,Gambia,Ambiguous,Rural fisher communities,640119.9899,640119.9899,Modeled
195,Africa,Ghana,Beneficial,Fisheries mangt.,5107681.32,1915380.495,Reported
196,Africa,Ghana,Beneficial,Fishery R&D,2397032.108,1235661.221,Modeled
197,Africa,Ghana,Beneficial,MPAs,474609.9589,99462.319,Modeled
198,Africa,Ghana,Capacity-enhancing,Boat constsruct. & renov.,4693988.198,4693988.198,Reported
199,Africa,Ghana,Capacity-enhancing,Fisheries dev. projects,474609.9589,355957.4753,Modeled
200,Africa,Ghana,Capacity-enhancing,Fisheries dev. projects,34442052.79,25831540.04,Modeled
201,Africa,Ghana,Capacity-enhancing,Fishing port develop.,28594862.56,1072245.276,Modeled
202,Africa,Ghana,Capacity-enhancing,Markt. & storage infrast.,296819.0076,247349.1732,Reported
203,Africa,Ghana,Capacity-enhancing,Tax exemption,3790718.998,1952220.284,Reported
204,Africa,Ghana,Capacity-enhancing,Fishing access,2053122.88,0,Reported
205,Africa,Ghana,Capacity-enhancing,Fuel subsidies,63219653.83,63219653.83,Reported
206,Africa,Ghana,Ambiguous,Fisher assistance,1045460.346,1045460.346,Reported
207,Africa,Ghana,Ambiguous,Vessel buyback,0,0,NA
208,Africa,Ghana,Ambiguous,Rural fisher communities,474609.9589,474609.9589,Reported
209,Africa,Guinea,Beneficial,Fisheries mangt.,1334303.946,0,Modeled
210,Africa,Guinea,Beneficial,Fishery R&D,38000,8169.999202,Modeled
211,Africa,Guinea,Beneficial,MPAs,1067840.652,85247.57836,Modeled
212,Africa,Guinea,Capacity-enhancing,Boat constsruct. & renov.,175000,175000,Modeled
213,Africa,Guinea,Capacity-enhancing,Fisheries dev. projects,11658575.83,2506593.547,Modeled
214,Africa,Guinea,Capacity-enhancing,Fishing port develop.,1123156.633,81699.78532,Modeled
215,Africa,Guinea,Capacity-enhancing,Markt. & storage infrast.,703850.6207,703850.6207,Modeled
216,Africa,Guinea,Capacity-enhancing,Tax exemption,2154352.98,0,Modeled
217,Africa,Guinea,Capacity-enhancing,Fishing access,705379.22,0,Reported
218,Africa,Guinea,Capacity-enhancing,Fuel subsidies,0,0,NA
219,Africa,Guinea,Ambiguous,Fisher assistance,16890.61528,11964.00002,Modeled
220,Africa,Guinea,Ambiguous,Vessel buyback,0,0,NA
221,Africa,Guinea,Ambiguous,Rural fisher communities,150000,150000,Reported
222,Africa,Guinea-Bissau,Beneficial,Fisheries mangt.,2831394.736,378581.8185,Modeled
223,Africa,Guinea-Bissau,Beneficial,Fishery R&D,61420.47523,10249.36829,Modeled
224,Africa,Guinea-Bissau,Beneficial,MPAs,2620727.204,124483.756,Modeled
225,Africa,Guinea-Bissau,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
226,Africa,Guinea-Bissau,Capacity-enhancing,Fisheries dev. projects,91002.74705,91002.74705,Modeled
227,Africa,Guinea-Bissau,Capacity-enhancing,Fishing port develop.,0,0,NA
228,Africa,Guinea-Bissau,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
229,Africa,Guinea-Bissau,Capacity-enhancing,Tax exemption,0,0,NA
230,Africa,Guinea-Bissau,Capacity-enhancing,Fishing access,0,0,NA
231,Africa,Guinea-Bissau,Capacity-enhancing,Fuel subsidies,0,0,NA
232,Africa,Guinea-Bissau,Ambiguous,Fisher assistance,0,0,NA
233,Africa,Guinea-Bissau,Ambiguous,Vessel buyback,0,0,NA
234,Africa,Guinea-Bissau,Ambiguous,Rural fisher communities,2779096.15,2779096.15,Modeled
235,Africa,Kenya,Beneficial,Fisheries mangt.,7614342.818,0,Reported
236,Africa,Kenya,Beneficial,Fishery R&D,529675.1309,285765.335,Modeled
237,Africa,Kenya,Beneficial,MPAs,2234932.358,1191085.269,Modeled
238,Africa,Kenya,Capacity-enhancing,Boat constsruct. & renov.,711467.0494,0,Reported
239,Africa,Kenya,Capacity-enhancing,Fisheries dev. projects,38135798.14,0,Reported
240,Africa,Kenya,Capacity-enhancing,Fishing port develop.,4444600.86,3482018.276,Reported
241,Africa,Kenya,Capacity-enhancing,Markt. & storage infrast.,3204817.919,0,Reported
242,Africa,Kenya,Capacity-enhancing,Tax exemption,441949.9208,4674.996481,Modeled
243,Africa,Kenya,Capacity-enhancing,Fishing access,315437.34,0,Reported
244,Africa,Kenya,Capacity-enhancing,Fuel subsidies,0,0,NA
245,Africa,Kenya,Ambiguous,Fisher assistance,0,0,NA
246,Africa,Kenya,Ambiguous,Vessel buyback,0,0,NA
247,Africa,Kenya,Ambiguous,Rural fisher communities,0,0,NA
248,Africa,Liberia,Beneficial,Fisheries mangt.,66376,18905.70347,Modeled
249,Africa,Liberia,Beneficial,Fishery R&D,0,0,NA
250,Africa,Liberia,Beneficial,MPAs,207925.2143,21038.77537,Modeled
251,Africa,Liberia,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
252,Africa,Liberia,Capacity-enhancing,Fisheries dev. projects,1853228.03,1853228.03,Modeled
253,Africa,Liberia,Capacity-enhancing,Fishing port develop.,0,0,NA
254,Africa,Liberia,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
255,Africa,Liberia,Capacity-enhancing,Tax exemption,308648.5188,308648.5188,Modeled
256,Africa,Liberia,Capacity-enhancing,Fishing access,1019.04,0,Reported
257,Africa,Liberia,Capacity-enhancing,Fuel subsidies,1267806.749,1267806.749,Reported
258,Africa,Liberia,Ambiguous,Fisher assistance,0,0,NA
259,Africa,Liberia,Ambiguous,Vessel buyback,0,0,NA
260,Africa,Liberia,Ambiguous,Rural fisher communities,315461.0911,315461.0911,Reported
261,Africa,Libya,Beneficial,Fisheries mangt.,13086935.19,13086935.19,Modeled
262,Africa,Libya,Beneficial,Fishery R&D,3066307.696,609874.5356,Modeled
263,Africa,Libya,Beneficial,MPAs,0,0,NA
264,Africa,Libya,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
265,Africa,Libya,Capacity-enhancing,Fisheries dev. projects,0,0,NA
266,Africa,Libya,Capacity-enhancing,Fishing port develop.,0,0,NA
267,Africa,Libya,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
268,Africa,Libya,Capacity-enhancing,Tax exemption,0,0,NA
269,Africa,Libya,Capacity-enhancing,Fishing access,0,0,NA
270,Africa,Libya,Capacity-enhancing,Fuel subsidies,0,0,NA
271,Africa,Libya,Ambiguous,Fisher assistance,0,0,NA
272,Africa,Libya,Ambiguous,Vessel buyback,0,0,NA
273,Africa,Libya,Ambiguous,Rural fisher communities,0,0,NA
274,Africa,Madagascar,Beneficial,Fisheries mangt.,50033939.11,12248631.11,Modeled
275,Africa,Madagascar,Beneficial,Fishery R&D,1128771.624,580615.8356,Modeled
276,Africa,Madagascar,Beneficial,MPAs,10027541.19,7390302.149,Modeled
277,Africa,Madagascar,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
278,Africa,Madagascar,Capacity-enhancing,Fisheries dev. projects,32804971.73,16402485.87,Reported
279,Africa,Madagascar,Capacity-enhancing,Fishing port develop.,22974.10736,0,Reported
280,Africa,Madagascar,Capacity-enhancing,Markt. & storage infrast.,39887.50845,19943.75423,Reported
281,Africa,Madagascar,Capacity-enhancing,Tax exemption,0,0,NA
282,Africa,Madagascar,Capacity-enhancing,Fishing access,35073.78,0,Reported
283,Africa,Madagascar,Capacity-enhancing,Fuel subsidies,0,0,NA
284,Africa,Madagascar,Ambiguous,Fisher assistance,0,0,NA
285,Africa,Madagascar,Ambiguous,Vessel buyback,0,0,NA
286,Africa,Madagascar,Ambiguous,Rural fisher communities,580728.915,580728.915,Modeled
287,Africa,Mauritania,Beneficial,Fisheries mangt.,3090217.037,0,Modeled
288,Africa,Mauritania,Beneficial,Fishery R&D,511872.2042,0,Modeled
289,Africa,Mauritania,Beneficial,MPAs,818875.2952,35211.97998,Modeled
290,Africa,Mauritania,Capacity-enhancing,Boat constsruct. & renov.,1664961.274,1664961.274,Modeled
291,Africa,Mauritania,Capacity-enhancing,Fisheries dev. projects,1136227.586,1136227.586,Modeled
292,Africa,Mauritania,Capacity-enhancing,Fishing port develop.,14709876.34,535007.4074,Modeled
293,Africa,Mauritania,Capacity-enhancing,Markt. & storage infrast.,6367759.65,3420180.013,Modeled
294,Africa,Mauritania,Capacity-enhancing,Tax exemption,3271498.918,1762984.805,Modeled
295,Africa,Mauritania,Capacity-enhancing,Fishing access,122240.29,0,Reported
296,Africa,Mauritania,Capacity-enhancing,Fuel subsidies,1621495.023,0,Reported
297,Africa,Mauritania,Ambiguous,Fisher assistance,1135178.245,804072.1025,Modeled
298,Africa,Mauritania,Ambiguous,Vessel buyback,0,0,NA
299,Africa,Mauritania,Ambiguous,Rural fisher communities,3246144.947,3246144.947,Modeled
300,Africa,Mauritius,Beneficial,Fisheries mangt.,8238822.889,1003613.223,Modeled
301,Africa,Mauritius,Beneficial,Fishery R&D,188664.255,35566.27673,Modeled
302,Africa,Mauritius,Beneficial,MPAs,809473.8456,150740.5538,Modeled
303,Africa,Mauritius,Capacity-enhancing,Boat constsruct. & renov.,464404.32,232202.16,Reported
304,Africa,Mauritius,Capacity-enhancing,Boat constsruct. & renov.,462199.3412,231099.6706,Reported
305,Africa,Mauritius,Capacity-enhancing,Fisheries dev. projects,470209.374,63886.21183,Modeled
306,Africa,Mauritius,Capacity-enhancing,Fishing port develop.,58050.54,58050.54,Reported
307,Africa,Mauritius,Capacity-enhancing,Markt. & storage infrast.,145126.35,9530.935284,Modeled
308,Africa,Mauritius,Capacity-enhancing,Tax exemption,1609345.477,0,Modeled
309,Africa,Mauritius,Capacity-enhancing,Fishing access,6051.47,0,Reported
310,Africa,Mauritius,Capacity-enhancing,Fuel subsidies,0,0,NA
311,Africa,Mauritius,Ambiguous,Fisher assistance,303314.0715,81894.79931,Reported
312,Africa,Mauritius,Ambiguous,Vessel buyback,0,0,NA
313,Africa,Mauritius,Ambiguous,Rural fisher communities,0,0,NA
314,Africa,Morocco,Beneficial,Fisheries mangt.,55146226.48,3649777.07,Modeled
315,Africa,Morocco,Beneficial,Fishery R&D,20104068.72,321664.8583,Modeled
316,Africa,Morocco,Beneficial,MPAs,2795403.864,138841.9542,Modeled
317,Africa,Morocco,Capacity-enhancing,Boat constsruct. & renov.,11581371.69,1853019.473,Modeled
318,Africa,Morocco,Capacity-enhancing,Fisheries dev. projects,165989449.2,0,Reported
319,Africa,Morocco,Capacity-enhancing,Fishing port develop.,1643404.053,0,Reported
320,Africa,Morocco,Capacity-enhancing,Markt. & storage infrast.,13351220.26,0,Reported
321,Africa,Morocco,Capacity-enhancing,Tax exemption,7531986.7,0,Reported
322,Africa,Morocco,Capacity-enhancing,Fishing access,289710.22,0,Reported
323,Africa,Morocco,Capacity-enhancing,Fuel subsidies,8047876.2,346174.8879,Modeled
324,Africa,Morocco,Ambiguous,Fisher assistance,0,0,NA
325,Africa,Morocco,Ambiguous,Vessel buyback,0,0,NA
326,Africa,Morocco,Ambiguous,Rural fisher communities,10343114.38,10343114.38,Modeled
327,Africa,Mozambique,Beneficial,Fisheries mangt.,13228364.17,6476775.075,Modeled
328,Africa,Mozambique,Beneficial,Fishery R&D,525204.4784,269931.369,Modeled
329,Africa,Mozambique,Beneficial,MPAs,1300751.471,958449.0425,Modeled
330,Africa,Mozambique,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
331,Africa,Mozambique,Capacity-enhancing,Fisheries dev. projects,7936405.885,2285710.287,Modeled
332,Africa,Mozambique,Capacity-enhancing,Fishing port develop.,11923445.75,9300287.685,Reported
333,Africa,Mozambique,Capacity-enhancing,Markt. & storage infrast.,383333.33,44431.35978,Modeled
