year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total
2019,FJI,44,62816.712083333354,29296199.576822277,3424
2019,FLK,15,16108.160972222135,37162026.10831125,974
2019,FRA,1023,566878.0875,272006675.4982424,49430
2019,FRO,99,105777.97708333332,140856106.34879515,6113
2019,FSM,32,23235.676527777763,30912370.551643718,2213
2019,GBR,1114,490956.93458333384,208789512.38021168,41437
2019,GEO,25,3323.1640277777783,6326155.892826672,544
2019,GHA,68,30755.093333333323,28313258.02697878,3081
2019,GIB,1,11.177638888888888,4016.407494627472,4
2019,GIN,2,3025.801249999972,3277860.360414288,167
2019,GMB,2,53.80208333333333,10091.606369203659,6
2019,GNB,8,10471.16333333334,33263154.750315893,706
2019,GNQ,5,1860.4948611111056,1799632.824105697,160
2019,GRC,316,105986.23583333338,29675795.3902491,10437
2019,GRL,36,23648.58597222217,16728908.01150989,1860
2019,GTM,4,537.6115277777774,1872173.4136417534,91
2019,GUF,6,5169.251944444447,3117398.0561933885,279
2019,GUY,1,12.447500000000002,9176.207602144623,4
2019,HKG,15,2395.0065277777762,1439288.9985571587,325
2019,HRV,210,71486.64416666664,33928549.375142306,6761
2019,HTI,1,14.842222222222222,11088.845983062944,4
2019,HUN,1,680.1119444444444,295117.78929546074,49
2019,IDN,31,7263.792638888887,3781243.2954454743,620
2019,IND,216,48316.92277777778,15205653.675315395,4078
2019,IRL,232,112780.17222222229,52137877.64599823,8114
2019,IRN,21,2676.080416666667,1933848.8436761985,206
2019,IRQ,1,193.12763888888884,47299.551434363464,14
2019,ISL,956,215160.7041666665,239245874.16531897,21627
2019,ISR,13,6705.482777777777,1556779.5738536979,536
2019,ITA,1375,682349.370833333,202953398.61383775,63995
2019,JPN,1386,506898.40236111014,316996759.38261294,52918
2019,KEN,3,1761.7770833333304,848833.7212852302,127
2019,KIR,11,2359.5813888888833,6389092.326866309,300
2019,KNA,6,1103.7593055555558,2619188.0728946957,106
2019,KOR,2511,808742.300277776,450751356.1856649,84504
2019,LBR,2,593.8545833333336,644821.7729125234,59
2019,LBY,7,323.7097222222222,169147.072785704,33
2019,LIE,1,28.545833333333338,2842.9651243786493,8
2019,LKA,109,42789.05069444446,15461591.48952196,2953
2019,LTU,27,11207.346805555588,19815916.33753153,848
2019,LVA,52,14307.185555555541,5153363.114691956,1819
2019,MAR,54,55462.96652777779,29563780.623460148,3585
2019,MDG,11,10562.952499999996,3310851.9560904694,665
2019,MEX,32,13579.501388888884,40072314.15896521,1645
2019,MHL,12,5162.502777777776,9710300.782270096,597
2019,MLT,62,7963.561666666664,2830646.3325037113,1185
2019,MNE,13,2407.24875,413487.48858499335,215
2019,MNG,2,463.5772222222223,195793.44577711666,52
2019,MOZ,14,14225.929166666634,9555396.977549156,756
2019,MRT,6,5583.397083333329,4309984.7463192325,463
2019,MTQ,1,42.17166666666667,11819.945805534151,5
2019,MUS,32,14178.459861111107,6931590.012332009,1119
2019,MYS,180,65971.34555555557,19249687.945908003,7692
2019,NAM,63,64349.08222222214,69965353.6844576,3658
2019,NCL,16,15140.059166666668,5269486.826090341,1006
2019,NGA,12,7514.147222222221,6887788.216587252,456
2019,NIC,2,602.2222222222222,1728964.5846222998,69
2019,NLD,462,193500.89291666675,161711128.69899872,18522
2019,NOR,2488,481146.3601388903,565170696.6909137,62060
2019,NRU,3,1070.2540277777787,4023284.915463741,141
2019,NZL,95,88067.92972222154,135982746.0604704,5741
2019,OMN,1,5.171388888888889,2573.64592370803,1
2019,PAN,19,4938.127361111098,4888150.295145485,514
2019,PER,111,13982.806805555556,15315170.185163127,2529
2019,PHL,13,2165.4451388888897,5530977.16378581,252
2019,PLW,5,626.1376388888889,608155.5200935331,59
2019,PNG,24,10407.212222222226,24045311.21000541,1185
2019,POL,163,49815.19652777776,26941511.882435862,5225
2019,PRK,2,57.61069444444446,15189.172726164286,5
2019,PRT,387,173900.4244444442,77505072.32301955,17426
2019,PSE,3,619.8488888888888,198812.29212404892,44
2019,PYF,8,6694.927916666661,3041316.600900765,449
2019,QAT,70,17364.05041666667,3278663.0058717066,1481
2019,REU,13,3716.880972222218,3314193.889779435,369
2019,ROU,6,197.10513888888897,51448.81432532849,42
2019,RUS,664,693297.1918055544,1534106510.3666778,42822
