year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total,regionname,country,category,type,value,estimate_type,type_code,lsf_prop,new_value,subs_per_fishing_hour,subs_per_fishing_KWh,subs_per_fishing_day
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Fishing port develop.,381185523.82,Reported,B3,0.791,301517749.34162,16.005110095799342,0.044427838664934396,153.5057057698558
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Markt. & storage infrast.,154800,Reported,B4,0.931,144118.80000000002,0.007650087817089213,2.1235521984907987e-5,0.07337232437231828
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Tax exemption,1062517493.45,Modeled,B5,0.866,920140149.3277,48.84271133527677,0.13558020445802277,468.4525648594449
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Fishing access,275424946.96,Modeled,B6,1,275424946.96,14.620056725847968,0.040583133611723075,140.22159876836105
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Fuel subsidies,3433436330.88,Reported,B7,0.939,3223996714.69632,171.1356047193979,0.4750473436789983,1641.369014493507
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Ambiguous,Fisher assistance,326195022.33,Reported,C1,0.753,245624851.81449,13.03821351857199,0.03619216882701194,125.05007189371106
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Ambiguous,Vessel buyback,22058999.86,Reported,C2,0.998,22014881.86028,1.168589937704077,0.0032438343071072473,11.207996825332499
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Ambiguous,Rural fisher communities,NA,Modeled,C3,0.159,NA,NA,NA,NA
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Beneficial,Fisheries mangt.,3271594.83,Reported,A1,0.743,2430794.9586900002,413.7508368484635,0.4578911844142991,5843.257112235578
2018,CIV,2,5875.021249999986,5308673.854027776,416,Africa,Cote d'Ivoire,Beneficial,Fishery R&D,922608.46,Modeled,A2,0.783,722402.42418,122.96166999906625,0.13607963948131824,1736.5442888942307
