year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,412025046,CHN,trawlers,33.51963721319999,296.47367463470005,554.0780519835,LAOCHUANZHAMG,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,109.5965277777778,60725.03061526666,9,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412040923,CHN,set_gillnets,21.954773732655557,148.50566986753336,172.63467615894442,040923,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,2.275694444444444,392.8637734533756,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412055889,CHN,trawlers,38.61838253885001,772.2159970944999,632.56854308165,55889,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,14.712777777777776,9306.840403572965,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412059998,CHN,trawlers,36.2663015102,1034.5298650905002,677.3150329022,88,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,7.377222222222222,4996.703512171283,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412067888,CHN,trawlers,42.26850392630001,315.77222990699994,601.3653161620999,67888,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,63.154305555555545,37978.808927414546,6,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412069200,CHN,set_gillnets,23.877700740366667,135.14038266686663,183.73686294643335,LIAOWAYU88518,88518,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,19.929166666666667,3661.7225644699597,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412075080,CHN,set_longlines,23.968386472974995,121.94931192242501,296.81019027087495,LIAO DA YV 75080,75080,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,20.23138888888889,6004.882385555179,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412110002,CHN,drifting_longlines,44.358954131249995,893.6365175399501,1095.60980412,0002,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,392.3068055555555,429815.18238966516,27,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412111566,CHN,trawlers,48.455795572199996,824.1319686526999,1091.1182870605,DONGTING11566,AMB0,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,114.80152777777776,125262.0463408173,10,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412170428,CHN,trawlers,33.925752560350006,350.00983666785004,422.0501324377,5677,8888888,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,58.091805555555545,24517.65422826733,11,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412200626,CHN,set_gillnets,25.43517592518,156.55719756996,248.94092930118,LIAODAZHONGYUYN15061,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,7.365833333333333,1833.657395077608,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412202205,CHN,trawlers,30.294900550112498,230.2360901475625,410.9116773421249,LIAODAJINYU85179,Q8,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,25.112083333333324,10318.848284055219,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412202491,CHN,trawlers,24.359125235333327,225.85491331925002,313.1620466708168,LIAODAJINYU85128,85128,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,11.203055555555554,3508.371806744641,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412202497,CHN,trawlers,30.516493400642858,397.30980990778573,377.3960860556856,LIAODAJINYU85103,85103,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,4.06875,1535.5303251390708,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412204372,CHN,fishing,26.739616665419994,148.09521829332002,322.93937991267984,LIAOZHUANGYU65279,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,8.561527777777778,2764.8544716607407,4,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412205039,CHN,trawlers,30.512989884099998,264.6004482102875,389.85592579466254,LIAO PU YU15039,15039,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,9.473611111111111,3693.343430340824,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
