eez_ter_iso3,eez_ter_name,region,fao_country_profile,fisheries_subsidies,fisheries_subsidies_names,fishing_access_agreements,fishing_access_agreement_names
CRI,Costa Rica,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CRI&subj=6,http://www.seaaroundus.org/data/#/subsidy/46,,http://www.seaaroundus.org/data/#/eez/929/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/930/internal-fishing-access/,Caribbean; Pacific 
CIV,Côte d’Ivoire,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CIV&subj=6,http://www.seaaroundus.org/data/#/subsidy/47,,http://www.seaaroundus.org/data/#/eez/384/internal-fishing-access/,
HRV,Croatia,Europe & Central Asia,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=HRV&subj=6,http://www.seaaroundus.org/data/#/subsidy/48,,http://www.seaaroundus.org/data/#/eez/191/internal-fishing-access/,
CYP,Cyprus,Europe & Central Asia,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CYP&subj=6,http://www.seaaroundus.org/data/#/subsidy/51,,http://www.seaaroundus.org/data/#/eez/197/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/198/internal-fishing-access/,North; South
DNK,Denmark,Europe & Central Asia,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=DNK&subj=6,http://www.seaaroundus.org/data/#/subsidy/52,,http://www.seaaroundus.org/data/#/eez/931/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/932/internal-fishing-access,Baltic Sea; North Sea
DJI,Djibouti,Middle East & North Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=DJI&subj=6,http://www.seaaroundus.org/data/#/subsidy/54,,http://www.seaaroundus.org/data/#/eez/262/internal-fishing-access/,
DOM,Dominican Republic,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=DOM&subj=6,http://www.seaaroundus.org/data/#/subsidy/56,,http://www.seaaroundus.org/data/#/eez/214/internal-fishing-access/,
ECU,Ecuador,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ECU&subj=6,http://www.seaaroundus.org/data/#/subsidy/58; http://www.seaaroundus.org/data/#/subsidy/73,Mainland; Galapagos Isl.,http://www.seaaroundus.org/data/#/eez/218/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/219/internal-fishing-access/,Mainland; Galapagos Isl.
EGY,Egypt,Middle East & North Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=EGY&subj=6,http://www.seaaroundus.org/data/#/subsidy/59,,http://www.seaaroundus.org/data/#/eez/933/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/934/internal-fishing-access,Mediterranean; Red Sea
SLV,El Salvador,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SLV&subj=6,http://www.seaaroundus.org/data/#/subsidy/60,,http://www.seaaroundus.org/data/#/eez/222/internal-fishing-access/,
GNQ,Equatorial Guinea,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GNQ&subj=6,http://www.seaaroundus.org/data/#/subsidy/61,,http://www.seaaroundus.org/data/#/eez/226/internal-fishing-access/,
ERI,Eritrea,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ERI&subj=6,http://www.seaaroundus.org/data/#/subsidy/62,,http://www.seaaroundus.org/data/#/eez/111/internal-fishing-access/,
EST,Estonia,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=EST,http://www.seaaroundus.org/data/#/subsidy/63,,http://www.seaaroundus.org/data/#/eez/233/internal-fishing-access/,
EU,European Union,Europe & Central Asia,,,,,
FRO,Faroe Islands,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=DNK,http://www.seaaroundus.org/data/#/subsidy/65,,http://www.seaaroundus.org/data/#/eez/234/internal-fishing-access/,
FJI,Fiji,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=FJI&subj=6,http://www.seaaroundus.org/data/#/subsidy/67,,http://www.seaaroundus.org/data/#/eez/242/internal-fishing-access/,
FIN,Finland,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=FIN,http://www.seaaroundus.org/data/#/subsidy/68,,http://www.seaaroundus.org/data/#/eez/246/internal-fishing-access/,
FRA,France,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/69,,http://www.seaaroundus.org/data/#/eez/919/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/918/internal-fishing-access/,Atlantic Coast; Mediterrnean
GUF,French Guiana,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/70,,http://www.seaaroundus.org/data/#/eez/254/internal-fishing-access/,
PYF,French Polynesia,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/71,,http://www.seaaroundus.org/data/#/eez/258/internal-fishing-access/,
ATF,French Southern Territories,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/49; http://www.seaaroundus.org/data/#/subsidy/210; http://www.seaaroundus.org/data/#/subsidy/112; http://www.seaaroundus.org/data/#/subsidy/69; http://www.seaaroundus.org/data/#/subsidy/143; http://www.seaaroundus.org/data/#/subsidy/194,Crozet Isl.; Tromelin Isl.; Kerguelen Isl.; Glorieuse Isl.; Mozambique Channel Isl.; St. Paul and Amsterdam Isl.,http://www.seaaroundus.org/data/#/eez/896/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/252/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/897/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/972/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/251/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/895/internal-fishing-access/,Crozet Isl.; Tromelin Isl.; Kerguelen Isl.; Glorieuse Isl.; Mozambique Channel Isl.; St. Paul and Amsterdam Isl.
GAB,Gabon,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GAB&subj=6,http://www.seaaroundus.org/data/#/subsidy/72,,http://www.seaaroundus.org/data/#/eez/266/internal-fishing-access/,
GMB,Gambia,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GMB&subj=6,http://www.seaaroundus.org/data/#/subsidy/74,,http://www.seaaroundus.org/data/#/eez/270/internal-fishing-access/,
GEO,Georgia,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=GEO,http://www.seaaroundus.org/data/#/subsidy/76,,http://www.seaaroundus.org/data/#/eez/268/internal-fishing-access/,
DEU,Germany,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=DEU,http://www.seaaroundus.org/data/#/subsidy/77,,http://www.seaaroundus.org/data/#/eez/277/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/278/internal-fishing-access/,North Sea; Baltic Sea
GHA,Ghana,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GHA&subj=6,http://www.seaaroundus.org/data/#/subsidy/78,,http://www.seaaroundus.org/data/#/eez/288/internal-fishing-access/,
GIB,Gibraltar,Europe & Central Asia,,,,,
GRC,Greece,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=GRC,http://www.seaaroundus.org/data/#/subsidy/80,,http://www.seaaroundus.org/data/#/eez/300/internal-fishing-access/,
GRL,Greenland,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=DNK,http://www.seaaroundus.org/data/#/subsidy/81,,http://www.seaaroundus.org/data/#/eez/304/internal-fishing-access/,
