mrgid,pol_type,geoname,iso_sov,iso_ter,name_ter,name_sov,region
48950,Overlapping claim,Overlapping claim Kuril Islands: Japan / Russia,JPN,JPN,Japan,Japan,East Asia & Pacific
48955,Overlapping claim,Overlapping claim Liancourt Rocks: Japan / South Korea,JPN,JPN,Japan,Japan,East Asia & Pacific
8450,200NM,Kiribati Exclusive Economic Zone (Phoenix Islands),KIR,KIR,Kiribati,Kiribati,East Asia & Pacific
8441,200NM,Kiribati Exclusive Economic Zone (Line Islands),KIR,KIR,Kiribati,Kiribati,East Asia & Pacific
8488,200NM,Kiribati Exclusive Economic Zone (Gilbert Islands),KIR,KIR,Kiribati,Kiribati,East Asia & Pacific
8483,200NM,Malaysian Exclusive Economic Zone,MYS,MYS,Malaysia,Malaysia,East Asia & Pacific
8318,200NM,Marshall Islands Exclusive Economic Zone,MHL,MHL,Marshall Islands,Marshall Islands,East Asia & Pacific
8316,200NM,Micronesian Exclusive Economic Zone,FSM,FSM,Micronesia (Federated States of),Micronesia (Federated States of),East Asia & Pacific
8482,200NM,Myanmar Exclusive Economic Zone,MMR,MMR,Myanmar (Burma),Myanmar (Burma),East Asia & Pacific
8317,200NM,Nauruan Exclusive Economic Zone,NRU,NRU,Nauru,Nauru,East Asia & Pacific
8312,200NM,New Caledonian Exclusive Economic Zone,FRA,NCL,New Caledonia,France,East Asia & Pacific
8455,200NM,New Zealand Exclusive Economic Zone,NZL,NZL,New Zealand,New Zealand,East Asia & Pacific
8447,200NM,Niue Exclusive Economic Zone,NZL,NIU,Niue,New Zealand,East Asia & Pacific
8310,200NM,Norfolk Island Exclusive Economic Zone,AUS,NFK,Norfolk Island,Australia,East Asia & Pacific
8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,North Korea,North Korea,East Asia & Pacific
48980,200NM,Northern Mariana Exclusive Economic Zone,USA,MNP,Northern Mariana Islands,United States,East Asia & Pacific
8315,200NM,Palau Exclusive Economic Zone,PLW,PLW,Palau,Palau,East Asia & Pacific
21798,Joint regime,Protected Zone established under the Torres Strait Treaty,PNG,PNG,Papua New Guinea,Papua New Guinea,East Asia & Pacific
8324,200NM,Papua New Guinean Exclusive Economic Zone,PNG,PNG,Papua New Guinea,Papua New Guinea,East Asia & Pacific
8322,200NM,Philippines Exclusive Economic Zone,PHL,PHL,Philippines,Philippines,East Asia & Pacific
8439,200NM,Pitcairn Islands Exclusive Economic Zone,GBR,PCN,Pitcairn Islands,United Kingdom,East Asia & Pacific
8445,200NM,Samoan Exclusive Economic Zone,WSM,WSM,Samoa,Samoa,East Asia & Pacific
8485,200NM,Singaporean Exclusive Economic Zone,SGP,SGP,Singapore,Singapore,East Asia & Pacific
8314,200NM,Solomon Islands Exclusive Economic Zone,SLB,SLB,Solomon Islands,Solomon Islands,East Asia & Pacific
8383,Overlapping claim,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,GBR,SGS,South Georgia & South Sandwich Islands,United Kingdom,East Asia & Pacific
8383,Overlapping claim,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,ARG,SGS,South Georgia & South Sandwich Islands,Argentina,East Asia & Pacific
21796,Joint regime,Joint regime area Japan / Korea,KOR,KOR,South Korea,South Korea,East Asia & Pacific
8327,200NM,South Korean Exclusive Economic Zone,KOR,KOR,South Korea,South Korea,East Asia & Pacific
48955,Overlapping claim,Overlapping claim Liancourt Rocks: Japan / South Korea,KOR,KOR,South Korea,South Korea,East Asia & Pacific
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,TWN,TWN,Taiwan,Taiwan,East Asia & Pacific
8321,200NM,Taiwanese Exclusive Economic Zone,TWN,TWN,Taiwan,Taiwan,East Asia & Pacific
8332,200NM,Thailand Exclusive Economic Zone,THA,THA,Thailand,Thailand,East Asia & Pacific
21791,200NM,Oecussi Ambeno Exclusive Economic Zone,TLS,TLS,Timor-Leste,Timor-Leste,East Asia & Pacific
8758,200NM,East Timorian Exclusive Economic Zone,TLS,TLS,Timor-Leste,Timor-Leste,East Asia & Pacific
8449,200NM,Tokelau Exclusive Economic Zone,NZL,TKL,Tokelau,New Zealand,East Asia & Pacific
8448,200NM,Tongan Exclusive Economic Zone,TON,TON,Tonga,Tonga,East Asia & Pacific
8326,200NM,Tuvaluan Exclusive Economic Zone,TUV,TUV,Tuvalu,Tuvalu,East Asia & Pacific
8443,200NM,Palmyra Atoll Exclusive Economic Zone,USA,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8452,200NM,Johnston Atoll Exclusive Economic Zone,USA,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8319,200NM,Wake Island Exclusive Economic Zone,USA,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8442,200NM,Jarvis Island Exclusive Economic Zone,USA,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8451,200NM,Howland and Baker Islands Exclusive Economic Zone,USA,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8313,200NM,Vanuatu Exclusive Economic Zone,VUT,VUT,Vanuatu,Vanuatu,East Asia & Pacific
48948,Overlapping claim,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,VUT,VUT,Vanuatu,Vanuatu,East Asia & Pacific
8484,200NM,Vietnamese Exclusive Economic Zone,VNM,VNM,Vietnam,Vietnam,East Asia & Pacific
8454,200NM,Wallis and Futuna Exclusive Economic Zone,FRA,WLF,Wallis & Futuna,France,East Asia & Pacific
5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,Albania,Albania,Europe & Central Asia
26524,200NM,Azerbaijanis Exclusive Economic Zone,AZE,AZE,Azerbaijan,Azerbaijan,Europe & Central Asia
3293,200NM,Belgian Exclusive Economic Zone,BEL,BEL,Belgium,Belgium,Europe & Central Asia
22491,200NM,Bosnian and Herzegovinian Exclusive Economic Zone,BIH,BIH,Bosnia & Herzegovina,Bosnia & Herzegovina,Europe & Central Asia
5672,200NM,Bulgarian Exclusive Economic Zone,BGR,BGR,Bulgaria,Bulgaria,Europe & Central Asia
5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,Croatia,Croatia,Europe & Central Asia
50167,Joint regime,Joint regime area Croatia / Slovenia,HRV,HRV,Croatia,Croatia,Europe & Central Asia
8376,200NM,Cypriote Exclusive Economic Zone,CYP,CYP,Cyprus,Cyprus,Europe & Central Asia
5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,Denmark,Denmark,Europe & Central Asia
5675,200NM,Estonian Exclusive Economic Zone,EST,EST,Estonia,Estonia,Europe & Central Asia
8435,200NM,Faeroe Exclusive Economic Zone,DNK,FRO,Faroe Islands,Denmark,Europe & Central Asia
48967,Joint regime,Joint regime area United Kingdom / Denmark (Faeroe Islands),DNK,FRO,Faroe Islands,Denmark,Europe & Central Asia
48973,Joint regime,Joint regime area Iceland / Denmark (Faeroe Islands),DNK,FRO,Faroe Islands,Denmark,Europe & Central Asia
5676,200NM,Finnish Exclusive Economic Zone,FIN,FIN,Finland,Finland,Europe & Central Asia
48946,Overlapping claim,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,FRA,FRA,France,France,Europe & Central Asia
48948,Overlapping claim,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,FRA,FRA,France,France,Europe & Central Asia
8401,200NM,Clipperton Exclusive Economic Zone,FRA,FRA,France,France,Europe & Central Asia
48966,Joint regime,Joint regime area Spain / France,FRA,FRA,France,France,Europe & Central Asia
48976,Joint regime,Joint regime area Italy / France,FRA,FRA,France,France,Europe & Central Asia
5677,200NM,French Exclusive Economic Zone,FRA,FRA,France,France,Europe & Central Asia
5678,200NM,Georgian Exclusive Economic Zone,GEO,GEO,Georgia,Georgia,Europe & Central Asia
5669,200NM,German Exclusive Economic Zone,DEU,DEU,Germany,Germany,Europe & Central Asia
8365,Overlapping claim,Overlapping claim Gibraltarian Exclusive Economic Zone,GIB,GIB,Gibraltar,Gibraltar,Europe & Central Asia
5679,200NM,Greek Exclusive Economic Zone,GRC,GRC,Greece,Greece,Europe & Central Asia
8438,200NM,Greenlandic Exclusive Economic Zone,DNK,GRL,Greenland,Denmark,Europe & Central Asia
21788,200NM,Guernsey Exclusive Economic Zone,GBR,GGY,Guernsey,United Kingdom,Europe & Central Asia
5680,200NM,Icelandic Exclusive Economic Zone,ISL,ISL,Iceland,Iceland,Europe & Central Asia
48973,Joint regime,Joint regime area Iceland / Denmark (Faeroe Islands),ISL,ISL,Iceland,Iceland,Europe & Central Asia
48975,Joint regime,Joint regime area Iceland / Norway (Jan Mayen),ISL,ISL,Iceland,Iceland,Europe & Central Asia
5681,200NM,Irish Exclusive Economic Zone,IRL,IRL,Ireland,Ireland,Europe & Central Asia
48976,Joint regime,Joint regime area Italy / France,ITA,ITA,Italy,Italy,Europe & Central Asia
5682,200NM,Italian Exclusive Economic Zone,ITA,ITA,Italy,Italy,Europe & Central Asia
21789,200NM,Jersey Exclusive Economic Zone,GBR,JEY,Jersey,United Kingdom,Europe & Central Asia
26522,200NM,Kazakh Exclusive Economic Zone,KAZ,KAZ,Kazakhstan,Kazakhstan,Europe & Central Asia
5683,200NM,Latvian Exclusive Economic Zone,LVA,LVA,Latvia,Latvia,Europe & Central Asia
5684,200NM,Lithuanian Exclusive Economic Zone,LTU,LTU,Lithuania,Lithuania,Europe & Central Asia
21790,200NM,Monégasque Exclusive Economic Zone,MCO,MCO,Monaco,Monaco,Europe & Central Asia
5691,200NM,Montenegrin Exclusive economic Zone,MNE,MNE,Montenegro,Montenegro,Europe & Central Asia
5668,200NM,Dutch Exclusive Economic Zone,NLD,NLD,Netherlands,Netherlands,Europe & Central Asia
48977,Joint regime,Joint regime area Sweden / Norway,NOR,NOR,Norway,Norway,Europe & Central Asia
5686,200NM,Norwegian Exclusive Economic Zone,NOR,NOR,Norway,Norway,Europe & Central Asia
5687,200NM,Polish Exclusive Economic Zone,POL,POL,Poland,Poland,Europe & Central Asia
8361,200NM,Portuguese Exclusive Economic Zone (Azores),PRT,PRT,Portugal,Portugal,Europe & Central Asia
8363,200NM,Portuguese Exclusive Economic Zone (Madeira),PRT,PRT,Portugal,Portugal,Europe & Central Asia
5688,200NM,Portuguese Exclusive Economic Zone,PRT,PRT,Portugal,Portugal,Europe & Central Asia
5689,200NM,Romanian Exclusive economic Zone,ROU,ROU,Romania,Romania,Europe & Central Asia
48950,Overlapping claim,Overlapping claim Kuril Islands: Japan / Russia,RUS,RUS,Russia,Russia,Europe & Central Asia
48978,Joint regime,Joint regime area United States / Russia,RUS,RUS,Russia,Russia,Europe & Central Asia
5690,200NM,Russian Exclusive economic Zone,RUS,RUS,Russia,Russia,Europe & Central Asia
5692,200NM,Slovenian Exclusive Economic Zone,SVN,SVN,Slovenia,Slovenia,Europe & Central Asia
50167,Joint regime,Joint regime area Croatia / Slovenia,SVN,SVN,Slovenia,Slovenia,Europe & Central Asia
8364,200NM,Spanish Exclusive Economic Zone (Canary Islands),ESP,ESP,Spain,Spain,Europe & Central Asia
8365,Overlapping claim,Overlapping claim Gibraltarian Exclusive Economic Zone,ESP,ESP,Spain,Spain,Europe & Central Asia
48966,Joint regime,Joint regime area Spain / France,ESP,ESP,Spain,Spain,Europe & Central Asia
49000,Overlapping claim,Overlapping claim Melilla: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
49001,Overlapping claim,Overlapping claim Alhucemas Islands: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
48998,Overlapping claim,Overlapping claim Perejil Island: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
49002,Overlapping claim,Overlapping claim Ceuta: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
48999,Overlapping claim,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
48997,Overlapping claim,Overlapping claim Chafarinas Islands: Spain / Morocco,ESP,ESP,Spain,Spain,Europe & Central Asia
5693,200NM,Spanish Exclusive Economic Zone,ESP,ESP,Spain,Spain,Europe & Central Asia
48975,Joint regime,Joint regime area Iceland / Norway (Jan Mayen),NOR,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
33181,200NM,Svalbard Exclusive Economic Zone,NOR,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
8437,200NM,Jan Mayen Exclusive Economic Zone,NOR,SJM,Svalbard & Jan Mayen,Norway,Europe & Central Asia
5694,200NM,Swedish Exclusive Economic Zone,SWE,SWE,Sweden,Sweden,Europe & Central Asia
48977,Joint regime,Joint regime area Sweden / Norway,SWE,SWE,Sweden,Sweden,Europe & Central Asia
5697,200NM,Turkish Exclusive Economic Zone,TUR,TUR,Turkey,Turkey,Europe & Central Asia
26523,200NM,Turkmen Exclusive Economic Zone,TKM,TKM,Turkmenistan,Turkmenistan,Europe & Central Asia
5695,Overlapping claim,Overlapping claim Ukrainian Exclusive Economic Zone,UKR,UKR,Ukraine,Ukraine,Europe & Central Asia
48967,Joint regime,Joint regime area United Kingdom / Denmark (Faeroe Islands),GBR,GBR,United Kingdom,United Kingdom,Europe & Central Asia
5696,200NM,United Kingdom Exclusive Economic Zone,GBR,GBR,United Kingdom,United Kingdom,Europe & Central Asia
8412,200NM,Anguilla Exclusive Economic Zone,GBR,AIA,Anguilla,United Kingdom,Latin America & Caribbean
8414,200NM,Antigua and Barbuda Exclusive Economic Zone,ATG,ATG,Antigua & Barbuda,Antigua & Barbuda,Latin America & Caribbean
48961,Joint regime,Joint regime area Argentina / Uruguay,ARG,ARG,Argentina,Argentina,Latin America & Caribbean
8466,200NM,Argentinean Exclusive Economic Zone,ARG,ARG,Argentina,Argentina,Latin America & Caribbean
26519,200NM,Aruban Exclusive Economic Zone,NLD,ABW,Aruba,Netherlands,Latin America & Caribbean
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,NLD,ABW,Aruba,Netherlands,Latin America & Caribbean
8404,200NM,Bahamas Exclusive Economic Zone,BHS,BHS,Bahamas,Bahamas,Latin America & Caribbean
8418,200NM,Barbados Exclusive Economic Zone,BRB,BRB,Barbados,Barbados,Latin America & Caribbean
48969,Joint regime,Joint regime area Guyana / Barbados,BRB,BRB,Barbados,Barbados,Latin America & Caribbean
8457,200NM,Belizean Exclusive Economic Zone,BLZ,BLZ,Belize,Belize,Latin America & Caribbean
8381,200NM,Brazilian Exclusive Economic Zone (Trindade),BRA,BRA,Brazil,Brazil,Latin America & Caribbean
8464,200NM,Brazilian Exclusive Economic Zone,BRA,BRA,Brazil,Brazil,Latin America & Caribbean
8411,200NM,British Virgin Islands Exclusive Economic Zone,GBR,VGB,British Virgin Islands,United Kingdom,Latin America & Caribbean
26520,200NM,Bonaire Exclusive Economic Zone,NLD,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
26518,200NM,Saba Exclusive Economic Zone,NLD,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
26526,200NM,Sint-Eustatius Exclusive Economic Zone,NLD,BES,Caribbean Netherlands,Netherlands,Latin America & Caribbean
8407,200NM,Cayman Islands Exclusive Economic Zone,GBR,CYM,Cayman Islands,United Kingdom,Latin America & Caribbean
48972,Joint regime,Joint regime area Honduras / Cayman Islands,GBR,CYM,Cayman Islands,United Kingdom,Latin America & Caribbean
8465,200NM,Chilean Exclusive Economic Zone,CHL,CHL,Chile,Chile,Latin America & Caribbean
22756,200NM,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),CHL,CHL,Chile,Chile,Latin America & Caribbean
21787,200NM,Chilean Exclusive Economic Zone (Easter Island),CHL,CHL,Chile,Chile,Latin America & Caribbean
48970,Joint regime,Joint regime area Colombia / Dominican Republic,COL,COL,Colombia,Colombia,Latin America & Caribbean
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,COL,COL,Colombia,Colombia,Latin America & Caribbean
21792,Joint regime,Joint regime area Colombia / Jamaica,COL,COL,Colombia,Colombia,Latin America & Caribbean
48974,Joint regime,Joint regime area Ecuador / Colombia,COL,COL,Colombia,Colombia,Latin America & Caribbean
8426,200NM,Colombian Exclusive Economic Zone,COL,COL,Colombia,Colombia,Latin America & Caribbean
62596,200NM,Colombian Exclusive Economic Zone (Serrana),COL,COL,Colombia,Colombia,Latin America & Caribbean
62598,200NM,Colombian Exclusive Economic Zone (Quitasueño),COL,COL,Colombia,Colombia,Latin America & Caribbean
48984,200NM,Colombian Exclusive Economic Zone (Serranilla),COL,COL,Colombia,Colombia,Latin America & Caribbean
48985,200NM,Colombian Exclusive Economic Zone (Bajo Nuevo),COL,COL,Colombia,Colombia,Latin America & Caribbean
8424,200NM,Costa Rican Exclusive Economic Zone,CRI,CRI,Costa Rica,Costa Rica,Latin America & Caribbean
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),CRI,CRI,Costa Rica,Costa Rica,Latin America & Caribbean
8406,200NM,Cuban Exclusive Economic Zone,CUB,CUB,Cuba,Cuba,Latin America & Caribbean
26517,200NM,Curaçaoan Exclusive Economic Zone,NLD,CUW,Curaçao,Netherlands,Latin America & Caribbean
8417,200NM,Dominican Exclusive Economic Zone,DMA,DMA,Dominica,Dominica,Latin America & Caribbean
8409,200NM,Dominican Republic Exclusive Economic Zone,DOM,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,DOM,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48970,Joint regime,Joint regime area Colombia / Dominican Republic,DOM,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,DOM,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48982,Overlapping claim,Overlapping claim: Puerto Rico / Dominican Republic,DOM,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48962,Joint regime,Joint regime area Peru / Ecuador,ECU,ECU,Ecuador,Ecuador,Latin America & Caribbean
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),ECU,ECU,Ecuador,Ecuador,Latin America & Caribbean
48974,Joint regime,Joint regime area Ecuador / Colombia,ECU,ECU,Ecuador,Ecuador,Latin America & Caribbean
8403,200NM,Ecuadorian Exclusive Economic Zone (Galapagos),ECU,ECU,Ecuador,Ecuador,Latin America & Caribbean
8431,200NM,Ecuadorian Exclusive Economic Zone,ECU,ECU,Ecuador,Ecuador,Latin America & Caribbean
8428,200NM,El Salvador Exclusive Economic Zone,SLV,SLV,El Salvador,El Salvador,Latin America & Caribbean
8389,Overlapping claim,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,GBR,FLK,Falkland Islands,United Kingdom,Latin America & Caribbean
8389,Overlapping claim,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,ARG,FLK,Falkland Islands,Argentina,Latin America & Caribbean
8462,200NM,French Guiana Exclusive Economic Zone,FRA,GUF,French Guiana,France,Latin America & Caribbean
8419,200NM,Grenadian Exclusive Economic Zone,GRD,GRD,Grenada,Grenada,Latin America & Caribbean
33177,200NM,Guadeloupean Exclusive Economic Zone,FRA,GLP,Guadeloupe,France,Latin America & Caribbean
8430,200NM,Guatemalan Exclusive Economic Zone,GTM,GTM,Guatemala,Guatemala,Latin America & Caribbean
8460,200NM,Guyanese Exclusive Economic Zone,GUY,GUY,Guyana,Guyana,Latin America & Caribbean
48969,Joint regime,Joint regime area Guyana / Barbados,GUY,GUY,Guyana,Guyana,Latin America & Caribbean
33185,Overlapping claim,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,GUY,GUY,Guyana,Guyana,Latin America & Caribbean
48951,Overlapping claim,Overlapping claim Navassa Island: USA / Haiti / Jamaica,HTI,HTI,Haiti,Haiti,Latin America & Caribbean
8408,200NM,Haitian Exclusive Economic Zone,HTI,HTI,Haiti,Haiti,Latin America & Caribbean
48972,Joint regime,Joint regime area Honduras / Cayman Islands,HND,HND,Honduras,Honduras,Latin America & Caribbean
8427,200NM,Honduran Exclusive Economic Zone,HND,HND,Honduras,Honduras,Latin America & Caribbean
8459,200NM,Jamaican Exclusive Economic Zone,JAM,JAM,Jamaica,Jamaica,Latin America & Caribbean
48951,Overlapping claim,Overlapping claim Navassa Island: USA / Haiti / Jamaica,JAM,JAM,Jamaica,Jamaica,Latin America & Caribbean
21792,Joint regime,Joint regime area Colombia / Jamaica,JAM,JAM,Jamaica,Jamaica,Latin America & Caribbean
33178,200NM,Martinican Exclusive Economic Zone,FRA,MTQ,Martinique,France,Latin America & Caribbean
8429,200NM,Mexican Exclusive Economic Zone,MEX,MEX,Mexico,Mexico,Latin America & Caribbean
8415,200NM,Montserrat Exclusive Economic Zone,GBR,MSR,Montserrat,United Kingdom,Latin America & Caribbean
8425,200NM,Nicaraguan Exclusive Economic Zone,NIC,NIC,Nicaragua,Nicaragua,Latin America & Caribbean
8423,200NM,Panamanian Exclusive Economic Zone,PAN,PAN,Panama,Panama,Latin America & Caribbean
48962,Joint regime,Joint regime area Peru / Ecuador,PER,PER,Peru,Peru,Latin America & Caribbean
8432,200NM,Peruvian Exclusive Economic Zone,PER,PER,Peru,Peru,Latin America & Caribbean
33179,200NM,Puerto Rican Exclusive Economic Zone,USA,PRI,Puerto Rico,United States,Latin America & Caribbean
48982,Overlapping claim,Overlapping claim: Puerto Rico / Dominican Republic,USA,PRI,Puerto Rico,United States,Latin America & Caribbean
8495,200NM,Saint-Martin Exclusive Economic Zone,FRA,MAF,Saint Martin (French part),France,Latin America & Caribbean
21803,200NM,Sint-Maarten Exclusive Economic Zone,NLD,SXM,Sint Maarten,Netherlands,Latin America & Caribbean
48952,200NM,Saint-Barthélemy Exclusive Economic Zone,FRA,BLM,St. Barthélemy,France,Latin America & Caribbean
8413,200NM,Saint Kitts and Nevis Exclusive Economic Zone,KNA,KNA,St. Kitts & Nevis,St. Kitts & Nevis,Latin America & Caribbean
8416,200NM,Saint Lucia Exclusive Economic Zone,LCA,LCA,St. Lucia,St. Lucia,Latin America & Caribbean
8421,200NM,Saint Vincent and the Grenadines Exclusive Economic Zone,VCT,VCT,St. Vincent & Grenadines,St. Vincent & Grenadines,Latin America & Caribbean
8461,200NM,Surinamese Exclusive Economic Zone,SUR,SUR,Suriname,Suriname,Latin America & Caribbean
8420,200NM,Trinidad and Tobago Exclusive Economic Zone,TTO,TTO,Trinidad & Tobago,Trinidad & Tobago,Latin America & Caribbean
33185,Overlapping claim,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,TTO,TTO,Trinidad & Tobago,Trinidad & Tobago,Latin America & Caribbean
8405,200NM,Turks and Caicos Exclusive Economic Zone,GBR,TCA,Turks & Caicos Islands,United Kingdom,Latin America & Caribbean
33180,200NM,Virgin Islander Exclusive Economic Zone,USA,VIR,U.S. Virgin Islands,United States,Latin America & Caribbean
48961,Joint regime,Joint regime area Argentina / Uruguay,URY,URY,Uruguay,Uruguay,Latin America & Caribbean
8467,200NM,Uruguayan Exclusive Economic Zone,URY,URY,Uruguay,Uruguay,Latin America & Caribbean
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,VEN,VEN,Venezuela,Venezuela,Latin America & Caribbean
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,VEN,VEN,Venezuela,Venezuela,Latin America & Caribbean
33185,Overlapping claim,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,VEN,VEN,Venezuela,Venezuela,Latin America & Caribbean
8433,200NM,Venezuelan Exclusive Economic Zone,VEN,VEN,Venezuela,Venezuela,Latin America & Caribbean
8378,200NM,Algerian Exclusive Economic Zone,DZA,DZA,Algeria,Algeria,Middle East & North Africa
8358,200NM,Bahraini Exclusive Economic Zone,BHR,BHR,Bahrain,Bahrain,Middle East & North Africa
48956,Overlapping claim,Overlapping claim Doumeira Islands: Djibouti / Eritrea,DJI,DJI,Djibouti,Djibouti,Middle East & North Africa
8352,200NM,Djiboutian Exclusive Economic Zone,DJI,DJI,Djibouti,Djibouti,Middle East & North Africa
8490,200NM,Egyptian Exclusive Economic Zone,EGY,EGY,Egypt,Egypt,Middle East & North Africa
26582,Overlapping claim,Overlapping claim: Sudan / Egypt,EGY,EGY,Egypt,Egypt,Middle East & North Africa
48947,Overlapping claim,Overlapping claim: Iran / United Arab Emirates,IRN,IRN,Iran,Iran,Middle East & North Africa
8469,200NM,Iranian Exclusive Economic Zone,IRN,IRN,Iran,Iran,Middle East & North Africa
8470,200NM,Iraqi Exclusive Economic Zone,IRQ,IRQ,Iraq,Iraq,Middle East & North Africa
48953,200NM,Palestinian Exclusive Economic Zone,ISR,ISR,Israel,Israel,Middle East & North Africa
8375,200NM,Israeli Exclusive Economic Zone,ISR,ISR,Israel,Israel,Middle East & North Africa
8491,200NM,Jordanian Exclusive Economic Zone,JOR,JOR,Jordan,Jordan,Middle East & North Africa
8357,200NM,Kuwaiti Exclusive Economic Zone,KWT,KWT,Kuwait,Kuwait,Middle East & North Africa
8374,200NM,Lebanese Exclusive Economic Zone,LBN,LBN,Lebanon,Lebanon,Middle East & North Africa
8372,200NM,Libyan Exclusive Economic Zone,LBY,LBY,Libya,Libya,Middle East & North Africa
5685,200NM,Maltese Exclusive Economic Zone,MLT,MLT,Malta,Malta,Middle East & North Africa
8367,200NM,Moroccan Exclusive Economic Zone,MAR,MAR,Morocco,Morocco,Middle East & North Africa
49000,Overlapping claim,Overlapping claim Melilla: Spain / Morocco,MAR,MAR,Morocco,Morocco,Middle East & North Africa
