mrgid,geoname,mrgid_ter1,pol_type,mrgid_sov1,territory1,iso_ter1,sovereign1,mrgid_ter2,mrgid_sov2,territory2,iso_ter2,sovereign2,mrgid_ter3,mrgid_sov3,territory3,iso_ter3,sovereign3,x_1,y_1,mrgid_eez,area_km2,iso_sov1,iso_sov2,iso_sov3,un_sov1,un_sov2,un_sov3,un_ter1,un_ter2,un_ter3
8478,Angolan Exclusive Economic Zone,2150,200NM,2150,Angola,AGO,Angola,0,0,NA,NA,NA,0,0,NA,NA,NA,11.03537,-11.7011,8478,495866,AGO,NA,NA,24,NA,NA,24,NA,NA
8347,Mozambican Exclusive Economic Zone,2220,200NM,2220,Mozambique,MOZ,Mozambique,0,0,NA,NA,NA,0,0,NA,NA,NA,37.9574,-20.37062,8347,566292,MOZ,NA,NA,508,NA,NA,508,NA,NA
8349,Kenyan Exclusive Economic Zone,2118,200NM,2118,Kenya,KEN,Kenya,0,0,NA,NA,NA,0,0,NA,NA,NA,41.79278,-3.53678,8349,113833,KEN,NA,NA,404,NA,NA,404,NA,NA
21798,Protected Zone established under the Torres Strait Treaty,2237,Joint regime,2237,Papua New Guinea,PNG,Papua New Guinea,2147,2147,Australia,AUS,Australia,0,0,NA,NA,NA,142.41029,-9.50249,21798,3717,PNG,AUS,NA,598,36,NA,598,36,NA
8384,South African Exclusive Economic Zone (Prince Edward Islands),22598,200NM,2176,Prince Edward Islands,NA,South Africa,0,0,NA,NA,NA,0,0,NA,NA,NA,37.80854,-46.83292,8384,474897,ZAF,NA,NA,710,NA,NA,NA,NA,NA
8479,Tanzanian Exclusive Economic Zone,2205,200NM,2205,Tanzania,TZA,Tanzania,0,0,NA,NA,NA,0,0,NA,NA,NA,41.1686,-7.21087,8479,241567,TZA,NA,NA,834,NA,NA,834,NA,NA
8314,Solomon Islands Exclusive Economic Zone,8593,200NM,8593,Solomon Islands,SLB,Solomon Islands,0,0,NA,NA,NA,0,0,NA,NA,NA,163.6885,-10.05068,8314,1605325,SLB,NA,NA,90,NA,NA,90,NA,NA
8337,Seychellois Exclusive Economic Zone,2192,200NM,2192,Seychelles,SYC,Seychelles,0,0,NA,NA,NA,0,0,NA,NA,NA,52.46886,-6.54776,8337,1341504,SYC,NA,NA,690,NA,NA,690,NA,NA
48945,Overlapping claim Glorioso Islands: France / Madagascar,8607,Overlapping claim,7963,Glorioso Islands,NA,Madagascar,8607,17,Glorioso Islands,ATF,France,0,0,NA,NA,NA,47.0969,-11.6181,48945,43506,MDG,FRA,NA,450,250,NA,NA,260,NA
8341,Ile Europa Exclusive Economic Zone,8612,200NM,17,Europa Island,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,40.10928,-23.53682,8341,127936,FRA,NA,NA,250,NA,NA,260,NA,NA
48948,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,49593,Overlapping claim,17,Matthew and Hunter Islands,NA,France,49593,2202,Matthew and Hunter Islands,NA,Vanuatu,0,0,NA,NA,NA,172.03655,-23.27911,48948,187184,FRA,VUT,NA,250,548,NA,NA,NA,NA
8477,Democratic Republic of the Congo Exclusive Economic Zone,2198,200NM,2198,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,0,0,NA,NA,NA,0,0,NA,NA,NA,10.73256,-6.40153,8477,13373,COD,NA,NA,180,NA,NA,180,NA,NA
8323,Australian Exclusive Economic Zone,2147,200NM,2147,Australia,AUS,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,138.08226,-27.36726,8323,6871622,AUS,NA,NA,36,NA,NA,36,NA,NA
8311,Australian Exclusive Economic Zone (Macquarie Island),8592,200NM,2147,Macquarie Island,NA,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,158.64987,-54.87818,8311,475647,AUS,NA,NA,36,NA,NA,NA,NA,NA
8339,Juan de Nova Exclusive Economic Zone,8610,200NM,17,Juan de Nova Island,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,42.09428,-17.30663,8339,62775,FRA,NA,NA,250,NA,NA,260,NA,NA
8340,Bassas da India Exclusive Economic Zone,31136,200NM,17,Bassas da India,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,39.42518,-20.86054,8340,120706,FRA,NA,NA,250,NA,NA,260,NA,NA
33176,Overlapping claim: Kenya / Somalia,2118,Overlapping claim,2118,Kenya,KEN,Kenya,2187,2187,Federal Republic of Somalia,SOM,Federal Republic of Somalia,0,0,NA,NA,NA,43.9049,-2.28224,33176,50229,KEN,SOM,NA,404,706,NA,404,706,NA
8758,East Timorian Exclusive Economic Zone,8757,200NM,8757,East Timor,TLS,East Timor,0,0,NA,NA,NA,0,0,NA,NA,NA,126.8541,-9.78156,8758,75647,TLS,NA,NA,626,NA,NA,626,NA,NA
8412,Anguilla Exclusive Economic Zone,8643,200NM,2208,Anguilla,AIA,United Kingdom,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.54329,20.01803,8412,90164,GBR,NA,NA,826,NA,NA,660,NA,NA
8414,Antigua and Barbuda Exclusive Economic Zone,8645,200NM,8645,Antigua and Barbuda,ATG,Antigua and Barbuda,0,0,NA,NA,NA,0,0,NA,NA,NA,-60.57064,18.73279,8414,111568,ATG,NA,NA,28,NA,NA,28,NA,NA
26519,Aruban Exclusive Economic Zone,8652,200NM,15,Aruba,ABW,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-69.67341,13.74138,26519,30015,NLD,NA,NA,528,NA,NA,533,NA,NA
8361,Portuguese Exclusive Economic Zone (Azores),2454,200NM,2243,Azores,NA,Portugal,0,0,NA,NA,NA,0,0,NA,NA,NA,-27.97601,38.47538,8361,960421,PRT,NA,NA,620,NA,NA,NA,NA,NA
8404,Bahamas Exclusive Economic Zone,2144,200NM,2144,Bahamas,BHS,Bahamas,0,0,NA,NA,NA,0,0,NA,NA,NA,-75.57785,25.11716,8404,619785,BHS,NA,NA,44,NA,NA,44,NA,NA
8418,Barbados Exclusive Economic Zone,8649,200NM,8649,Barbados,BRB,Barbados,0,0,NA,NA,NA,0,0,NA,NA,NA,-57.99356,13.32288,8418,185007,BRB,NA,NA,52,NA,NA,52,NA,NA
8429,Mexican Exclusive Economic Zone,2224,200NM,2224,Mexico,MEX,Mexico,0,0,NA,NA,NA,0,0,NA,NA,NA,-105.33346,21.35018,8429,3187013,MEX,NA,NA,484,NA,NA,484,NA,NA
26520,Bonaire Exclusive Economic Zone,15074,200NM,15,Bonaire,BES,Netherlands,0,0,NA,NA,NA,0,0,NA,NA,NA,-68.36978,12.7112,26520,13005,NLD,NA,NA,528,NA,NA,535,NA,NA
8411,British Virgin Islands Exclusive Economic Zone,8653,200NM,2208,British Virgin Islands,VGB,United Kingdom,0,0,NA,NA,NA,0,0,NA,NA,NA,-64.50497,20.38988,8411,81555,GBR,NA,NA,826,NA,NA,92,NA,NA
8362,Cape Verdean Exclusive Economic Zone,2168,200NM,2168,Cape Verde,CPV,Cape Verde,0,0,NA,NA,NA,0,0,NA,NA,NA,-24.17164,16.0919,8362,801936,CPV,NA,NA,132,NA,NA,132,NA,NA
8364,Spanish Exclusive Economic Zone (Canary Islands),3743,200NM,2185,Canary Islands,NA,Spain,0,0,NA,NA,NA,0,0,NA,NA,NA,-17.61396,28.36715,8364,445910,ESP,NA,NA,724,NA,NA,NA,NA,NA
8407,Cayman Islands Exclusive Economic Zone,8638,200NM,2208,Cayman Islands,CYM,United Kingdom,0,0,NA,NA,NA,0,0,NA,NA,NA,-81.13914,19.15345,8407,118291,GBR,NA,NA,826,NA,NA,136,NA,NA
8401,Clipperton Exclusive Economic Zone,8635,200NM,17,Clipperton Island,NA,France,0,0,NA,NA,NA,0,0,NA,NA,NA,-109.21728,10.30869,8401,435657,FRA,NA,NA,250,NA,NA,NA,NA,NA
